,power sector,bus and coach,construction and civil engineering,conductor engineering,land based,construction site,signals,electrification,process engineering maintenance,fabrication and welding,performing engineering operations,mechanical manifacturing,marine engineering,engineering maintenance,engineering tech support,engineering manufacture,automotive engineering,aeronautical engineering,food and drink,electrical power,engineering surveying,building services
44,over 25 kv xlpe jointing and terminations,,,,"service and repair land-based transport, handling and storage equipment",,transfer responsibility of telecoms assets,,monitor the performance and condition of mechanical plant and equipment,using and interpreting engineering data and documentation,cutting materials using saws and abrasive discs,producing power turbine major assemblies,maintaining marine hydraulic systems and equipment,maintaining waste/foul water distribution systems and equipment,producing off-line programs for cnc laser profiling machines,identify and define areas of engineering research,,planning aeronautical engineering activities,,,,
45,repairs to faulted or damaged high voltage cables (non-diagnosis),,,,service and repair land-based treatment application equipment,,,,move loads during process engineering maintenance,welding materials by the manual metal arc process,cutting plate and sections using shearing machines,producing replacement components for overhauling activities,"maintaining marine lighting, alarm, detection and monitoring equipment and systems",maintaining workplace environmental control systems,producing off-line programs for cnc machining centres,identifying engineering design requirements of clients,,producing aeronautical electrical engineering drawings using computer aided techniques,,,,
46,repairs to faulted or damaged low voltage service and mains cables (non-diagnosis),,,,service and repair mechanical transmission assemblies on land-based equipment,,,,prepare equipment in support of electrical engineering activities,welding materials by the manual oxy/fuel gas welding process,cutting sheet metal to shape using hand and machine tools,producing socket and flange fillet welded joints in pipe using a manual welding process,maintaining marine mechanical control equipment and systems,modifying communication-electronic systems,producing off-line programs for cnc milling machines,implement engineering processes,,producing aeronautical electronic engineering drawings using computer aided techniques,,,,
47,service jointing on low voltage underground cables,,,,service and repair mechanical transmission on land-based equipment,,,,prepare equipment in support of mechanical engineering activities,welding materials by the manual tig and plasma arc welding process,finishing surfaces by applying coatings or coverings,producing turbine assemblies,maintaining marine propulsion systems,modifying or rewiring electrical circuits,producing off-line programs for cnc turning machines,implement marketing plans,,producing aeronautical engineering drawings/models using 3d computer aided techniques,,,,
48,substation earthing installation and testing,,,,service and repair pneumatic systems and components on land-based equipment,,,,prepare equipment required for maintaining instrument and control systems,welding materials by the semi-automatic mig/mag and flux cored arc processes,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",repairing and modifying mechanical assemblies,"maintaining marine steering gear, control systems and equipment",producing replacement components for maintenance activities,producing off-line programs for programmable logic controller equipment,implement operational plans,,producing aeronautical mechanical engineering drawings using computer aided techniques,,,,
49,using and communicating technical information in the power sector,,,,service and repair pneumatic systems on land-based equipment,,,,prepare loads for moving during process engineering maintenance,"welding materials using resistance spot, seam and projection welding machines",fitting sub assemblies and components to public service vehicles,setting centre lathes for production,maintaining rigging and lifting equipment,reading and extracting information from service drawings and specifications,producing operating programs for industrial robots,implement quality assurance methods and procedures,,producing aircraft composite assemblies,,,,
50,working efficiently and effectively in the power sector,,,,"service and repair powershift, hydrostatic, cvt transmissions on land-based equipment",,,,prepare materials for the maintenance of electrical plant and equipment,welding materials with mechanised arc welding equipment,forming and assembling electrical cable enclosure and support systems,setting cnc grinding machines for production,marking off marine structural steelwork components,rectifying faults in lifts,producing technical information for engineering activities,implementing welding production methods and procedures,,producing aircraft engine combustion assemblies,,,,
51,working safely in the power sector,,,,service and repair step-less or power-shift transmission systems on land-based equipment,,,,prepare materials for the maintenance of electrical process plant and equipment,welding pipe/tube using multiple manual arc welding processes,forming and assembling pipework systems,setting cnc horizontal boring machines for production,marking out for fabrication and assembly of marine sheet metalwork,repairing communication-electronic systems,providing operational support for computer control programs,improve the quality of engineering products or processes,,producing aircraft engine compressor assemblies,,,,
52,,,,,service and repair suspension systems on land-based equipment,,,,prepare materials for the maintenance of instrument and control process plant and equipment,welding plate using multiple manual arc welding processes,forming sheet metal using hand and machine tools,setting cnc laser profiling machines for production,marking out for the installation of marine wooden assemblies,repairing electronic equipment,providing technical advice and guidance on engineering activities,inspecting welded components or structures for visual quality and dimensional accuracy,,producing aircraft engine gearbox assemblies,,,,
53,,,,,service and repair tyres and tracks on land-based equipment,,,,prepare materials for the maintenance of mechanical plant and equipment,working efficiently and effectively in engineering,general electrical and electronic engineering applications,setting cnc machining centres for production,marking out for the manufacture and assembly of marine wooden components,repairing/overhauling instrumentation and control equipment,providing technical sales and marketing support for engineering activities,investigate incidents relating to engineering activities,,producing aircraft engine major assemblies,,,,
54,,,,,service and repair wheeled and tracked steering systems on land-based equipment,,,,prepare materials required for maintaining instrument and control systems,,general fabrication and welding applications,setting cnc milling machines for production,modifying and rewiring marine electrical circuits,"repairing/replacing lift doors, chains, ropes and equipment",resolving engineering or manufacturing support problems,lead meetings to achieve specific objectives,,producing aircraft engine turbine assemblies,,,,
55,,,,,service and repair wheels and tracks on land-based equipment,,,,prepare process plant and equipment in support of electrical engineering activities,,"general machining, fitting and assembly applications",setting cnc punching machines for production,outfitting marine steelwork,restoring mechanical components to usable condition by repair,scheduling engineering activities,lead your team,,producing composite and/or metallic aircraft major assemblies,,,,
56,,,,,work safely in the land-based engineering work area,,,,prepare process plant and equipment in support of instrument and control engineering activities,,general maintenance engineering applications,setting cnc turning machines for production,overhauling marine electrical rotating machines and domestic equipment,testing and calibrating instrumentation and control equipment and circuits,specifying non-destructive testing instructions for inspection activities,leading continuous improvement (kaizen) activities,,producing composite and/or metallic aircraft sub assemblies,,,,
57,,,,,,,,,prepare work areas for engineering activities,,handing over and confirming completion of maintenance or installation,setting electro-discharge machines for production,overhauling marine fuel systems and equipment,testing communication-electronic systems,supporting logistics operations in an engineering manufacturing environment,leading electrical/electronic product manufacturing or testing activities,,producing composite assemblies,,,,
58,,,,,,,,,prepare work areas for the maintenance of process plant and equipment,,installing aircraft mechanical fasteners,setting gear cutting machines for production,overhauling marine propulsion systems,testing electrical equipment and circuits,using and interpreting engineering data and documentation,leading failure modes and effects analysis (fmea) activities,,producing composite mouldings using pre-preg laminating techniques,,,,
59,,,,,,,,,read and extract information from electrical engineering drawings and specifications,,joining materials by the semi-automatic mig/mag and flux cored arc processes,setting grinding machines for production,preparing and testing marine pipework systems,testing electronic equipment and circuits,using and maintaining business procedures and protocols in an engineering environment,leading installation or commissioning activities,,producing composite mouldings using resin film infusion techniques,,,,
60,,,,,,,,,read and extract information from instrument and control engineering drawings and specifications,,joining public service vehicle components by mechanical processes,setting honing and lapping machines for production,preparing docks and slips for vessel operations,testing fluid power equipment and systems,working efficiently and effectively in engineering,leading maintenance activities,,producing composite mouldings using resin flow infusion techniques,,,,
61,,,,,,,,,read and extract information from mechanical engineering drawings and specifications,,maintaining and testing process instrumentation and control devices,setting horizontal boring machines for production,preparing for rigging activities,using and interpreting engineering data and documentation,,leading measurement systems analysis (msa) activities,,producing composite mouldings using wet lay up laminating techniques,,,,
62,,,,,,,,,reinstate the work area after completing the maintenance of process engineering plant and equipment,,maintaining electrical equipment/systems,setting milling machines for production,preparing loads for moving,working efficiently and effectively in engineering,,leading mechanical manufacturing or inspection activities,,producing technical details for aeronautical engineering activities,,,,
63,,,,,,,,,reinstate the work area after completing the maintenance of process plant and equipment,,maintaining electronic equipment/systems,setting power presses for production,preparing marine coating materials for application,,,leading mistake/error proofing (poka yoke) activities,,providing technical guidance on aeronautical engineering activities,,,,
64,,,,,,,,,remove components from electrical plant and equipment,,maintaining fluid power equipment,"setting shaping, planing or slotting machines for production",preparing marine material surfaces using hand and mechanical tools,,,leading rail welding activities,,rebuilding aircraft gas turbine engine assemblies after overhaul,,,,
65,,,,,,,,,remove components from electrical process plant and equipment,,maintaining mechanical devices and equipment,setting single and multi-spindle drilling machines for production,preparing mechanised arc welding equipment for production,,,leading statistical process control (spc) activities,,reinstating the work area on completion of activities,,,,
66,,,,,,,,,remove components from instrument and control process plant and equipment,,making components from wood-based materials,setting turret lathes for production,producing fillet welded joints using a manual/semi-automatic welding process,,,leading the application of basic statistical analysis,,removing and replacing aircraft power plant and components,,,,
67,,,,,,,,,remove components from instrument and control systems,,making components using hand tools and fitting techniques,setting vertical boring machines for production,producing marine sheet metal assemblies,,,leading the application of six sigma methodology to a project,,removing and replacing components of aircraft communication systems,,,,
68,,,,,,,,,remove components from mechanical plant and equipment,,marking out components for fabrication,"slinging, lifting and moving equipment, components or materials for overhauling activities",producing marine wooden components using hand tools,,,leading the application of six sigma metrics to a project,,removing and replacing components of aircraft environmental systems,,,,
69,,,,,,,,,replace components in electrical plant and equipment,,operating centre lathes,using and interpreting engineering data and documentation,producing marine wooden components using machines,,,leading the carrying out of capability studies,,removing and replacing components of aircraft fuel and lubrication systems,,,,
70,,,,,,,,,replace components in electrical process plant and equipment,,operating cnc electro-discharge machines,working efficiently and effectively in engineering,producing replacement components for marine maintenance activities,,,leading the carrying out of six sigma process mapping,,removing and replacing components of aircraft hydraulic systems,,,,
71,,,,,,,,,replace components in instrument and control process plant and equipment,,operating cnc machining centres,,producing socket and flange fillet welded joints in pipe using a manual welding process,,,leading the creation of flexible production and manpower systems,,removing and replacing components of aircraft internal and external lighting systems,,,,
72,,,,,,,,,replace components in instrument and control systems,,operating cnc milling machines,,repairing marine composite components and assemblies,,,leading the creation of standard operating procedures (sop),,removing and replacing components of aircraft power transmission systems,,,,
73,,,,,,,,,replace components in mechanical plant and equipment,,operating cnc turning machines,,restoring marine mechanical components to usable condition by repair,,,leading the development of visual management systems,,repairing airframes and structures,,,,
74,,,,,,,,,test the performance and condition of electrical plant and equipment,,operating milling machines,,"setting to work, testing and trialling marine communication equipment and systems",,,leading the production of a characteristic selection matrix,,repairing and modifying mechanical assemblies,,,,
75,,,,,,,,,test the performance and condition of instrument and control systems,,preparing and proving cnc fabrication machine tool programs,,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",,,leading value management (value engineering and value analysis) activities,,repairing composite mouldings,,,,
76,,,,,,,,,test the performance and condition of mechanical plant and equipment,,preparing and proving cnc machine tool programs,,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems",,,leading value stream mapping (vsm) activities,,"towing, marshalling and parking aircraft",,,,
77,,,,,,,,,"work safely, minimise risk and comply with emergency procedures",,preparing and using cnc fabrication machinery,,"setting to work, testing and trialling marine navigational equipment and systems",,,leading welding and fabrication activities,,trimming composite mouldings using hand tools,,,,
78,,,,,,,,,,,preparing and using cnc machining centres,,"slinging, lifting and moving materials, machinery and components in a marine environment",,,leading workplace organisation activities,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,,,,
79,,,,,,,,,,,preparing and using cnc milling machines,,tack welding marine plate using a manual/semi automatic welding process,,,manage budgets,,undertaking scheduled maintenance of aircraft avionics equipment/systems,,,,
80,,,,,,,,,,,preparing and using cnc turning machines,,testing marine electrical and electronic equipment and circuits,,,manage business processes,,using and interpreting engineering data and documentation,,,,
81,,,,,,,,,,,preparing and using grinding machines,,using and interpreting engineering data and documentation,,,manage conflict in teams,,using curing and consolidation equipment for composite mouldings,,,,
82,,,,,,,,,,,preparing and using industrial robots,,welding marine materials and structures using semi-automatic mig/mag and flux cored arc processes,,,manage people’s performance at work,,working efficiently and effectively in engineering,,,,
83,,,,,,,,,,,preparing and using lathes for turning operations,,welding marine materials and structures using the manual metal arc process,,,manage physical resources,,,,,,
84,,,,,,,,,,,preparing and using manual flame brazing and braze welding equipment,,welding materials with mechanised arc welding equipment,,,manage programmes,,,,,,
85,,,,,,,,,,,preparing and using manual metal arc welding equipment,,working efficiently and effectively in engineering,,,manage quality assurance systems,,,,,,
86,,,,,,,,,,,preparing and using manual oxy/fuel gas welding equipment,,,,,manage quality audits,,,,,,
87,,,,,,,,,,,preparing and using manual tig or plasma-arc welding equipment,,,,,manage the development of products and services,,,,,,
88,,,,,,,,,,,preparing and using milling machines,,,,,manage the environmental and social impacts of your work,,,,,,
89,,,,,,,,,,,"preparing and using semi-automatic mig, mag and flux cored arc welding equipment",,,,,manage the use of financial resources,,,,,,
90,,,,,,,,,,,producing aircraft detail assemblies,,,,,mentor individuals,,,,,,
91,,,,,,,,,,,producing cad models (drawings) using a cad system,,,,,monitor and evaluate engineering processes,,,,,,
92,,,,,,,,,,,producing components using hand fitting techniques,,,,,monitoring welding activities in production,,,,,,
93,,,,,,,,,,,producing composite assemblies,,,,,obtain physical resources,,,,,,
94,,,,,,,,,,,producing composite mouldings using pre-preg techniques,,,,,obtaining resources for the implementation of engineering activities,,,,,,
95,,,,,,,,,,,producing composite mouldings using resin film infusion techniques,,,,,outsource business processes,,,,,,
96,,,,,,,,,,,producing composite mouldings using resin flow infusion techniques,,,,,plan and control new product design benchmarking activities,,,,,,
97,,,,,,,,,,,producing electrical or electronic engineering drawings using a cad system,,,,,plan and control new product manufacturing process benchmarking activities,,,,,,
98,,,,,,,,,,,producing engineering project plans,,,,,"plan and decommission engineering equipment, processes or facilities",,,,,,
99,,,,,,,,,,,producing fillet welded joints using a manual/semi-automatic welding process,,,,,plan and manage the installation of the new product manufacturing process,,,,,,
100,,,,,,,,,,,producing holes using drilling machines,,,,,planning welding production resources and activities,,,,,,
101,,,,,,,,,,,producing mechanical assemblies,,,,,prepare for and participate in quality audits,,,,,,
102,,,,,,,,,,,producing mechanical engineering drawings using a cad system,,,,,procure products and/or services,,,,,,
103,,,,,,,,,,,producing mechanical sub assemblies/ assemblies,,,,,produce and evaluate conceptual design options for new products,,,,,,
104,,,,,,,,,,,producing platework assemblies,,,,,produce new product designs for manufacture and assembly,,,,,,
105,,,,,,,,,,,producing platework components and assemblies,,,,,producing engineering specifications,,,,,,
106,,,,,,,,,,,producing sheet metal assemblies,,,,,propose and specify engineering research,,,,,,
107,,,,,,,,,,,producing sheet metal components and assemblies,,,,,"propose decommissioning of engineering equipment, processes or facilities",,,,,,
108,,,,,,,,,,,producing structural steel ancillary components,,,,,"provide healthy, safe, secure and productive working environments and practices",,,,,,
109,,,,,,,,,,,restoring mechanical components to usable condition by repair,,,,,provide leadership in your area of responsibility,,,,,,
110,,,,,,,,,,,"slinging, lifting and moving materials and components",,,,,provide technical advice and guidance on engineering or manufacturing requirements,,,,,,
111,,,,,,,,,,,using and communicating technical information,,,,,schedule engineering activities,,,,,,
112,,,,,,,,,,,using and interpreting engineering data and documentation,,,,,select suppliers through a tendering process,,,,,,
113,,,,,,,,,,,using computer software packages to assist with engineering activities,,,,,sell products and services,,,,,,
114,,,,,,,,,,,using lathes for turning operations,,,,,solve engineering or manufacturing problems,,,,,,
115,,,,,,,,,,,using manual metal arc welding equipment,,,,,solving welding problems in production,,,,,,
116,,,,,,,,,,,using milling machines,,,,,specify methods and procedures to achieve engineering requirements,,,,,,
117,,,,,,,,,,,using oxy-fuel gas cutting equipment,,,,,specify risk reduction methods and procedures,,,,,,
118,,,,,,,,,,,using semi-automatic mig or mag welding equipment,,,,,support individuals’ learning and development,,,,,,
119,,,,,,,,,,,"using wood for pattern, modelmaking and other engineering applications",,,,,support remote/virtual teams,,,,,,
120,,,,,,,,,,,welding materials with mechanised arc welding equipment,,,,,"transfer control of engineering products, processes or facilities",,,,,,
121,,,,,,,,,,,wiring and testing electrical equipment and circuits,,,,,undertake engineering research,,,,,,
122,,,,,,,,,,,wiring and testing programmable controller based systems,,,,,undertaking project management activities,,,,,,
123,,,,,,,,,,,wiring electrical equipment and circuits,,,,,use information to take effective decisions,,,,,,
124,,,,,,,,,,,working efficiently and effectively in engineering,,,,,verify new product designs using a computer model,,,,,,
125,,,,,,,,,,,,,,,,verify new product designs using a physical model,,,,,,
