,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,understand how to carry out preventative planned maintenance on services systems and equipment used in food and drink operations;understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ,,,,,,producing aircraft engine turbine assemblies;producing aircraft piston engine assemblies;producing aircraft engine compressor assemblies;producing aircraft engine gearbox assemblies;producing aircraft engine combustion assemblies;dressing aircraft engines;producing aircraft detail assemblies;producing aircraft engine major assemblies,,,,obtaining resources for the implementation of engineering activities,maintaining electrical equipment/systems,,,,joining public service vehicle components by mechanical processes,,installing marine weapons equipment and systems,installing marine weapons equipment and systems,,,,,,
29,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,,,,,,producing composite and/or metallic aircraft major assemblies,,,,"plan and decommission engineering equipment, processes or facilities",maintaining electronic equipment/systems,,,,maintaining and testing process instrumentation and control devices,,installing rigging and lifting equipment;carrying out the installation of rigging and lifting equipment,installing rigging and lifting equipment;carrying out the installation of rigging and lifting equipment,,,,,,
30,understand how to hand over and confirm completion of maintenance activities within food and drink operations,,,,,,producing composite and/or metallic aircraft sub-assemblies,,,,planning welding production resources and activities,maintaining fluid power equipment,,,,maintaining electrical equipment/systems,,joining marine pipework by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework;joining materials using manual torch brazing and soldering;joining marine materials by manual torch brazing and soldering,joining marine materials/structures using the manual metal arc (mma) welding process;welding plate using multiple manual arc welding processes;welding marine pipe/tube using multiple manual arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;welding pipe/tube using multiple manual arc welding processes;joining components for commercial and passenger carrying vehicles using a manual welding process;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;tack welding marine plate using a manual/semi-automatic welding process;welding marine materials and structures using manual tig and plasma arc welding processes;welding marine materials and structures using semi-automatic mig/mag and;assembling jig and fixture structures using a manual welding process;tack welding marine plate using a manual welding process;producing fillet welded joints using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;welding marine plate and structures using multiple manual arc welding processes;producing socket and flange fillet welded joints in pipe using a manual welding process;tack welding fillet joints in marine steelwork;joining marine materials/structures using manual tig and plasma-arc welding processes;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process,,,,,,
31,understand how to maintain emergency power generation equipment used in food and drink operations ,,,,,,producing composite mouldings using wet lay-up techniques,,,,producing engineering specifications,maintaining mechanical devices and equipment,,,,maintaining electronic equipment/systems,,joining non-metallic marine pipework;joining non-ferrous marine pipework;assembling non-metallic marine pipework;assembling non-ferrous marine pipework;joining ferrous marine pipework by mechanical means;assembling ferrous marine pipework by mechanical means,joining marine pipework by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework;joining materials using manual torch brazing and soldering;joining marine materials by manual torch brazing and soldering,,,,,,
32,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,,,,,,producing technical details for aeronautical engineering activities,,,,"propose decommissioning of engineering equipment, processes or facilities",marking out components for fabrication,,,,maintaining mechanical devices and equipment,,lining off for assembly and erection of marine steelwork and components,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,,,,,,
33,understand how to maintain fresh water distribution systems and equipment used in food and drink operations;understand how to maintain heating and ventilation systems used in food and drink operations;understand how to maintain compressed air systems and equipment used in food and drink operations;understand how to maintain air conditioning and ventilation systems used in food and drink operations  ;understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations,,,,,,providing technical guidance on aeronautical engineering activities,,,,providing technical advice and guidance on engineering or manufacturing requirements,preparing and proving cnc fabrication machine tool programs,,,,marking out components for fabrication,,maintaining marine auxiliary power units,joining non-metallic marine pipework;joining non-ferrous marine pipework;assembling non-metallic marine pipework;assembling non-ferrous marine pipework;joining ferrous marine pipework by mechanical means;assembling ferrous marine pipework by mechanical means,,,,,,
34,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,,,,,rebuilding aircraft gas turbine engine assemblies after overhaul,,,,schedule engineering activities ,preparing and proving cnc machine tool programs,,,,preparing and proving cnc fabrication machine tool programs,,"maintaining marine communication equipment and systems;maintaining marine sensor equipment and systems;maintaining marine navigational equipment and systems;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine computer equipment and systems;maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining marine electrical rotating machines and domestic equipment;maintaining electronic equipment in yachts and boats",lining off for assembly and erection of marine steelwork and components,,,,,,
35,understand how to maintain instrumentation and control systems used in food and drink operations,,,,,,reinstating the work area on completion of activities,,,,solve engineering or manufacturing problems,preparing and using cnc fabrication machinery,,,,preparing and proving cnc machine tool programs,,maintaining marine fuel systems and equipment,maintaining marine auxiliary power units,,,,,,
36,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,,,,,,"removing and replacing components of aircraft armament systems;removing and replacing components of aircraft passive warning and optical/surveillance systems;removing and replacing avionic indication and gauging components in aircraft systems;removing and replacing components of aircraft radar systems;removing and replacing components of aircraft electrical power control, distribution and protection systems;removing and replacing components of aircraft navigational and computing systems;removing and replacing components of aircraft internal and external lighting systems;removing and replacing components of aircraft pitot static systems;removing and replacing components of aircraft communication systems",,,,solving welding problems in production,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,,,,preparing and using cnc fabrication machinery,,maintaining marine hydraulic systems and equipment,"maintaining marine communication equipment and systems;maintaining marine sensor equipment and systems;maintaining marine navigational equipment and systems;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine computer equipment and systems;maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining marine electrical rotating machines and domestic equipment;maintaining electronic equipment in yachts and boats",,,,,,
37,understand how to maintain process controller equipment within an engineered system used in food and drink operations,,,,,,"removing and replacing components of aircraft cabin systems, equipment and furnishings;removing and replacing aircraft power plant and components;removing and replacing components of aircraft hydraulic systems;removing and replacing components of aircraft power transmission systems;removing and replacing components of aircraft environmental systems",,,,specify methods and procedures to achieve engineering requirements,preparing and using grinding machines,,,,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,,maintaining marine mechanical control equipment and systems,maintaining marine fuel systems and equipment,,,,,,
38,understand how to maintain workplace environmental control systems used in food and drink operations,,,,,,removing and replacing components of aircraft fuel and lubrication systems,,,,specify risk reduction methods and procedures,preparing and using industrial robots,,,,preparing and using grinding machines,,"maintaining marine steering gear, control systems and equipment",maintaining marine hydraulic systems and equipment,,,,,,
39,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,,,,,,repairing aircraft composite mouldings,,,,"transfer control of engineering products, processes or facilities",preparing and using lathes for turning operations,,,,preparing and using industrial robots,,marking off marine structural steelwork components;marking off for the manufacture of marine steelwork components,maintaining marine mechanical control equipment and systems,,,,,,
40,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,,,,repairing airframes and structures,,,,,preparing and using manual flame brazing and braze  welding equipment,,,,preparing and using lathes for turning operations,,marking out for fabrication and assembly of marine sheet metalwork;marking out marine sheet metalwork,"maintaining marine steering gear, control systems and equipment",,,,,,
41,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,,,,,,"towing, marshalling and parking aircraft",,,,,"preparing and using manual tig or plasma-arc welding equipment;using manual metal arc welding equipment;using semi-automatic mig or mag welding equipment;preparing and using manual metal arc welding equipment;using manual oxy-fuel gas welding equipment;preparing and using semi-automatic mig, mag and flux cored arc welding equipment;using manual tig welding equipment",,,,preparing and using manual flame brazing and braze  welding equipment,,marking out for the installation of marine wooden assemblies,marking off marine structural steelwork components;marking off for the manufacture of marine steelwork components,,,,,,
42,use engineering drawings and documents in maintenance activities in food and drink operations,,,,,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,,,,,preparing and using milling machines,,,,"preparing and using manual tig or plasma-arc welding equipment;using manual metal arc welding equipment;using semi-automatic mig or mag welding equipment;preparing and using manual metal arc welding equipment;using manual oxy-fuel gas welding equipment;preparing and using semi-automatic mig, mag and flux cored arc welding equipment;using manual tig welding equipment",,marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture and assembly of marine wooden components;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats;marking out for manufacture and assembly of marine wooden components,marking out for fabrication and assembly of marine sheet metalwork;marking out marine sheet metalwork,,,,,,
43,,,,,,,undertaking scheduled maintenance of aircraft avionics equipment/systems,,,,,producing aircraft detail assemblies,,,,preparing and using milling machines,,"moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment",marking out for the installation of marine wooden assemblies,,,,,,
44,,,,,,,using curing and consolidation equipment for aircraft composite mouldings,,,,,producing cad models (drawings) using a cad system,,,,producing aircraft detail assemblies,,outfitting marine steelwork,marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture and assembly of marine wooden components;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats;marking out for manufacture and assembly of marine wooden components,,,,,,
45,,,,,,,using hand tools to trim composite mouldings;trimming aircraft composite mouldings using hand tools,,,,,producing components using hand fitting techniques;making components using hand tools and fitting techniques,,,,producing cad models (drawings) using a cad system,,overhauling and repairing marine electrical rotating machines and domestic equipment;overhauling electrical marine rotating machines and domestic equipment,"moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment",,,,,,
46,,,,,,,using pre-preg laminating techniques to produce composite mouldings;using atl/afp laminating techniques to produce composite mouldings;producing aircraft composite mouldings using pre-preg laminating techniques;producing aircraft composite mouldings using atl/afp laminating techniques;using resin film infusion techniques to produce composite mouldings;producing aircraft composite mouldings using resin film infusion techniques,,,,,producing composite mouldings using pre-preg techniques,,,,producing components using hand fitting techniques;making components using hand tools and fitting techniques,,overhauling marine fuel systems and equipment,outfitting marine steelwork,,,,,,
47,,,,,,,,,,,,producing electrical or electronic engineering drawings using a cad system,,,,producing composite mouldings using pre-preg techniques,,overhauling marine propulsion systems,overhauling and repairing marine electrical rotating machines and domestic equipment;overhauling electrical marine rotating machines and domestic equipment,,,,,,
48,,,,,,,,,,,,producing engineering project plans,,,,producing electrical or electronic engineering drawings using a cad system,,preparing and testing marine pipework systems;assisting in the testing of marine pipework systems,overhauling marine fuel systems and equipment,,,,,,
49,,,,,,,,,,,,producing mechanical engineering drawings using a cad system,,,,producing engineering project plans,,preparing docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts;assisting in the preparation of docks and slips for vessel operations,overhauling marine propulsion systems,,,,,,
50,,,,,,,,,,,,producing platework components and assemblies,,,,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,,preparing loads for moving;setting up and preparing loads for moving,preparing and testing marine pipework systems;assisting in the testing of marine pipework systems,,,,,,
51,,,,,,,,,,,,using computer software packages to assist with engineering activities,,,,producing mechanical engineering drawings using a cad system,,preparing marine coatings for application;preparing holding primer for application;preparing coating materials for application on yachts and boats;preparing marine coating materials for application,preparing docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts;assisting in the preparation of docks and slips for vessel operations,,,,,,
52,,,,,,,,,,,,"using wood for pattern, modelmaking and other engineering applications",,,,producing platework components and assemblies,,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and;carrying out patch preparation of material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for painting/finishing,preparing loads for moving;setting up and preparing loads for moving,,,,,,
53,,,,,,,,,,,,wiring and testing electrical equipment and circuits,,,,producing structural steel ancillary components,,producing wooden structural components for yachts and boats using machines;producing furniture and structural components for leisure vehicles;producing marine wooden components using hand tools;producing marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and;producing wooden furniture/outfitting components for yachts and boats using;producing marine outfitting components in wood based materials;shaping marine wooden components using machines;producing/finishing wooden structural components for yachts and boats;shaping marine wooden components using hand tools,preparing marine coatings for application;preparing holding primer for application;preparing coating materials for application on yachts and boats;preparing marine coating materials for application,,,,,,
54,,,,,,,,,,,,wiring and testing programmable controller based systems,,,,producing structural steel ancillary components,,repairing marine composite components and assemblies,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and;carrying out patch preparation of material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for painting/finishing,,,,,,
55,,,,,,,,,,,,working efficiently and effectively in engineering,,,,"slinging, lifting and moving materials and components",,"setting to work, testing and trialling marine communication equipment and systems",producing wooden structural components for yachts and boats using machines;producing furniture and structural components for leisure vehicles;producing marine wooden components using hand tools;producing marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and;producing wooden furniture/outfitting components for yachts and boats using;producing marine outfitting components in wood based materials;shaping marine wooden components using machines;producing/finishing wooden structural components for yachts and boats;shaping marine wooden components using hand tools,,,,,,
56,,,,,,,,,,,,,,,,using computer software packages to assist with engineering activities,,"setting to work, testing and trialling marine electrical rotating machines and domestic equipment;setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",repairing marine composite components and assemblies,,,,,,
57,,,,,,,,,,,,,,,,"using wood for pattern, modelmaking and other engineering applications",,"setting to work, testing and trialling marine navigational equipment and systems;setting to work, testing and trialling marine computer equipment and systems","setting to work, testing and trialling marine communication equipment and systems",,,,,,
58,,,,,,,,,,,,,,,,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,,"setting to work, testing and trialling marine weapons equipment and systems;setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems","setting to work, testing and trialling marine electrical rotating machines and domestic equipment;setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",,,,,,
59,,,,,,,,,,,,,,,,wiring and testing electrical equipment and circuits,,testing marine electrical and electronic equipment and circuits;carrying out tests on marine electrical equipment and circuits;testing marine electrical equipment and circuits;carrying out tests on marine electrical and electronic equipment and circuits,"setting to work, testing and trialling marine navigational equipment and systems;setting to work, testing and trialling marine computer equipment and systems",,,,,,
60,,,,,,,,,,,,,,,,wiring and testing programmable controller based systems,,,"setting to work, testing and trialling marine weapons equipment and systems;setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems",,,,,,
61,,,,,,,,,,,,,,,,working efficiently and effectively in engineering,,,testing marine electrical and electronic equipment and circuits;carrying out tests on marine electrical equipment and circuits;testing marine electrical equipment and circuits;carrying out tests on marine electrical and electronic equipment and circuits,,,,,,
