,15,9,26,8,18,40,3,37,21,28,16,11,27,39,32,25,33,19,4,34,13,41,29,10,20,30,22,31
52,,,,,,identifying defects in motorsport composite mouldings;identifying defects in leisure vehicle composite mouldings,,,,,,,,machining toolroom components using grinding machines;machining toolroom components using electro-discharge machines,overhauling marine hydraulic systems and equipment,,,unit 4: prepare for a processing operation within polymer processing and related operations,contribute to post-trial or post-test tasks relating to explosive substances and/or articles,"setting to work and testing marine power transmission systems and  equipment;setting to work and testing marine refrigeration and air conditioning equipment;setting to work and testing marine pantry and galley equipment and services;setting to work and testing marine liquid ballast arrangements;setting to work and testing marine steam plant and equipment;setting to work and testing marine propulsion systems and equipment;setting to work and testing marine steering gear, control equipment and systems;setting to work and testing marine fire main systems and equipment;setting to work and testing marine hydraulic systems and equipment;setting to work and testing marine auxiliary power ;setting to work and testing marine lifting equipment;setting to work and testing marine pneumatic systems and equipment;setting to work and testing marine fuel systems and equipment;setting to work and testing marine power transmission systems and equipment",,,,,,"apply core land-based engineering principles: material preparation, shaping and assembling",,implementing approved continuing airworthiness maintenance programmes 
53,,,,,,carrying out repairs or modifications to jigs or fixtures,,,,,,,,setting grinding machines to produce toolroom components,overhauling marine pneumatic systems and equipment,,,unit 47: rectify process problems within polymer processing and related operations,validate a trial or test procedure for explosive substances and/or articles,diagnose faults in signalling equipment;diagnose faults in telecoms equipment,,,,,,apply core land-based engineering principles: servicing and maintenance,,supporting the management and development of systems and procedures in a continuing airworthiness environment
54,,,,,,forming marine components by acrylic moulding,,,,,,,,joining rails using the aluminothermic welding process;welding rails using the aluminothermic welding process,overhauling marine auxiliary power units,,,unit 5: contribute to a machine-based processing,plan the trial of explosive substances and/or articles,"identify faults in plumbing systems, equipment and components",,,,,,apply core land-based engineering principles: thermal joining processes,,reinstating the work area on completion of aircraft engineering activities
55,,,,,,vacuum forming marine composite materials,,,,,,,,restore rails to operational condition using an arc welding process,overhauling marine mechanical control equipment and systems,,,unit 6: carry out a hand-based processing,plan the test of explosive substances and/or articles,"rectify faults in plumbing systems, equipment and components",,,,,,contribute to safe working practices in bus/coach engineering and maintenance,,carrying out aircraft routine servicing
56,,,,,,repairing rigid inflatable boat (rib) sponsons;repairing hovercraft skirting assemblies,,,,,,,,"welding materials using laser welding machines;welding materials using friction welding machines;joining materials using plastics welding machines;welding materials using electron beam welding machines;joining rails using flash welding equipment;joining materials using brazing machines;welding rails using flash welding equipment;welding materials using resistance spot, seam and projection welding machines","overhauling marine steering gear, control systems and equipment",,,unit 7: finish production components within,develop and update explosives standard operating procedure/s,"identify and rectify faults in cooling systems, equipment and components",,,,,,carry out basic vehicle repairs in bus/coach engineering and maintenance,,carry out maintenance on aircraft mechanical systems by component replacement
57,,,,,,,,,,,,,,cutting and shaping marine soft furnishings;producing marine soft furnishings,overhauling marine lifting equipment,,,unit 8: pack and store production components,contribute to explosives standard operating procedure/s (sop),"identify faults in mechanical systems, equipment and components",,,,,,carry out basic vehicle checks and servicing in bus/coach engineering and maintenance,,carrying out maintenance on aircraft electrical/electronic systems by component replacement
58,,,,,,,,,,,,,,"preparing laser welding machines for production;preparing electron beam welding machines for production;preparing friction welding machines for production;preparing brazing machines for production;preparing resistance spot, seam and projection welding machines for production",overhauling marine ancillary plant and equipment,,,"unit 9: accept, verify and store materials required",plan the maintenance programme for explosive substances and/or articles,overhaul and repair engines on land-based equipment,,,,,,carry out bus/coach servicing,,assembling aircraft airframe ancillary components
59,,,,,,,,,,,,,,producing patterns for rigid inflatable boat (rib) sponsons;producing patterns for hovercraft skirts,overhauling marine steam plant and equipment,,,take samples and measurements for quality assurance purposes,assess the feasibility of an explosive substance or article repair,,,,,,,rectify body damage on bus/coach vehicle body components,,producing aircraft cableforms and looms
60,,,,,,,,,,,,,,cutting and forming materials to produce hovercraft skirts ;cutting and forming materials to produce rigid inflatable boat (rib) sponsons,overhauling marine liquid ballast arrangements,,,work safely,audit the effectiveness of configuration activities for explosive substances and/or articles,,,,,,,identify and locate mechanical faults in bus/coach systems and components,,assembling aircraft electrical components
61,,,,,,,,,,,,,,,overhauling marine fire main systems and equipment,,,solve explosives process problems;resolve explosives operational problems,manage the maintenance programme for explosive substances and/or articles,,,,,,,identify and locate electrical faults in bus/coach systems and components,,making modifications to aircraft cableforms and looms
62,,,,,,,,,,,,,,,overhauling marine refrigeration and air conditioning equipment,,,assess the configuration of metered areas,manage the maintenance plan for explosive substances and/or articles,,,,,,,identify bus/coach body damage and recommend suitable repair techniques,,assembling aircraft composite components
63,,,,,,,,,,,,,,,overhauling marine pantry and galley equipment,,,"meet safety, health and environmental requirements in the workplace for the polymer industry",identify the requirement and specification for explosive substances and/or articles,,,,,,,complete routine assembly of bus/coach body components,,assembling sub-assembly units to vehicles
64,,,,,,,,,,,,,,,maintaining electrical equipment in yachts and boats,,,"apply environmental legislation, working practices and principles (mechanical services)",define the procurement strategy for explosive substances and/or articles,,,,,,,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,,assembling power plant units
65,,,,,,,,,,,,,,,servicing domestic systems and equipment in yachts and boats,,,,contribute to the identification of the requirement and specification for explosive substances and/or articles,,,,,,,provide roadside assistance for broken down buses/coaches,,assembling the rear axle sub-assembly
66,,,,,,,,,,,,,,,"overhauling marine systems, plant and equipment",,,,identify potential suppliers of explosive substances and/or articles,,,,,,,complete thermal joining of bus/coach components,,assembling the front suspension sub-assembly
67,,,,,,,,,,,,,,,carrying out planned maintenance activities on marine mechanical equipment,,,,provide explosives-related technical input to assist in identifying potential suppliers and/or articles,,,,,,,conduct inspections of buses/coaches,,assembling braking systems to vehicles
68,,,,,,,,,,,,,,,carrying out routine servicing of electrical/electronic equipment,,,,negotiate and award contracts for explosives substances and/or articles,,,,,,,assess body damage to buses/coaches,,assembling vehicle body sub-assemblies
69,,,,,,,,,,,,,,,carry out scheduled maintenance on traction and rolling stock mechanical equipment,,,,place orders for the supply of explosive substances and/or articles,,,,,,,repair damage to bus/coach body components,,assembling body sub-assemblies to produce a vehicle
70,,,,,,,,,,,,,,,carry out scheduled maintenance on traction and rolling stock electrical equipment,,,,manage the contract for the supply of explosive substances and/or articles,,,,,,,set out and assemble bus/coach body components,,preparing vehicle body surfaces for finishing
71,,,,,,,,,,,,,,,carry out scheduled maintenance on traction and rolling stock fluid power equipment,,,,ensure compliance with contract terms for the supply of explosive substances and/or articles,,,,,,,recondition mechanical components in buses/coaches,,spraying vehicle body surfaces
72,,,,,,,,,,,,,,,carry out scheduled maintenance on traction and rolling stock communication-electronic equipment,,,,move explosive substances and/or articles manually,,,,,,,install ancillary systems and components in buses/coaches,,diagnosing and rectifying faults in vehicle electrical and electronic systems
73,,,,,,,,,,,,,,,maintain electrical equipment within a traction and rolling stock system,,,,manage stock levels and stock inventories of explosive substances and/or articles,,,,,,,establish customer technical requirements for buses/coaches,,trimming of body components for vehicles
74,,,,,,,,,,,,,,,maintain process controller equipment within a traction and rolling stock system,,,,audit stock levels and stock inventories for explosive substances and/or articles,,,,,,,improve the service provided to customers of buses/coaches,,machining and hand sewing of vehicle trim components
75,,,,,,,,,,,,,,,carry out preventative planned maintenance on traction and rolling stock systems,,,,carry out stock checks of explosive substances and/or articles,,,,,,,carry out roadside recovery of buses/coaches,,assembling trim components to vehicles
76,,,,,,,,,,,,,,,maintain traction and rolling stock air conditioning and ventilation systems,,,,maintain stock control systems for explosive substances and/or articles,,,,,,,plan and organise work of self and others,,producing and assembling substrates for vehicle components
77,,,,,,,,,,,,,,,maintain traction and rolling stock ancillary equipment,,,,operate specialized plant and machinery to performance requirements for explosive substances and/or articles,,,,,,,support learners by coaching in the workplace,,veneering and finishing vehicle components
78,,,,,,,,,,,,,,,maintain traction and rolling stock vehicle trim and fittings,,,,"lift, transfer and position explosive substances and/or articles loads",,,,,,,operate an it system in a bus/coach engineering and maintenance environment,,lacquering and polishing veneered vehicle components
79,,,,,,,,,,,,,,,carrying out maintenance of night vision goggles;carrying out maintenance of aircrew personal survival packs (psp);carrying out maintenance of static line parachute assemblies;carrying out maintenance of ejection seat headbox parachute assemblies;carrying out maintenance of aircrew oxygen masks;carrying out maintenance of brake parachute assemblies;carrying out maintenance of aircraft multi-seat life rafts and emergency packs;servicing parachute assemblies;carrying out maintenance of free fall parachute assemblies;carrying out maintenance of aircrew quick-release fasteners (qrf);carrying out maintenance of aircrew life preserver equipment;servicing aircrew life preserver equipment;carrying out maintenance of aircrew inertia reels and restraint harnesses,,,,supervise the placing of explosive substances and/or articles into storage,,,,,,,contribute to safe working practices in the rail engineering industry,,assembling and disassembling mechanical equipment on experimental vehicles
80,,,,,,,,,,,,,,,maintain fluid power equipment within a traction and rolling stock system;maintain mechanical equipment within a traction and rolling stock system,,,,put explosive substances and/or articles into storage,,,,,,,carry out installation of electrification and plant assets,,assembling and disassembling electrical and electronic equipment on experimental vehicles
81,,,,,,,,,,,,,,,maintain traction and rolling stock water supply and effluent waste systems and equipment,,,,supervise the receiving of explosive substances and/or articles into storage,,,,,,,plan electrification and plant engineering activities,,assembling structures for experimental vehicle engineering using mechanical fasteners
82,,,,,,,,,,,,,,,"maintaining mould, press tool or die equipment",,,,select and prepare explosive substances and/or articles for despatch,,,,,,,transfer responsibility of electrification and plant equipment and components,,repairing and refurbishing commercial and passenger carrying vehicles
83,,,,,,,,,,,,,,,"carrying out planned maintenance on mould, press tool or die equipment",,,,despatch explosive substances and/or articles,,,,,,,assist in preparing resources for electrification and plant engineering activities,,fitting ancillary units to commercial and passenger carrying vehicles
84,,,,,,,,,,,,,,,carrying out planned maintenance on power presses,,,,"supervise the selection, preparation and despatch of explosive substances and/or articles",,,,,,,allocate and monitor resources for electrification and plant engineering activities,,fitting internal and external trim and fitments to commercial and passenger carrying vehicles
85,,,,,,,,,,,,,,,dismantling and removing marine electrical equipment;disconnecting and removing marine electrical and electronic equipment,,,,escort the explosive substances and articles load,,,,,,,carry out technical assessment of electrification and plant,,fitting pipework systems to commercial and passenger carrying vehicles
86,,,,,,,,,,,,,,,servicing ancillary systems and equipment in yachts and boats;servicing engine/propulsion systems in yachts and boats,,,,define explosives facilities requirement,,,,,,,manually switch the electrical supply to contact systems to meet defined requirements in the rail engineering industry,,modifying commercial and passenger carrying vehicles
87,,,,,,,,,,,,,,,"service and maintain mechanical systems, equipment and components",,,,ensure explosives facilities are fit for purpose,,,,,,,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,,setting up motorsport vehicles
88,,,,,,,,,,,,,,,"service and maintain cooling systems, equipment and components",,,,conduct safety checks on explosives facilities,,,,,,,establish information for signal engineering maintenance and/or fault finding,,carrying out motorsport vehicle inspections during a competition
89,,,,,,,,,,,,,,,"service industrial and commercial heating & ventilation systems, equipment and components",,,,develop and implement the explosives facility decommissioning plan,,,,,,,plan signal maintenance testing activities,,removing and refitting motorsport engines and ancillary components
90,,,,,,,,,,,,,,,"maintain industrial and commercial heating & ventilation systems, equipment and components",,,,conduct decommissioning tasks on explosives facility,,,,,,,assist in the installation of signalling equipment,,removing and refitting transmissions on motorsport vehicles
91,,,,,,,,,,,,,,,"service and maintain ductwork systems, equipment and components",,,,unit 28: pick polymer stock and make up orders within polymer processing and related operations,,,,,,,carry out installation of signalling assets,,removing and refitting suspension systems on motorsport vehicles
92,,,,,,,,,,,,,,,,,,,making vehicle trim prototypes and patterns,,,,,,,assist in planned maintenance of signalling equipment,,removing and refitting steering systems on motorsport vehicles
93,,,,,,,,,,,,,,,,,,,create the complex specification for explosive substances and/or articles,,,,,,,carry out planned maintenance of signalling assets,,removing and refitting chassis sub-assemblies and components on motorsport vehicles
94,,,,,,,,,,,,,,,,,,,create the specification for the design of complex explosive articles;create the specification for the design of an explosive article,,,,,,,adjust signalling components and equipment to meet operational requirements,,"removing, fitting and trimming bodywork to motorsport vehicles"
95,,,,,,,,,,,,,,,,,,,build prototype(s) of selected design(s) for explosive articles;build prototype(s) of selected design(s) for complex explosive articles,,,,,,,assist in the removal of signalling equipment,,removing and refitting electrical/electronic equipment on motorsport vehicles
96,,,,,,,,,,,,,,,,,,,design the complex explosive display;design the explosive display,,,,,,,carry out removal of components from signalling assets,,inspecting motorsport components by penetrant flaw detection techniques
97,,,,,,,,,,,,,,,,,,,prepare and position explosive effects,,,,,,,assist in the replacement of signalling equipment,,producing motorsport composite assemblies
98,,,,,,,,,,,,,,,,,,,dispose of explosive substances and/or articles by non-complex biological breakdown procedures;dispose of explosive substances and/or articles by non-complex mechanical breakdown procedures;dispose of explosive substances and/or articles by complex chemical breakdown procedures;dispose of explosive substances and/or articles by complex burning procedures;dispose of explosive substances and/or articles by non-complex burning procedures;dispose of explosive substances and/or articles by non-complex deflagration procedures;dispose of explosive substances and/or articles by complex incineration procedures;dispose of explosive substances and/or articles by complex mechanical breakdown procedures;dispose of explosive substances and/or articles by non-complex chemical breakdown procedures;dispose of explosive substances and/or articles by complex deflagration procedures;dispose of explosive substances and/or articles by complex detonation procedures;dispose of explosive substances and/or articles by non-complex detonation procedures;dispose of explosive substances and/or articles by complex biological breakdown procedures;dispose of explosive substances and/or articles by non-complex incineration procedures,,,,,,,carry out replacement of components from signalling assets,,installing cableforms and looms in motorsport vehicles
99,,,,,,,,,,,,,,,,,,,carry out post-disposal tasks for explosive substances and/or articles;carry out post-trial or post-test tasks relating to explosive substances and/or articles,,,,,,,assist with establishing compliance with specifications for signalling equipment,,modifying motorsport vehicle electrical/electronic systems
100,,,,,,,,,,,,,,,,,,,determine the existence of a suitable disposal procedure for explosive substances and/or articles;determine the existence of a suitable trial or test procedure for explosive substances and/or articles,,,,,,,establish compliance with specifications for signalling assets,,testing motorsport vehicle cableforms and looms
101,,,,,,,,,,,,,,,,,,,plan the disposal of explosive substances and/or articles (complex);plan the disposal of explosive substances and/or articles (non-complex),,,,,,,conduct specific testing of signalling electronic equipment,,constructing and assembling cableforms and wiring looms for motorsport vehicles
102,,,,,,,,,,,,,,,,,,,carry out pre-trial or pre-test tasks relating to explosive substances and/or articles;carry out pre-disposal tasks for explosive substances and/or articles,,,,,,,diagnose faults in signalling assets,,inspecting motorsport components by magnetic particle testing
103,,,,,,,,,,,,,,,,,,,assess the suitability of explosives facilities,,,,,,,establish information for telecoms engineering maintenance and/or fault finding,,inspecting manufactured vehicles
104,,,,,,,,,,,,,,,,,,,implement risk control measures for explosive substances and/or articles safety;carry out assurance audit of systems for explosives safety,,,,,,,plan telecoms maintenance testing activities,,carrying out the installation of composite mouldings
105,,,,,,,,,,,,,,,,,,,contribute to the investigation of explosives safety incidents,,,,,,,assist in the installation of telecoms equipment,,selecting and preparing materials and components for manufacturing
106,,,,,,,,,,,,,,,,,,,make recommendations for the classification of explosive substances and/or articles,,,,,,,carry out installation of telecoms assets,,processing electronic components within the manufacturing system
107,,,,,,,,,,,,,,,,,,,make recommendations on the factors affecting the safety of specific explosive substances and/or articles,,,,,,,assist in planned maintenance of telecoms equipment,,assembling and wiring electronic equipment and systems
108,,,,,,,,,,,,,,,,,,,review safety control measures for specific explosive substances and/or articles,,,,,,,adjust telecoms components and equipment to meet operational requirements,,assembling large transformer and inductor cores
109,,,,,,,,,,,,,,,,,,,assess an organization’s explosives safety management system,,,,,,,assist in the removal of telecoms equipment,,winding transformer and inductor coils
110,,,,,,,,,,,,,,,,,,,manage the trial of explosive substances and/or articles;manage the test of explosive substances and/or articles,,,,,,,carry out removal of components from telecoms assets,,fitting small transformer and inductor cores
111,,,,,,,,,,,,,,,,,,,carry out tests of explosive substances and/or articles;carry out trials of explosive substances and/or articles,,,,,,,assist in the replacement of telecoms equipment,,mounting electrical components in enclosures
112,,,,,,,,,,,,,,,,,,,evaluate the results of tests of explosive substances and/or articles;evaluate the results of trials of explosive substances and/or articles,,,,,,,carry out replacement of components from telecoms assets,,wiring electrical components and equipment in enclosures
113,,,,,,,,,,,,,,,,,,,adapt an existing trial procedure for explosive substances and/or articles;design a new test procedure for explosive substances and/or articles;design a new trial procedure for explosive substances and/or articles;adapt an existing test procedure for explosive substances and/or articles,,,,,,,assist with tests and checks of telecoms equipment,,selecting and preparing materials and components for electrical assembly
114,,,,,,,,,,,,,,,,,,,implement the inspection of explosive substances and/or articles;implement the routine assembly of explosive substances and/or articles;implement the routine removal of explosive substances and/or articles;implement the complex removal of explosive substances and/or articles;implement the complex repair of explosive substances and/or articles;implement the adjustment of explosive substances and/or articles;implement the complex assembly of explosive substances and/or articles;implement the routine repair of explosive substances and/or articles,,,,,,,conduct specified testing of telecoms systems,,assisting in the assembly of marine steelwork components
115,,,,,,,,,,,,,,,,,,,manage configuration activities for explosive substances and/or articles;implement configuration activities for explosive substances and/or articles;plan configuration activities for explosive substances and/or articles,,,,,,,diagnose faults in telecoms assets,,assisting in the installation of marine mechanical equipment
116,,,,,,,,,,,,,,,,,,,manage the storage of explosive substances and/or articles;manage the despatch of explosive substances and/or articles;manage the receipt of explosive substances and/or articles,,,,,,,identify and deal with defects and discrepancies in traction and rolling stock,,assembling marine composite components
117,,,,,,,,,,,,,,,,,,,maintain the quality of explosive substances and/or articles in storage;supervise the maintenance of storage conditions for explosive substances and/or articles,,,,,,,carry out routine adjustments to traction and rolling stock,,"fitting marine composite components to the vessel, craft or structure"
118,,,,,,,,,,,,,,,,,,,plan and manage the safe and secure transportation by road of explosive substances and articles;plan and manage the safe and secure transportation by air of explosive substances and articles;plan and manage the safe and secure transportation by rail of explosive substances and articles;plan and manage the safe and secure transportation by sea of explosive substances and articles,,,,,,,carry out checks and tests to confirm that traction and rolling stock assets comply with operational specifications,,assisting in the installation of marine sheet metal components/assemblies
119,,,,,,,,,,,,,,,,,,,obtain information on the destination and schedule of the explosive load by rail;obtain information on the destination and schedule of the explosive load by air;obtain information on explosive substances and articles load;obtain information on the destination and schedule of the explosive load by sea,,,,,,,carry out planned maintenance of trs assets,,carrying out the installation of cable runs and circuits in yachts and boats
120,,,,,,,,,,,,,,,,,,,,,,,,,,undertake the removal and replacement of traction and rolling stock components,,assisting in the installation of electrical/electronic equipment in yachts and boats
121,,,,,,,,,,,,,,,,,,,,,,,,,,modify traction and rolling stock components using tools,,assisting in the installation of engine/propulsion systems in yachts and boats
122,,,,,,,,,,,,,,,,,,,,,,,,,,overhaul traction and rolling stock components,,assisting in the assembly of wooden furniture/outfitting units for yachts and boats
123,,,,,,,,,,,,,,,,,,,,,,,,,,identify and assess defects and discrepancies in traction and rolling stock assets,,assisting in modifying and adding electrical circuits in yachts and boats
124,,,,,,,,,,,,,,,,,,,,,,,,,,establish compliance with traction and rolling stock specifications,,installing marine electrical rotating machines and domestic equipment
125,,,,,,,,,,,,,,,,,,,,,,,,,,plan traction and rolling stock engineering activities,,installing marine fuel systems and equipment
126,,,,,,,,,,,,,,,,,,,,,,,,,,allocate and supervise traction and rolling stock resources,,installing marine pneumatic systems and equipment
127,,,,,,,,,,,,,,,,,,,,,,,,,,install and test traction and rolling stock assets and components,,"installing marine steering gear, control systems and equipment"
128,,,,,,,,,,,,,,,,,,,,,,,,,,"accept, and return, responsibility for the control of traction and rolling stock assets",,installing marine lifting equipment
129,,,,,,,,,,,,,,,,,,,,,,,,,,provide operational support to users of traction and rolling stock assets,,installing marine liquid ballast arrangements
130,,,,,,,,,,,,,,,,,,,,,,,,,,reinstating the work area on completion of activities,,installing marine refrigeration and air conditioning equipment
131,,,,,,,,,,,,,,,,,,,,,,,,,,marking out composite and/or metallic aircraft components,,producing marine composite assemblies
132,,,,,,,,,,,,,,,,,,,,,,,,,,installing aircraft mechanical fasteners into composite and/or metallic components,,installing cable runs and circuits in yacht and boat structures
133,,,,,,,,,,,,,,,,,,,,,,,,,,producing composite and/or metallic aircraft sub-assemblies,,installing electrical equipment in yachts and boats
134,,,,,,,,,,,,,,,,,,,,,,,,,,producing composite and/or metallic aircraft major assemblies,,installing electronic equipment into yachts and boats
135,,,,,,,,,,,,,,,,,,,,,,,,,,repairing airframes and structures,,installing engine/propulsion systems in yachts and boats
136,,,,,,,,,,,,,,,,,,,,,,,,,,producing aircraft composite assemblies,,installing ancillary systems and equipment in yachts and boats
137,,,,,,,,,,,,,,,,,,,,,,,,,,applying finishes to aircraft composite mouldings,,installing domestic systems and equipment in yachts and boats
138,,,,,,,,,,,,,,,,,,,,,,,,,,undertaking scheduled maintenance of aircraft avionics equipment/systems,,testing engine/propulsion systems and mechanical equipment in yachts and boats
139,,,,,,,,,,,,,,,,,,,,,,,,,,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",,marking out for the installation of wooden furniture/outfitting units in yachts and boats
140,,,,,,,,,,,,,,,,,,,,,,,,,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,,installing composite components in yachts and boats
141,,,,,,,,,,,,,,,,,,,,,,,,,,removing and replacing components of aircraft fuel and lubrication systems,,lining off for assembly and erection of yacht and boat wooden components
142,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out tests on aircraft engines and systems,,producing hovercraft skirt assemblies
143,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out tests on aircraft control systems,,producing rigid inflatable boat (rib) sponson assemblies
144,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out test bed runs on aircraft engines (uninstalled),,reassembling and refitting marine mechanical equipment
145,,,,,,,,,,,,,,,,,,,,,,,,,,producing aeronautical engineering drawings/models using 3d computer aided techniques,,"install, enhance and renew overhead line equipment earthing and bonding"
146,,,,,,,,,,,,,,,,,,,,,,,,,,monitoring aeronautical engineering activities,,assembling fluid power equipment
147,,,,,,,,,,,,,,,,,,,,,,,,,,planning aeronautical engineering activities,,assembling electrical wiring support systems
148,,,,,,,,,,,,,,,,,,,,,,,,,,producing technical details for aeronautical engineering activities,,assembling and wiring electrical panels
149,,,,,,,,,,,,,,,,,,,,,,,,,,obtaining resources for aeronautical engineering activities,,assembling composite components
150,,,,,,,,,,,,,,,,,,,,,,,,,,implementing aeronautical engineering activities,,carrying out maintenance activities on motorsport vehicle electrical equipment
151,,,,,,,,,,,,,,,,,,,,,,,,,,providing technical guidance on aeronautical engineering activities,,replace traction and rolling stock communication-electronic systems
152,,,,,,,,,,,,,,,,,,,,,,,,,,repairing aircraft composite mouldings,,modifying aircraft avionic systems;modifying aircraft cableforms and looms;modifying aircraft electrical systems;modifying aircraft avionics systems
153,,,,,,,,,,,,,,,,,,,,,,,,,,dismantling aircraft gas turbine engines to module/unit level,,applying aircraft paint finishes by hand;applying aircraft paint finishes by spray guns
154,,,,,,,,,,,,,,,,,,,,,,,,,,rebuilding aircraft gas turbine engine assemblies after overhaul,,dismantling aircraft armament expendable stores;removing aircraft armament expendable stores;removing aircraft assisted escape systems (aaes);removing aircraft armament system components
155,,,,,,,,,,,,,,,,,,,,,,,,,,using curing and consolidation equipment for aircraft composite mouldings,,overhauling components of aircraft pitot static equipment;overhauling components of aircraft avionic equipment;overhauling components of aircraft flight guidance and control equipment;overhauling components of aircraft radar equipment;overhauling components of aircraft indication and gauging equipment;overhauling components of aircraft navigational and computing equipment;overhauling components of aircraft passive warning and optical/surveillance systems;overhauling components of aircraft electrical equipment;overhauling components of aircraft communication equipment
156,,,,,,,,,,,,,,,,,,,,,,,,,,installing aircraft composite mouldings,,repairing and modifying aircraft mechanical assemblies and components
157,,,,,,,,,,,,,,,,,,,,,,,,,,lifting and trestling/shoring aircraft for maintenance/repair operations,,providing technical advice and guidance on continuing airworthiness certification activities
158,,,,,,,,,,,,,,,,,,,,,,,,,,levelling and weighing aircraft,,"identifying, monitoring and resolving aircraft maintenance programme problems"
159,,,,,,,,,,,,,,,,,,,,,,,,,,"towing, marshalling and parking aircraft",,monitoring continuing airworthiness compliance with regulatory requirements 
160,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out flight servicing and routine maintenance of aircraft,,"producing, maintaining and controlling continuing airworthiness documentation"
161,,,,,,,,,,,,,,,,,,,,,,,,,,maintaining flight control systems on aircraft,,assembling electrical and electronic equipment to vehicles;assembling and fitting wiring looms to vehicles
162,,,,,,,,,,,,,,,,,,,,,,,,,,create engineering designs,,assembling composite vehicle components;carrying out composite assembly operations
163,,,,,,,,,,,,,,,,,,,,,,,,,,obtaining resources for the implementation of engineering activities,,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle;producing commercial and passenger carrying vehicle body sub-assemblies
164,,,,,,,,,,,,,,,,,,,,,,,,,,implement engineering processes,,fitting electrical and electronic components to commercial and passenger carrying vehicles
165,,,,,,,,,,,,,,,,,,,,,,,,,,monitor and evaluate engineering processes,,removing and refitting braking systems on motorsport vehicles;removing and refitting fuel systems on motorsport vehicles
166,,,,,,,,,,,,,,,,,,,,,,,,,,evaluate engineering risk assessments,,diagnosing and rectifying faults on motorsport vehicle systems (during competition);carrying out fault diagnosis and rectification activities on motorsport vehicles during a competition
167,,,,,,,,,,,,,,,,,,,,,,,,,,specify risk reduction methods and procedures,,carrying out visual inspection of welded motorsport components or structures
168,,,,,,,,,,,,,,,,,,,,,,,,,,implement quality assurance methods and procedures,,installing electrical/electronic engine/transmission control units in motorsport vehicles;installing visual display and computer systems to motorsport vehicles;installing data acquisition systems to motorsport vehicles;installing communication systems to motorsport vehicles;installing electrical/electronic engine/transmission control units to prototype vehicles
169,,,,,,,,,,,,,,,,,,,,,,,,,,improve the quality of engineering products or processes,,building prototype engines for test;building engines for motorsport vehicles
170,,,,,,,,,,,,,,,,,,,,,,,,,,identify and define areas of engineering research,,dressing engines for motorsport vehicles;dressing prototype engines for test
171,,,,,,,,,,,,,,,,,,,,,,,,,,"transfer control of engineering products, processes or facilities",,constructing the floor of a leisure vehicle
172,,,,,,,,,,,,,,,,,,,,,,,,,,"propose decommissioning of engineering equipment, processes or facilities",,constructing the walls and roof of a leisure vehicle
173,,,,,,,,,,,,,,,,,,,,,,,,,,"commission engineering products, processes or facilities",,"assembling a leisure vehicle chassis, floor and running gear"
174,,,,,,,,,,,,,,,,,,,,,,,,,,leading maintenance activities,,"finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle"
175,,,,,,,,,,,,,,,,,,,,,,,,,,leading installation or commissioning activities,,installing the front and rear structural frames in a leisure vehicle
176,,,,,,,,,,,,,,,,,,,,,,,,,,leading welding and fabrication activities,,installing furniture and structural units in leisure vehicles;installing the side walls and associated equipment in a leisure vehicle
177,,,,,,,,,,,,,,,,,,,,,,,,,,leading rail welding activities,,installing domestic equipment in leisure vehicles
178,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on electrical equipment,,connecting and testing electrical systems and equipment in leisure vehicles
179,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on fluid power equipment,,connecting and testing liquid petroleum gas systems and equipment in leisure vehicles
180,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on instrumentation and control equipment,,connecting and testing water pipework and equipment in leisure vehicles
181,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on electrical equipment within an engineered system,,installing the front and back panel in a leisure vehicle;installing the inner and outer roof on a leisure vehicle
182,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on fluid power equipment within an engineered system,,"completing the construction of a leisure vehicle by installing windows, doors and body graphics"
183,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out maintenance activities on process controller equipment within an engineered system,,installing marine composite components;finishing a leisure vehicle by installing soft furnishings and trim
184,,,,,,,,,,,,,,,,,,,,,,,,,,carrying out project management of engineering activities,,final inspection and testing of leisure vehicles
185,,,,,,,,,,,,,,,,,,,,,,,,,,joining materials by manual torch brazing and soldering,,preparing lpg pipework and appliances for installation into leisure vehicles
186,,,,,,,,,,,,,,,,,,,,,,,,,,marking out components for fabrication,,preparing electrical equipment for installation into leisure vehicles
187,,,,,,,,,,,,,,,,,,,,,,,,,,"slinging, lifting and moving materials and components",,preparing water and waste pipework and equipment for installation into leisure vehicles
