URN,NOS Title,Skills extracted
EUSLPG9,Contribute to the improvement of business products and services,Promote; Cost; Installation; Initiative; Identify opportunity; Instruct
EUSOPP02,Develop productive relationships,Management; Information systems; Public service
EUSOPP07,Carry out on-site sampling and testing to maintain the quality of treatment processes,Cleanliness; Instruction; Data audit; Audit trail; Traceability; Clean equipment; Storage; Test equipment; Sludge
EUSRA19,Clean and maintain facilities and equipment for the processing of recyclables and other materials,Instruction; Fault; Cleaning
EUSRA215,Carry out routine checks on plant and equipment used in recycling activities,Instruction; Consumables; Inspection; Risk assessment
EUSRA216,Operate specialist plant and equipment for the processing of recyclables and other materials,Instruction; Risk assessment; Transport
EUSRA217,Control vehicle movements on site of recycling activity,Unloading; Compliance; Risk assessment
EUSRA23,Develop and maintain personal performance on recycling activities,
EUSRA27,Promote recycling services,Management; Promote; Environmental legislation
EUSRA3421,Identify and implement improvements to recycling activities,Cost; Installation; Leadership style; Schedule
EUSRA348,Monitor and maintain the security of recycling facilities,Machinery; Consumables; Storage
EUSSM3,Monitor asset using cctv equipment,Instruction; Camera; Fault; Work efficiently
EUSWO03,Comply with emergency procedures on waste management activities,Visual inspection; Waste management; First aid; Compliance; Emergency services
EUSWO14,Support safety around waste collection vehicles,Hand signal; Lighting; Consumables; Collection; Fault; Welfare; Vision
EUSWO17,Direct waste delivery crews on a waste management facility,Instruction; Waste management; Unloading; Fault
EUSWO19,Process received waste,Process control; Permit; Cleanliness; Instruction; Personal injury
EUSWO22,Control and carry out the landfill operations,Permit; Personal injury; Warning sign; Compliance
EUSWO41,Deal with visitors,Interpersonal skill; Organisation structure; Business administration
EUSWS01,Ensure that staff conform to productive and efficient working practices,
SKSJ24,Evaluate the success of editorial content,Contingency plan; Logistics; Editing; Food; Broadcasting; Compliance; Broadcast; Schedule; Transport
IMPMP134,Eviscerate meat or poultry,Avoid contamination; Cleanliness; Food; Poultry; Yield; Food safety
IMPFP129,Extract shellfish meat by hand,Process specification; Traceability; Anatomy; Yield; Hand tool; Production schedule
IMPFP131,Extract shellfish meat by machine,Process specification; Traceability; Supply machine; Production schedule
LSIFL08,Work with families who find services difficult to access,
LSIFL09,Provide publicity and information about family learning programmes,
LSIFL10,Enable access to future learning and development opportunities,
LSIFL11,Help to safeguard those in need or at risk of harm,
FINCAML7,Identify the implications of financial regulation and legislation for the business,Anti money laundering; Business research; Compliance; Resourcing
FINCAML8,Assess and mitigate the compliance risks relevant to the business,Anti money laundering; Compliance; Risk assessment
FINCAML9,Develop the compliance culture of the organisation,Anti money laundering; Compliance; Vision
FINCAML11,Monitor and improve the effective use of internal financial systems and controls,Anti money laundering; Cost; Compliance
FINCAML12,"Identify, investigate and resolve non-compliant activity",Anti money laundering; Record keeping; Compliance
FINCAML13,Present information to courts or other hearings,Anti money laundering; Court procedure; Compliance
FINCOMP1,Prepare for and manage compliance inspections by the regulator,Comment; Inspection; Compliance
FSPDC04,Authorise financial transactions using telecommunications,Financial transaction; Validation; Telecommunication; Articulate; Transaction; Licence regulation
FINLB1,Evaluate benefits claims,
FINPS4,Work effectively in the administration of local benefits,Audit; Calculation; Record keeping
FINPSA25,Provide customers with information about products and services in a financial services environment,
FINPSA28,Organise the delivery of reliable customer service,Management; Comment; Storage
FSPPSA4,Process applications for pension scheme additional contributions,Calculation; Verification and validation; Scheme
FSPPSA9,Process pension scheme death benefits,Proof; Calculation; Verification and validation; Scheme
FINRFSCS7,Improve the customer relationship,Cost; Initiative; Proactive
GOV12,Manage relationships with stakeholders,Shareholder; Corporate governance; Cost; Information systems
GOV4,Organise governing body meetings,Management; Transaction; Schedule
GOV8,"Ensure the organisation’s structure, resource allocation and remuneration systems align with its strategy",Remuneration; It strategy; Resource management
IMPFP115,Grade fish or shellfish by machine,Process control; Process specification; Instruction; Production schedule
IMPPP101,Grade fresh produce by hand,Instruction; Production process; Food; Traceability; Production schedule
IMPBW201,Handle and store bright beer in brewery,Maximum; Parameter; Cleanliness; Instruction; Tank; Inert gas; Storage
IMPFP138,Harvest fish or shellfish for human consumption,Environmental legislation; Food; Storage; Food safety
SKSP20,Identify and recommend contributors for productions,Structure interview; Cost; Broadcast
IMIAG8,Removing and installing opening automotive glass in vehicles,Glazing; Instruction; Information systems; Installation; Acoustic; Manufacturing process
IMIARPO14,Liaise with product manufacturers and suppliers on technical matters,Instruction; Cost; Refinishing; Primer; Smooth; Fault; Repair
IMIARPO15,Provide technical support and advice to colleagues in vehicle preparation and refinishing environments,Training; Instruction; Cost; Refinishing; Smooth; Fault; Instruct; Repair
IMIARPO8,Use abrasives on automotive vehicles,Panel; Instruction; Cost; Composite; Refinishing
IMIARPO9,Flatting and polishing automotive vehicles,Panel; Instruction; Cost; Personal injury; Refinishing
IMICA03,Maintain working relationships in the motor vehicle environment,Motorcycle; Lift truck; Technical assistance
IMIHR11,Process hire and rental payments,Pricing; Calculator; Transaction
IMIHR14,"Maintain the quality of goods, equipment or vehicles for hire",Acting; Storage; Storage systems
IMIHR18,Install goods or equipment in the customer’s required location,Promote; Instruction; Installation
IMIHR20,Deliver and collect vehicles,Illustration; Cost; Authentication; Collection; Park vehicle; Logging
IMIRL1,Servicing requirements for renting and leasing motor vehicles,Sales; Inspection; Scheme
IMIRL5,Industry and organisational awareness for renting and leasing motor vehicles,Management; Vehicle maintenance; Core product
IMIRR03,Assess and secure the roadside situation,Make decision; Risk assessment; Fault; Repair; Energy systems
IMIRR18,Give customers at the roadside a positive impression of yourself and your organisation,Catalogue; Comment; Central; Repair defect; Sales; Information systems; Switch; Contract law
IMISPRT1,Carry out pre test checks for a statutory periodic roadworthiness test,Design construction; Inspection; Instruct; Scheme
IMIVF62,"Plan, monitor and adjust staffing levels and schedules in the automotive retail environment",Contingency plan; Organise information; Schedule
IMIVP01,Give vehicle parts operations customers a positive impression of yourself and your organisation,Comment; R; Consumables; Contract law; Explosive
IMIVP02,Follow procedures and identify and report security risks within a vehicle parts environment,
IMIVP06,Process returned goods and materials in a vehicle parts environment,Proof; Stock control; Sales; Refund; Fault
IMIVP10,Participate in motor vehicle parts stocktaking activities,Comment; Consumables; Stock inventory
IMIVP11,Enter and find data using information technology within a vehicle parts environment,Data entry; Parameter; Sales; Database; Intranet; Spreadsheet
IMIVP12,Communicate information electronically within a vehicle parts environment,Parameter; Spell; Sales; Cost; Information systems; Database; Sort; Intranet; Spreadsheet
IMIVP13,Develop customer relationships within a vehicle parts environment,Comment; Sales; Cost; Consumables
IMIVP14,Monitor and solve customer service problems within a vehicle parts environment,
IMIVP16,Help customers to choose motor vehicle parts products,Promote; Transporting; Sales; Consumables; Make decision
IMIVRG15V2,Work with others to improve customer service,
IMIVS14,Manage the process of vehicle order through to customer,Proof; Sales; Schedule; Aftersales
IMIVS3,Comply with the legal requirements and regulations of vehicle sales,Sales; Contract law; Compliance
IMIVS5,Handle telephone and digital vehicle sales enquiries,Management; Sales; Logging
IMPAB101S,Control the proving of dough products using automated,Unload; Instruction; Food
IMPAB103S,Control the preparation and mixing of dough using,Instruction; Production process; Food; Danish
IMPAB105S,Control the oven-baking of dough products using automated,Process control; Instruction; Food; Injector
IMPAB106K,Understand how to oven-bake dough products using automated baking,Instruction; Food; Injector
IMPAB107S,Control the cooling of oven-baked dough products using,Instruction; Food; Bakery
IMPAB108K,Understand how to process dough based products,Avoid contamination; Food; Time constraint; Process adjustment; Unloading
IMPAB109S,Control weighing using automated baking processes,Workspace; Instruction; Machinery; Food; Bakery; Bakery ingredient
IMPCB106SV1,Produce laminated pastry,Process control; Puff; Instruction; Bakery; Food safety; Danish
IMPCB107SV1,"Pin, block and shape dough",Process control; Puff; Instruction; Bakery; Food safety; Danish
IMPCB108SV1,Fill and close pastry products,Process control; Puff; Instruction; Bakery; Food safety; Danish
IMPCB110SV1,Tin and tray up dough products,Process control; Puff; Instruction; Unloading; Bakery; Food safety; Danish
IMPCB112KV2,Principles of retarding and proving dough and process control,Process control; Bakery; Danish
IMPCB114SV1,Oven bake dough products,Puff; Instruction; Injector; Bakery; Food safety; Danish
IMPCB115KV2,Principles of baking bakery products,Control temperature; Spring; Bakery
IMPCB122KV1,Understand how to evaluate specialist individual bakery products,Craft; Parameter; Product development; Bakery; Food safety
IMPCB125SV1,Evaluate specialist individual dough based products,Production process; Bakery; Present report; Ass customer
IMPCB130KV1,Understand how to batch produce advanced craft non-fermented dough products,Recipe; Craft; Food; Time constraint; Bakery; Production schedule
IMPCB201SV1,Prepare and mix flour confectionery,Process control; Recipe; Instruction; Bakery; Food safety
IMPCB202KV1,Principles of mixing flour confectionery and process control,Process control; Recipe; Aeration; Bakery; Food safety
IMPCB203SV1,"Hand deposit, pipe and sheet flour confectionery",Instruction; Bakery; Food safety
IMPCB204SV2,Deposit and hot plate bake bakery products,Frying; Instruction; Bakery; Food safety
IMPCB205SV1,Tray up and prepare flour confectionery for baking,Instruction; Bakery; Food safety; Mould
IMPCB209SV1,Assemble and fill celebration cakes,Instruction; Decorate; Bakery; Food safety
IMPCB216SV1,Evaluate specialist individual flour confectionery,Production process; Bakery; Present report; Ass customer
IMPCB218SV1,Batch produce advanced craft flour confectionery products,Batch production; Craft; Instruction; Food; Bakery
IMPCB219KV1,Understand how to batch produce advanced craft flour confectionery products,Recipe; Craft; Food; Time constraint; Bakery; Production schedule
IMPCB306KV1,Principles of salt and dough conditioners/improvers in bakery,Composition; Additive; Food; Protein; Inhibitor; Bakery; Bakery ingredient; Mould; Salt
IMPCB307KV1,Principles of pre-mixes and concentrates in bakery,Food; Storage; Bakery; Bakery ingredient
IMPCB308KV1,Principles of packaging in bakery,Food; Advertising; Shrink wrap; Packaging; Bakery; Bakery ingredient
IMPDT102,Operate and monitor a distillery fermentation process,Parameter; Instruction; Fault
IMPDT105,Operate and monitor a water demineralisation process,Parameter; Instruction; Fault
IMPDT108,Operate and monitor a germination process,Instruction; Grain; Airflow; Fault
IMPDT109,Operate and monitor a drying and kilning process,Instruction; Grain; Storage; Fault
IMPDT113,Control labelling in distilling operations,Adhesive; Instruction; Fault
IMPDT115,Operate and monitor a cask filling process,Instruction; Fault; Production schedule; Load securing
IMPDY107,Control processing to produce ice cream,Recipe; Composition; Craft; Food; Ageing; Crystal; Storage; Compliance; Written communication; Yield; Fault; Packaging; Food safety
IMPDY119KV1,Understand how to organise and monitor hand operations in dairy processing,Food; Traceability; Compliance; Yield; Packaging; Production schedule
IMPDY120SV1,Produce curds and whey,Recipe; Food; Storage
IMPDY129,Carry out cheese piercing operations,Food; Storage; Written communication; Yield; Food safety; Mould
IMPDY131,Grade cheese,Cleanliness; Food; Storage; Written communication
IMPDY133SV1,Carry out cheese extrusion operations,Food; Yield; Throughput; Production schedule
IMPDY134KV1,Understand how to carry out cheese extrusion operations,Food; Nozzle; Yield; Production schedule
IMPDY135,Carry out cheese smoking operations,Avoid contamination; Food; Production schedule
IMPDY138KV1,Understand how to carry out cheese waxing operations,Wax; Food; Yield; Packaging
IMPFP102KV2,Understand how to fillet fish by hand,Process specification; Instruction; Traceability; Yield; Sharpen
IMPFP108KV2,Understand how to intake fish or shellfish,Process specification; Instruction; Traceability; Inspection; Packaging
IMPFP110KV2,Understand how to control fish or shellfish defrosting,Process specification; Instruction; Traceability
IMPFP111SV2,Shuck bivalves by hand,Process specification; Instruction; Yield; Sharpen; Production schedule
IMPFP112KV2,Understand how to shuck bivalves by hand,Process specification; Instruction; Traceability; Sharpen
IMPFS113KV1,Understand safe sources and supplies of raw materials and ingredients in food manufacture,Food; Audit; Traceability; Food safety; Transport
IMPFS113S,Carry out disinfection in food and drink operations,Instruction; Food; Food safety
IMPFS114K,Understand how to carry out disinfection in food and drink operations,Detergent; Instruction; Production process; Food; Food safety
IMPFS120S,Control and monitor safe supply of raw materials and ingredients in food and drink operations,Food; Auditing; Inspection; Packaging
IMPFS121K,Understand specifications for safe sources and supply of raw materials and ingredients in food and drink operations,Food delivery; Food; Audit; Traceability; Transport
IMPFS128S,Analyse food safety hazards and risks in food and drink operations,Food; Food safety; Manufacturing process
IMPFS130SV1,Monitor food hygiene standards using rapid test methods,Aseptic technique; Food; Environmental protection
IMPFS139S,Monitor food hygiene standards using rapid test methods in food and drink operations,Aseptic technique; Food; Environmental protection; Food safety
IMPFS143S,Implement measures to control pests in food and drink operations,Production process; Machinery; Food
IMPFS144K,Understand how to control pests in food and drink operations,Food; Production line; Food safety
IMPFT160K,Principles of pasteurisation in food technology,Process control; History; Food; Calculation; Inspection; Food safety; Microbiology
IMPFT162K,Principles of fermentation in food technology,Process control; Food; Bakery; Food safety; Salt
IMPHS102KV1,Understand basic hazard awareness in the workplace,Food; First aid; Welfare
IMPHS104,Lift and handle materials in food manufacture,Training; Instruction; Food; Transport
IMPHS106SV1,Monitor procedures to control risk to health and safety,Training; Instruction; Workplace health and safety
IMPHS108,Promote a health and safety culture within the workplace,Promote; Organisation structure; Risk assessment
IMPHS109KV1,Understand how to promote a health and safety culture within the workplace,Promote; Organisation structure; Workplace health and safety; Risk assessment
IMPHS111,Take action to deal with emergencies in the workplace,Environmental emergency; Instruction; Food; Emergency support; Risk assessment
IMPHS111KV1,Understand how to conduct an assessment of risks in the workplace,Management; Workplace health and safety; Risk assessment
IMPPO101,Support production in food and drink operations,Instruction; Food; Switch; Production line; Supply chain; Food safety
IMPPO103,Report and record basic information in food operations,Food; Audit; Food safety
IMPPO119,Resolve production problems in food and drink operations,Process specification; Food; Supply chain; Food safety
IMPPO123,Shut down multi-stage operations in food and drink operations,Food; Written communication; Supply chain; Packaging; Food safety
IMPPO125,Contribute to problem diagnosis in food and drink operations,Food; Cost; Test equipment
IMPPO201,Operate central control systems in food and drink operations,Process equipment; Parameter; Central; Instruction; Food; Auto; Supply chain; Food safety; Alteration
IMPPO201SV1,Operate central control systems in food manufacture,Parameter; Central; Instruction; Food; Auto; Filtration; Packaging; Alteration
IMPPO203,Control manual size reduction in food and drink operations,Process specification; Instruction; Food; Food safety
IMPPO205,Control size reduction in food and drink operations,Process control; Process specification; Instruction; Food; Food safety; Production schedule
IMPPO206,Control weighing in food and drink operations,Process control; Process specification; Instruction; Machinery; Food; Supply chain; Food safety
IMPPO207,Control mixing in food and drink operations,Process control; Process specification; Instruction; Food; Food safety; Production schedule
IMPPO208SV1,Control heat treatment in food manufacture,Instruction; Food; Temper chocolate
IMPPO210SV1,Control temperature reduction in food manufacture,Instruction; Food; Carbonation
IMPPO218SV1,Control bottling and packing in food manufacture,Instruction; Food; Carbonation; Consumables
IMPPO220SV1,Control milling in food manufacture,Process control; Instruction; Food; Distillation
IMPPO223,Prepare ingredients and store fillings and toppings in food operations,Avoid contamination; Instruction; Food; Cooking; Time constraint; Supply chain
IMPPO234,Control membrane processing in food operations,Process equipment; Instruction; Food; Capital expenditure; Instrumentation; Flux; Compliance; Written communication; Fault; Supply chain; Cleaning; Food safety
IMPPO236SV1,Control bottle-washing in food manufacture,Detergent; Instruction; Food; Tank; Consumables; Throughput; Production schedule
IMPPO240,Control canning in food and drink operations,Process control; Process specification; Instruction; Food; Food safety; Production schedule
IMPPO241,Select and prepare raw materials in food and drink operations,Recipe; Instruction; Food; Calculation; Prepare raw material; Storage; Food safety
IMPPO243,Control the production of bread-based convenience food in food operations,Recipe; Instruction; Production process; Machinery; Food; Traceability; Food safety; Production schedule
IMPPO243SV1,Control the production of bread-based convenience food,Instruction; Food; Food safety; Production schedule
IMPPO245,Mix rice for rolled products in food operations,Instruction; Production process; Machinery; Food; Food safety; Production schedule
IMPPO246,Form rolled products in food operations,Instruction; Production process; Machinery; Food; Food safety; Production schedule
IMPPO252,Blend or mix ingredients in food and drink operations,Recipe; Avoid contamination; Food; Yield; Packaging; Food safety
IMPPO254,Wrap by hand in food and drink operations,Avoid contamination; Food; Food safety; Sealant
IMPPO256,Operate manual dispensers in food and drink operations,Food; Packaging; Food safety
IMPPO258,Control filling in food and drink operations,Food; Storage; Packaging; Food safety
IMPQI103,Monitor and maintain product quality in food and drink operations,Instruction; Food; Food safety; Schedule
IMPQI103S,Monitor and maintain product quality in food and drink operations,Instruction; Food; Packaging
IMPQI103SV1,Monitor product quality in food manufacture,Instruction; Food; Packaging
IMPQI104KV2,Understand how to monitor product quality in a food environment,Instruction; Food; Schedule
IMPQI105S,Monitor the quality of work activities in food and drink operations,Instruction; Food; Throughput; Schedule
IMPQI105SV1,Carry out sampling for quality control in food manufacture,Instruction; Food; Traceability
IMPQI106K,Understand how to monitor the quality of work activities in food and drink operations,Parameter; Instruction; Food; Throughput; Schedule
IMPQI106KV1,Understand sampling for quality control in food manufacture,Food; Environmental protection; Traceability; Tolerance
IMPQI110SV1,Monitor and control throughput to achieve targets in food manufacture,Parameter; Food; Throughput; Schedule
IMPQI113S,Carry out sampling in food and drink operations,Instruction; Food; Traceability; Storage; Sample preparation
IMPQI114K,Understand how to carry out sampling in food and drink operations,Instruction; Food; Traceability; Tolerance; Cleaning
IMPQI115K,Principles of sample preparation and storage in food and drink operations,Food; Traceability; Storage; Sample preparation; Compliance
IMPQI116SV1,"Develop, implement and evaluate quality assurance systems in food manufacture",Gather data; Promote; Food
IMPQI216SV1,Reduce and manage conflict in achieving excellence in a food environment,Management; Food; Supply chain
IMPQI220,Contribute to the development of an improvement culture in food operations,Acting; Food; Supply chain; Packaging; Vision
IMPQI229,Monitor change and improvement in food operations,Management; Food; Supply chain; Packaging
IMPQI248,Analyse current improvement practice in food operations,Management; Food; Collection; Supply chain; Packaging; Vision
IMPQI263,Implement and evaluate visual management systems in food operations,Management; Food; Supply chain; Packaging; Vision
IMPQI269,Apply failure modes and effects analysis (fmea) in food operations,Management; Food; Supply chain; Packaging; Failure cause; Vision
IMPQI279,Implement improvement programmes in food operations,Management; Food; Cost; Smart; Motivate others; Supply chain; Packaging; Vision
IMPQI284,Implement mistake/error proofing (poka yoke) in food operations,Management; Food; Trial; Inspection; Proofing; Supply chain; Packaging; Vision
IMPQI311,Communicate a vision and policy for improvement in food operations,Management; Food; Branding; Supply chain; Packaging; Vision
IMPQI313,Ensure compliance to support improvement in food operations,Corporate governance; Food; Compliance; Supply chain; Packaging; Vision
IMPQI315,Develop an improvement culture in food operations,Sustainability; Consultant; Food; Timeline; Supply chain; Packaging; Analyse issue; Vision
IMPQI322,Apply a single minute exchange of dies (smed) system in food operations,Management; Food; Supply chain; Packaging
IMPSD202K,Understand how to supply materials for production in food and drink operations,Instruction; Production process; Food; Scanning; Smooth
IMPSD205S,Carry out bulk filling in food and drink operations,Instruction; Food; Grain
IMPSD205SV1,Carry out and finish bulk filling in food manufacture,Instruction; Food; Grain
IMPSD309SV2,Produce product packs in a food environment,Food; Consumables; Packaging
IMPSD404KV1,"Understand how to maintain the safety and the security of the load, self and property",Food; Projection; Axle
IMPSD405SV1,Planning the route and timings for the delivery and collection of loads,Food; Collection; Schedule
IMPSD406KV1,Understand how to plan the route and timings for the delivery and collection of loads,Food; Bridge; Collection
IMPSF119,Contribute to sustainable practice in a food environment,Sustainability; Food; Transport
IMPSF120KV1,Understand how to contribute to sustainable practice in a food environment,Sustainability; Food; Transport
IMPSF121,Take action to deal with environmental emergencies in a food environment,Environmental emergency; Instruction; Food; Risk assessment
IMPSF121SV1,Take action to deal with environmental emergencies in a food environment,Environmental emergency; Instruction; Food; Emergency support; Risk assessment
IMPSF122KV1,Understand how to deal with environmental emergencies in a food environment,Environmental emergency; Instruction; Food; Risk assessment
IMPSO105SV1,Carry out disinfection in food manufacture,Instruction; Production process; Food; Food safety
IMPSO106KV1,Understand how to carry out disinfection in food manufacture,Detergent; Instruction; Production process; Food; Food safety
IMPSO305SV1,Monitor and control the recovery of by-products and waste disposal in food manufacture,Handle waste; Maximum; Food; Storage; Yield
IMPSO306KV1,Understand how to monitor and control the recovery of by-products and waste disposal in food manufacture,Instruction; Food; Storage; Yield
IMPSO409SV2,Display food products in a retail food environment,Maximum; Instruction; Food; Cleaning; Food safety
IMPWM102KV1,Understand how to ferment grape juice or grape concentrate,Recipe; Avoid contamination; Cleanliness; Instruction; Production process; Food
IMPWM108KV1,Understand how to produce sparkling wine using the carbonation method,Recipe; Production process; Food; Carbonation; Production line; Storage
IMPWM110KV1,Understand how to prepare uk grapes for fermentation,Recipe; Avoid contamination; Cleanliness; Instruction; Production process; Food
IMPWM115SV1,Produce bag in box wine,Cleanliness; Food; Consumables; Stack; Storage; Packaging
IMPWM116KV1,Understand how to produce bag in box wine,Avoid contamination; Instruction; Food; Consumables; Packaging
PROHSP13,Influence and keep pace with improvements in health and safety practice,
PROFM51,Interpret furniture designs,Promote; Cost; Initiative; Smooth; Material process
JETSCD01,Integrate and use the values and process of community development,Promote; Social justice; Initiative; Community development; Empowerment; Civil
JETSCD02,Work with the tensions inherent in community development practice,Promote; Social justice; Politics; Community development; Empowerment
JETSCD04,Develop yourself as a community development practitioner,Promote; Social justice; Community development; Empowerment
JETSCD06,Support inclusive and collective working,Group dynamic; Social justice; Community development; Empowerment
JETSCD07,Get to know a community,Audit; Social justice; Community development; Empowerment
JETSCD08,Facilitate community research and consultations,Social justice; Community development; Collection; Empowerment; Data collection
JETSCD09,Analyse and disseminate findings from community research,Comment; Social justice; Community development; Empowerment
JETSCD10,Organise community events and activities,Group dynamic; Social justice; Community development; Empowerment; Select type
JETSCD12,Support communities who want to bring about positive social change,Group dynamic; Social justice; Community development; Empowerment
JETSCD16,Support collaborative and partnership work,Sustainability; Promote; Social justice; Community development; Empowerment
LANANC1,Maintain the health and welfare of animals under supervision and instruction,Promote; Instruction; Food; Fear; Animal welfare legislation; Animal specie; Welfare; Ventilation
LANANC13,Deliver basic treatments to animals,Surgery; Biosecurity; Instruction; Animal welfare legislation; Risk assessment; Welfare
LANANC16,Handle and care for animals to enable them to work effectively,Promote; Living condition; Machinery; Animal welfare legislation; Risk assessment; Welfare; Livestock
LANANC18,Provide exercise opportunities for animals,Biosecurity; Animal welfare legislation; Risk assessment; Welfare
LANANC2,Clean and check animal accommodation under supervision and instruction,Instruction; Animal welfare legislation; Storage; Cleaning; Welfare
LANANC3,Provide food and water to animals under supervision and instruction,Instruction; Food; Maintain equipment; Animal welfare legislation; Welfare
LANANC31,Provide information to individuals or groups on how to promote the health and well-being of animals,Promote; Training; Fear; Animal welfare legislation; Social medium; Welfare; Nutrition
LANANC4,Handle animals under supervision and instruction,Promote; Instruction; Fear; Animal welfare legislation; Welfare
LANANC5,Move animals under supervision and instruction,Instruction; Animal welfare legislation; Welfare; Move animal
LANANC58,Plan the provision of animals in education and entertainment,Permit; Training; Special effect; Education; Camera; Animal welfare legislation; Tunnel; Risk assessment; Welfare; Transport
LANAQU1,Prepare holding units to receive fish,Biomass; Tank; Welfare
LANAQU12,Monitor the aquatic production environment for farmed fish/shellfish,Tank; Waste management; Design and construction
LANAQU14,Prepare and treat health problems in fish,Monitor treated fish; Instruction; Injection; Risk assessment; Welfare
LANAQU17,Prepare and maintain fish eggs in a hatchery,
LANAQU2,Stock fish/shellfish into holding units,Transfer fish; Biomass; Tank; Welfare
LANAQU23,Control the production of farmed fish/shellfish for sale or transfer,Quality audit; Production process; Storage; Cleaning; Welfare
LANAQU24,Control spat collection,Storage; Collection; Sorting; Welfare; Site selection; Transport
LANAQU26,Control the implementation of fish treatments,Promote; Monitor treated fish; Health programme; Maintain treatment record; Treatment preparation; Welfare
LANAQU32,Plan and manage shellfish depuration operations,Seawater; Food; Food safety
LANAQU37,Work safely in an aquatic environment,Equipment maintenance; Instruction; Risk assessment
LANAQU7,Collect information on fish growth and development,Anaesthetic; Calibration; Collection; Welfare
LANAT1,Prepare accommodation for animals in a home office designated establishment,Biosecurity; Instruction; Animal welfare legislation; Risk assessment; Welfare
LANAT10,Care for mothers and young animals in a home office designated establishment,Promote; Biosecurity; Age; Instruction; Food; Environmental health and safety; Animal welfare legislation; Storage; Welfare
LANAT11,Process delivery requests for animals in a home office designated establishment,Transporting; Instruction; Interpersonal skill; Risk assessment
LANAT18,"Maintain stocks of resources, equipment and consumables in a home office designated establishment",Consumables; Dispatch; Storage; Risk assessment; Packaging; Transport
LANAT2,Maintain and monitor animal accommodation in a home office designated establishment,Biosecurity; Instruction; Animal welfare legislation; Risk assessment; Cleaning; Welfare
LANAT22,Prepare animals for anaesthesia in a home office designated establishment,Biosecurity; Anaesthetic; Animal welfare legislation; Risk assessment; Welfare; Ventilation
LANAT25,Promote and maintain the health and welfare of animals in a home office designated establishment,Promote; Biosecurity; Environmental health and safety; Animal welfare legislation; Storage; Risk assessment; Welfare
LANAT27,Deliver basic treatments to animals in a home office designated establishment,Biosecurity; Instruction; Animal welfare legislation; Storage; Risk assessment; Cleaning; Welfare
LANAT3,Protect the integrity of barrier maintained animal accommodation in a home office designated establishment,Autoclave; Tank; Risk assessment; Welfare; Vaccination
LANAT36,Provide environmental enrichment for animals in a home office designated establishment,Biosecurity; Environmental health and safety; Maintain equipment; Animal welfare legislation; Risk assessment; Welfare
LANAT8,Facilitate mating of animals in a home office designated establishment,Acting; Biosecurity; Instruction; Anatomy; Animal welfare legislation; Risk assessment; Welfare
LANAT9,Care for animals during gestation and parturition in a home office designated establishment,Biosecurity; Instruction; Animal welfare legislation; Storage; Welfare
LANCS1,Maintain safety of self and others in the workplace,Housekeeping; Training; Instruction
LANCS11,Respond to incidents and emergencies in the land- based sector,Contingency plan; Instruction; Machinery; Medical emergency; Emergency services
LANCS12,Assist with constructing structures and surfaces,Instruction; Risk assessment; Transport
LANCS29,"Identify the presence of pests, diseases and disorders",Crop; Instruction; Pest disease; Risk assessment; Schedule
LANCS3,"Promote, monitor and maintain health, safety and security",Promote; Training; Instruction; Personal injury; Storage; Safety code; Risk assessment
LANCS32,"Plan and manage the control of weeds, pests, diseases and disorders",Management; Crop; Season; Machinery; Cost; Risk management; Pest disease; Risk assessment; Schedule
LANCS42,Manage sites in the land-based and environmental sector,Management; Parameter; Landscape; Risk assessment
LANCS45,Plan and manage a land-based project or event,Management; Risk assessment; Manage resource
LANCS73,"Maintain stocks of resources, equipment and consumables",Consumables; Dispatch; Storage; Risk assessment; Packaging
LANCS74,"Receive stocks of resources, equipment and consumables",Consumables; Storage; Risk assessment; Packaging; Transport
LANCS75,Process payments from clients,Booking; Cost; Payment method
LANCS80,"Provide a safe, healthy and secure working environment",
LANCS83,Conduct coaching sessions,Instruction; Risk assessment; Welfare; Psychology; Physiology
LANCU37,Establish and maintain animals within their accommodation,Promote; Animal welfare legislation; Animal specie; Cleaning; Welfare
LANCU5,Maintain and develop personal performance,
LANEHC5,Determine the footcare plan for the equine,Forging; Anatomy; Welfare; Pathology; Mural; Physiology
LANEHC8,Remove horseshoes and assess wear,Age; Fault; Welfare; React
LANENC14,Monitor and report on water levels,Instruction; Wildlife habitat; Risk assessment
LANENC22,Operate work boats,Instruction; Inspection; Engine; Wildlife habitat
LANENC28,Protect the environment through legal enforcement,Wildlife; Cost; Compliance
LANEQ101,"Clean and groom horses, under supervision",Instruction; Cleaning; Welfare
LANEQ103,"Clean the stables and yard, under supervision",Clean surface; Instruction; Storage; Cleaning; Welfare
LANEQ106,"Clean tack and horse clothing, under supervision",Instruction; Fault; Cleaning; Welfare
LANEQ107,"Lead and control horses for inspection, under supervision",Instruction; Inspection; Welfare
LANEQ108,"Catch and release horses, under supervison",Instruction; Welfare; Psychology
LANEQ112,"Clean and prepare horse drawn vehicles or agricultural implements for use, under supervision",Instruction; Polish; Storage; Cleaning; Welfare
LANEQ113,"Harness up and unharness horses for use, under supervision",Instruction; Cleaning; Welfare
LANEQ202,Provide feed and water to horses,Instruction; Digestive system; Anatomy; Storage; Packaging; Welfare
LANEQ204,Restrain horses using specified methods,Instruction; Inspection; Welfare
LANEQ205,"Apply, fit and remove horse bandages and rugs",Instruction; Cleaning; Welfare
LANEQ206,Plait manes and trim horses,Instruction; Feather; Welfare
