NOS file name,Suite as per ActiveIS,Suite extracted from pdf
manage-and-maintain-the-aftercare-of-closed-and-restored-landfill-sites-euswm15.pdf,waste resource operations management,waste management
manage-collection-processes-in-the-waste-resource-management-industry-euswm04.pdf,waste resource operations management,waste management
manage-disposal-of-inert-waste-to-land-euswm12.pdf,waste resource operations management,waste management
manage-site-operations-for-the-remediation-of-contaminated-land-euswm16.pdf,waste resource operations management,waste management
manage-the-environmental-impact-of-waste-resource-management-activity-euswm19.pdf,waste resource operations management,waste management
manage-the-preparation--transfer--transport-and-disposal-of-materials--outputs-and-residues--euswm09.pdf,waste resource operations management,waste management
manage-the-reception--sorting-and-storage-of-materials-on-a-waste-resource-management-facility-euswm05.pdf,waste resource operations management,waste management
manage-the-treatment-of-hazardous-materials-on-a-waste-resource-treatment-facility-euswm07.pdf,waste resource operations management,waste management
manage-the-treatment-of-non-hazardous-materials-on-a-waste-resource-treatment-facility-euswm08.pdf,waste resource operations management,waste management
manoeuvre the tanker in restricted spaces legacy.pdf,driving goods vehicles,driving tankers
monitor-and-control-operating-procedures-required-for-legislative-compliance--euswm17.pdf,waste resource operations management,waste management
mpqmg12.pdf,mining operations,
mpqmg24.pdf,mining operations,
mpqmg25.pdf,mining operations,
mpqmg26.pdf,mining operations,
mpqmg34.pdf,mining operations,
mpqmg48.pdf,mining operations,
mpqvg18.pdf,mine ventilation and ground control engineering operations,
mpqvg19.pdf,mine ventilation and ground control engineering,
mpqvg20.pdf,mine ventilation and ground control engineering,
obtain information on the collection and delivery of liquids and powders legacy.pdf,driving goods vehicles,driving tankers
operate and monitor the tanker systems legacy.pdf,driving goods vehicles,driving tankers
plan the route and timings for the collection or delivery of multidrop loads legacy.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
ppl 1pr20.pdf,hospitality quick service,food production and cooking
ppl1fs409l.pdf,food production and cooking;cultural venue operations;cultural and heritage venue operations,food production and cooking; hospitality €“ food and beverage service; cultural andheritage venue operations;
ppl1hk4l.pdf,housekeeping and front office,hospitality housekeeping and front of house reception
pplemtsb9.11.pdf,live events and promotions management,events management and temporary structures; live events management
pplemtsb9.6.pdf,live events and promotions management,events management and temporary structures; live events management
pplrpto23.pdf,road passenger transport operations,empty
prepare the tanker for driving legacy.pdf,driving goods vehicles,driving tankers
prepare-landfill-sites-for-the-acceptance-of-inert-waste-euswm11.pdf,waste resource operations management,waste management
prepare-proposals-and-obtain-contracts-for-waste-resource-management-services-euswm02.pdf,waste resource operations management,waste management
promt16.pdf,supervision of underground mining operations,mines technical operations
propam510.pdf,print administration,print management and administration
propam511.pdf,print administration,print management and administration
propam512.pdf,print administration,print management and administration
propam513.pdf,print administration,print management and administration
propam514.pdf,print administration,print management and administration
propam515.pdf,print administration,print management and administration
propam516.pdf,print administration,print management and administration
propam517.pdf,print administration,print management and administration
propam521.pdf,print administration,print management and administration
propam522.pdf,print administration,print management and administration
propo16.pdf,dimension stone,empty
prosmd8.pdf,surface mineral development,proskills
protect the tanker and the load legacy.pdf,driving goods vehicles,driving tankers
provide help customers who need to return goods as part of multi drop activities legacy.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
provide-a-quality-service-sfscsh4.pdf,cash processing operations,elementary occupations; elementary security occupations
prowtm02l.pdf,wood merchants;advanced wood occupations,wood and timber merchants
prowtm03l.pdf,wood merchants,wood and timber merchants
prowtm04l.pdf,wood merchants,wood and timber merchants
prowtm05l.pdf,wood merchants;wood products manufacturing,wood and timber merchants
prowtm06l.pdf,wood merchants,wood and timber merchants
prowtm07l.pdf,wood merchants,wood and timber merchants
prowtm08l.pdf,wood merchants,wood and timber merchants
prowtm09l.pdf,wood merchants,wood and timber merchants
prowtm13.pdf,wood merchants,wood and timber merchants
prowtm14l.pdf,wood merchants,wood and timber merchants
restore-and-prepare-landfill-sites-for-aftercare--euswm14.pdf,waste resource operations management,waste management
semfwe366.pdf,fabrication and welding engineering suite 3;engineering leadership suite 3,fabrication and welding suite 3
semmpao34.pdf,business improvement techniques suite 3 2008,metal processing and allied operations suite 3
semmpao39.pdf,laboratory and associated technical activities suite 3 2010,metal processing and allied operations suite 3
sempeo117.pdf,performing engineering operations suite 1;specialist installation occupations construction;craft blacksmithing;specialist installation occupations,product development
semres303.pdf,rail engineering signalling suite 3,empty
semres304.pdf,rail engineering signalling suite 3,empty
semres306.pdf,rail engineering signalling suite 3,empty
semres309.pdf,rail engineering signalling suite 3,empty
semres311.pdf,rail engineering signalling suite 3,empty
semres312.pdf,rail engineering signalling suite 3,empty
semres314.pdf,rail engineering signalling suite 3,empty
semres316.pdf,rail engineering signalling suite 3,empty
semres318.pdf,rail engineering signalling suite 3,empty
semres319.pdf,rail engineering signalling suite 3,empty
semres320.pdf,rail engineering signalling suite 3,empty
semres321.pdf,rail engineering signalling suite 3,empty
semres322.pdf,rail engineering signalling suite 3,empty
semres323.pdf,rail engineering signalling suite 3,empty
semres324.pdf,rail engineering signalling suite 3,empty
semres325.pdf,rail engineering signalling suite 3,empty
sfhdiabhc4.pdf,diabetes;diabetes retinopathy,diabetic retinopathy
sfhpharm50.pdf,chemotherapy,pharmacy
sfhpharm52.pdf,chemotherapy,pharmacy
sfhpharm53.pdf,chemotherapy,pharmacy
sfhpharm54.pdf,chemotherapy,pharmacy
sfhpharm55.pdf,chemotherapy,pharmacy
sfhpharm56.pdf,chemotherapy,pharmacy
sfjad4.pdf,legal advice;addressing modern slavery;addressing stalking;addressing and responding to honour based violence,legal advice
sfjccae1.pdf,civil contingencies,empty
sfjcsaf1.pdf,trading standards and environmental health,
sfjga9.pdf,legal advice,resettlement of offenders
sfjgb9.pdf,resettlement of offenders,legal advice
sfjgk103.pdf,preventing and addressing domestic violence and abuse,independent domestic violence advisor idva ; crisis worker; refuge worker;
sfjhd101.pdf,legal advice,policing and law enforcement
sfjhd102.pdf,legal advice,policing and law enforcement
sfjod1.pdf,operational delivery,empty
sfjzk101.pdf,nos for air observers,policing and law enforcement
sfjzk102.pdf,nos for air observers,policing and law enforcement
sfjzk103.pdf,nos for air observers,policing and law enforcement
sfl224l.pdf,driving goods vehicles;courier,driving goods vehicles for multi drop activities
sfs14.pdf,skills for security essential employability;event security operations;security search operations,common core national occupational standards for the security sector 2010;event security operations; security search operations;
sfs16.pdf,skills for security essential employability;event security operations;electronic security systems;security search operations,common core national occupational standards for the security sector 2010;event security operations; electronic security systems; security searchoperations;
sfs17.pdf,skills for security essential employability;electronic security systems;event security operations,common core national occupational standards for the security sector 2010;event security operations; electronic security systems
sfs4.pdf,skills for security essential employability;event security operations;electronic security systems;security search operations,common core national occupational standards for the security sector 2010;event security operations; electronic security systems; security searchoperations
sfs5.pdf,skills for security essential employability;event security operations;electronic security systems;security search operations,common core national occupational standards for the security sector 2010;event security operations; electronic security systems; security searchoperations;
sfs6.pdf,skills for security essential employability;event security operations;electronic security systems;security search operations,common core national occupational standards for the security sector 2010;event security operations; electronic security systems; security searchoperations;
sfsee14.pdf,skills for security essential employability;remote monitoring operations;securing void properties,elementary occupations; elementary security occupations
sfsee16.pdf,skills for security essential employability;remote monitoring operations;securing void properties,elementary occupations; elementary security occupations
sfsee17.pdf,skills for security essential employability,elementary occupations; elementary security occupations
sfsee4.pdf,skills for security essential employability;remote monitoring operations;securing void properties,elementary occupations; elementary security occupations
sfsee5.pdf,skills for security essential employability;remote monitoring operations;securing void properties,elementary occupations; elementary security occupations
sfsee6.pdf,skills for security essential employability;securing void properties,elementary occupations; elementary security occupations
sfsrem10.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem11.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem12.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem3.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem4.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem5.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem6.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem7.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem8.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfsrem9.pdf,remote monitoring operations,elementary occupations; elementary security occupations
sfstsc1.pdf,technical surveillance counter measures,empty
sfstsc8.pdf,technical surveillance counter measures,empty
skaah33.pdf,african type hair hairdressing standards,hairdressing african type hair
skaah34.pdf,african type hair hairdressing standards,hairdressing african type hair
sksamt1.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt12.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt14.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt15.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt16.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt17.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt18.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt2.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt20.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt22.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt25.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt26.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt27.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt28.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt29.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt30.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt31.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt32.pdf,apparel manufacturing technologykey wordsapparel;garment;specification;product,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
sksamt33.pdf,apparel manufacturing technology,"manufacturing technologies; crafts, creative arts and design; textile andgarment trades"
skspp01.pdf,post production;editing;digital production skills,post production; editing; visual effects;
skspp04.pdf,post production;editing;digital production skills,post production; editing; visual effects;
skspub22.pdf,publishing;live events and promotions management,book and journal publishing; live events management
skspub3.pdf,publishing;live events and promotions management,book and journal publishing; live events management
sksq13.pdf,costume,empty
skss15.pdf,live events and promotion;editing,sound; editing; live events
skssim1.pdf,manufacturing textile products,sustainability in manufacturing
ssrb247l.pdf,retail;cultural and heritage venue operations;cultural and heritage venue operations,retail
sumets01.pdf,installing environmental technology systems,empty
sumets02.pdf,installing environmental technology systems,empty
sumph04l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
sumph05l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
sumph06l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
sumph07l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
sumph08l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
sumph09l.pdf,plumbing and domestic heating,plumbing; plumbers; advanced plumber
