,Avg group similarity,NOS 1,NOS 2
Pair 213,0.965,"[impft105k] ""Principles of human biology and food conversion"" (""impft105k.pdf"", Current, Original)","[impft105k] ""Principles of human biology and food conversion"" (""impft105kl.pdf"", Legacy, Original)"
Pair 214,0.965,"[eskism5] ""Supplier management"" (""eskism5.pdf"", Current, Original)","[eskitp7115 ] ""Supplier management level 5 role"" (""eskitp7115.pdf"", Current, Original)"
Pair 215,0.965,"[semaut3-115] ""Connecting and testing electrical systems and equipment in leisure vehicles"" (""semaut3115.pdf"", Current, Original)","[ska115] ""Connecting and testing electrical systems and equipment in leisure vehicles"" (""ska115.pdf"", Current, Original)"
Pair 216,0.965,"[cogdo24] ""Participate in providing samples for analysis in downstream operations"" (""participate-in-providing-samples-for-analysis-in-downstream-operations-cogdo24.pdf"", Current, Original)","[cogdo6] ""Providing samples for analysis in downstream operations"" (""providing-samples-for-analysis-in-downstream-operations-cogdo6.pdf"", Current, Original)"
Pair 217,0.965,"[semem4-11] ""Specify methods and procedures to achieve engineering requirements"" (""semem411.pdf"", Current, Original)","[semeng319] ""Assist in specifying methods and procedures to achieve engineering requirements"" (""semeng319.pdf"", Current, Original)"
Pair 218,0.965,"[cogpoh2] ""Monitor and maintain health, environment and"" (""cogpoh2.pdf"", Current, Original)","[cogpohcr1] ""Monitor and maintain health, environment and safety systems"" (""cogpohcr1.pdf"", Current, Original)"
Pair 219,0.965,"[langa18] ""Rear game birds for release legacy"" (""langa18l.pdf"", Legacy, Original)","[langa18v1l] ""Rear gamebirds for release(legacy)"" (""langa18v1.pdf"", Legacy, Original)"
Pair 220,0.965,"[euswt09] ""Work with other people legacy"" (""euswt09l.pdf"", Current, Original)","[euswt09] ""Work with other people"" (""work-with-other-people-euswt09.pdf"", Current, Original)"
Pair 221,0.965,"[eusfes29] ""Contribute to the sustainability, maintenance and preservation of the environment"" (""contribute-to-the-sustainability--maintenance-and-preservation-of-the-environment-eusfes29.pdf"", Current, Original)","[euswo29] ""Contribute to the sustainability, maintenance and preservation of the environment"" (""contribute-to-the-sustainability--maintenance-and-preservation-of-the-environment-euswo29.pdf"", Current, Original)"
Pair 222,0.965,"[eusence1] ""Maintain and develop own technical and operational engineering expertise related to electricity network assets"" (""eusence1.pdf"", Current, Original)","[eusgnem06] ""Maintain and develop own technical and operational engineering expertise related to utility network assets"" (""eusgnem06.pdf"", Current, Original)"
Pair 223,0.965,"[impft132k] ""Principles of functional food additives in food technology"" (""impft132k.pdf"", Current, Original)","[impft132k] ""Principles of functional food additives in food technology"" (""impft132kl.pdf"", Legacy, Original)"
Pair 224,0.965,"[promg29] ""Carry out simple testing operations "" (""promg29.pdf"", Current, Imported)","[propo08] ""Carry out simple testing operations"" (""propo08.pdf"", Current, Tailored)"
Pair 225,0.965,"[impft111k] ""Understand how to control the sensory assessment of food and drink"" (""impft111k.pdf"", Current, Original)","[impft111k] ""Understand how to control the sensory assessment of food and drink"" (""impft111kl.pdf"", Legacy, Original)"
Pair 226,0.965,"[impft144k] ""Principles of bulk size reduction of produce and food materials"" (""impft144k.pdf"", Current, Original)","[impft144k] ""Principles of bulk size reduction of produce and food materials"" (""impft144kl.pdf"", Legacy, Original)"
Pair 227,0.965,"[eusfes47] ""Re-process recyclable materials"" (""re-process-recyclable-materials-eusfes47.pdf"", Current, Original)","[euswo47] ""Re-process recyclable materials"" (""re-process-recyclable-materials-euswo47.pdf"", Current, Original)"
Pair 228,0.965,"[impft154k] ""Principles of plastic and cellulose films in food and drink"" (""impft154k.pdf"", Current, Original)","[impft154k] ""Principles of plastic and cellulose films in food and drink"" (""impft154kl.pdf"", Legacy, Original)"
Pair 229,0.965,"[sembit19] ""Leading measurement systems analysis (msa) activities"" (""sembit19.pdf"", Current, Original)","[sembit419] ""Leading measurement systems analysis (msa) activities"" (""sembit419.pdf"", Current, Original)"
Pair 230,0.965,"[impft123k] ""Principles of freezing methods in food technology"" (""impft123k.pdf"", Current, Original)","[impft123k] ""Principles of freezing methods in food technology"" (""impft123kl.pdf"", Legacy, Original)"
Pair 231,0.965,"[impft127k] ""Principles of protein biochemistry in food science"" (""impft127k.pdf"", Current, Original)","[impft127k] ""Principles of protein biochemistry in food science"" (""impft127kl.pdf"", Legacy, Original)"
Pair 232,0.965,"[sembit16] ""Leading policy deployment activities (hoshin kanri, quality operating systems, business plan deployment)"" (""sembit16.pdf"", Current, Original)","[sembit416] ""Leading policy deployment activities (hoshin kanri, quality operating systems, business plan deployment) "" (""sembit416.pdf"", Current, Original)"
Pair 233,0.965,"[sembit35] ""Applying response surface methodology"" (""sembit35.pdf"", Current, Original)","[sembit435] ""Applying response surface methodology"" (""sembit435.pdf"", Current, Original)"
Pair 234,0.965,"[sfjdc7] ""Monitor progress of court and tribunal cases and review case schedules"" (""sfjdc7.pdf"", Current, Original)","[sfjdc7] ""Monitor progress of court and tribunal cases and review case schedules"" (""sfjdc7l.pdf"", Current, Original)"
Pair 235,0.965,"[semic336] ""Measuring and setting out lift installations"" (""semic336.pdf"", Current, Original)","[semic36] ""Measuring and setting out lift installations"" (""semic36.pdf"", Current, Original)"
Pair 236,0.965,"[fspaml2] ""Assist in developing the compliance culture of your organisation "" (""assist-in-developing-the-compliance-culture-of-your-organisation--fspaml2.pdf"", Current, Original)","[fspaml2] ""Assist in developing the compliance culture of your organisation"" (""fspaml2.pdf"", Current, Original)"
Pair 237,0.965,"[sfhltcn22] ""Support individuals with neurological conditions to optimise their communication skills"" (""sfhltcn22.pdf"", Current, Original)","[sfhltcn23] ""Support individuals with neurological conditions to optimise their independence"" (""sfhltcn23.pdf"", Current, Original)"
Pair 238,0.965,"[sflscm118] ""Sfl118 complete export procedures and requirements legacy"" (""sflscm118l.pdf"", Legacy, Original)","[sflscm119] ""Sfl119 complete import procedures and requirements legacy"" (""sflscm119l.pdf"", Legacy, Original)"
Pair 239,0.965,"[sfhrt15] ""Prepare non-routine components for custom made devices"" (""sfhrt15.pdf"", Current, Original)","[sfhrt5] ""Prepare routine components for custom made devices"" (""sfhrt5.pdf"", Current, Original)"
Pair 240,0.965,"[semet345] ""Setting grinding machines to produce toolroom components"" (""semet345.pdf"", Current, Original)","[semet45] ""Setting grinding machines to produce toolroom components"" (""semet45.pdf"", Current, Original)"
Pair 241,0.965,"[cfacsd16] ""Develop a customer service strategy for a part of an organisation"" (""cfacsd16.pdf"", Current, Original)","[prompr21] ""Develop a customer service strategy for a part of an organisation"" (""prompr21.pdf"", Current, Original)"
Pair 242,0.96,"[sembit3] ""Carrying out project management activities "" (""sembit3.pdf"", Current, Original)","[sembit403] ""Carrying out project management activities"" (""sembit403.pdf"", Current, Original)"
Pair 243,0.96,"[sembit10] ""Leading lead time analysis activities"" (""sembit10.pdf"", Current, Original)","[sembit410] ""Leading lead time analysis activities"" (""sembit410.pdf"", Current, Original)"
Pair 244,0.96,"[cfawb8] ""Develop a website for your business"" (""cfawb8.pdf"", Current, Original)","[skspi45] ""Develop a website for your business"" (""skspi45.pdf"", Current, Imported)"
Pair 245,0.96,"[lsiwwp408] ""408 promote a culture of quality in parenting provision."" (""lsiwwp408.pdf"", Current, Original)","[lsiwwp408v2] ""Promote a culture of quality in parenting provision"" (""lsiwwp408v2.pdf"", Current, Original)"
Pair 246,0.96,"[sembit30] ""Leading the production of multi variance charts"" (""sembit30.pdf"", Current, Original)","[sembit430] ""Leading the production of multi variance charts"" (""sembit430.pdf"", Current, Original)"
Pair 247,0.96,"[cfas9.4l] ""Build and deliver customer service and customer care support - legacy"" (""cfas9.4l.pdf"", Legacy, Original)","[propam513] ""Build and deliver customer service and customer care support"" (""propam513.pdf"", Current, Original)"
Pair 248,0.96,"[sembit28] ""Leading the production of a characteristic selection matrix"" (""sembit28.pdf"", Current, Original)","[sembit428] ""Leading the production of a characteristic selection matrix"" (""sembit428.pdf"", Current, Original)"
Pair 249,0.96,"[sfhrt16] ""Design and manufacture non-routine custom made devices to fitting stage to meet the prescription"" (""sfhrt16.pdf"", Current, Original)","[sfhrt6] ""Design and manufacture routine custom made devices to fitting stage to meet the prescription"" (""sfhrt6.pdf"", Current, Original)"
Pair 250,0.96,"[impft122k] ""Principles of the refrigeration cycle in food technology"" (""impft122k.pdf"", Current, Original)","[impft122k] ""Principles of the refrigeration cycle in food technology"" (""impft122kl.pdf"", Legacy, Original)"
Pair 251,0.96,"[cosvr761] ""Operate plant or machinery to sweep, clean or clear"" (""cosvr761.pdf"", Current, Original)","[cosvr761] ""Operate plant or machinery to sweep, clean or clear legacy"" (""cosvr761l.pdf"", Legacy, Original)"
Pair 252,0.96,"[sflscm118] ""Complete export procedures and requirements"" (""sflscm118.pdf"", Current, Original)","[sflscm119] ""Complete import procedures and requirements"" (""sflscm119.pdf"", Current, Original)"
Pair 253,0.96,"[skab229 (2)] ""Plan and organise services"" (""skab229 (2).pdf"", Current, Original)","[skab229] ""Plan and organise services"" (""skab229.pdf"", Current, Original)"
Pair 254,0.96,"[sembit15] ""Leading flow process analysis activities"" (""sembit15.pdf"", Current, Original)","[sembit415] ""Leading flow process analysis activities"" (""sembit415.pdf"", Current, Original)"
Pair 255,0.96,"[impft148k] ""Principles of blanching in food technology"" (""impft148k.pdf"", Current, Original)","[impft148k] ""Principles of blanching in food technology"" (""impft148kl.pdf"", Legacy, Original)"
Pair 256,0.96,"[cogsbp27] ""Review environmental performance in support of sustainable business practice"" (""cogsbp27.pdf"", Current, Original)","[lanem5] ""Review environmental performance"" (""lanem5.pdf"", Current, Original)"
Pair 257,0.96,"[sksrac14] ""Record audio "" (""sksrac14.pdf"", Current, Original)","[sksrc14v1] ""Record audio on location and in the studio legacy"" (""sksrc14v1l.pdf"", Legacy, Original)"
Pair 258,0.96,"[finpsa08] ""Process defined benefit pension scheme retirement benefits legacy"" (""fsppsa08l.pdf"", Legacy, Original)","[finpsa010] ""Process defined contribution pension scheme retirement benefits legacy"" (""fsppsa10l.pdf"", Legacy, Original)"
Pair 259,0.96,"[sfhgen130] ""Work with teams and agencies to review progress and performance and identify next steps"" (""sfhgen130.pdf"", Current, Original)","[sfhmh91] ""Work with teams and agencies to review progress"" (""sfhmh91.pdf"", Current, Original)"
Pair 260,0.96,"[fspaml5] ""Assess and mitigate the anti-money laundering and countering terrorist financing compliance risks relevant to your  organisation "" (""assess-and-mitigate-the-anti-money-laundering-and-countering-terrorist-financing-compliance-risks-relevant-fspaml5.pdf"", Current, Original)","[fspaml5] ""Assess and mitigate the anti-money laundering and countering terrorist financing compliance risks relevant to your organisation"" (""fspaml5.pdf"", Current, Original)"
Pair 261,0.96,"[semic06] ""Installing electrical/electronic equipment"" (""semic06.pdf"", Current, Original)","[semic306] ""Installing electrical/electronic equipment"" (""semic306.pdf"", Current, Original)"
Pair 262,0.96,"[cfacsa5] ""Promote additional services or products to customers"" (""cfacsa5.pdf"", Current, Original)","[sfjcccd1.2] ""Provide additional services or products to customers"" (""sfjcccd1.2.pdf"", Current, Tailored)"
Pair 263,0.96,"[semic07] ""Installing equipment to produce an engineered system"" (""semic07.pdf"", Current, Original)","[semic307] ""Installing equipment to produce an engineered system"" (""semic307.pdf"", Current, Original)"
Pair 264,0.96,"[semem4-30] ""Investigate incidents relating to engineering activities"" (""semem430.pdf"", Current, Original)","[semeng322] ""Assist in investigating incidents relating to engineering activities"" (""semeng322.pdf"", Current, Original)"
Pair 265,0.96,"[sumofts11] ""Install oil storage and supply systems [domestic]"" (""sumofts11.pdf"", Current, Original)","[sumofts11a] ""Install oil storage and supply systems (commercial/industrial)"" (""sumofts11a.pdf"", Current, Original)"
Pair 266,0.96,"[lanem1] ""Develop an environmental policy"" (""lanem1.pdf"", Current, Original)","[prompr62] ""Develop an environmental policy"" (""prompr62.pdf"", Current, Original)"
Pair 267,0.96,"[imiag2] ""Working with others within the automotive glazing work environment"" (""imiag2.pdf"", Current, Tailored)","[proag3] ""Working with others within the automotive glazing workplace"" (""proag3.pdf"", Current, Original)"
Pair 268,0.96,"[langa16] ""Manage the production of fertile game bird eggs legacy"" (""langa16l.pdf"", Legacy, Original)","[langa16v1l] ""Manage the production of fertile gamebird eggs(legacy)"" (""langa16v1l.pdf"", Legacy, Original)"
Pair 269,0.96,"[sfj6137] ""Participate in adventurous activities"" (""sfj6137.pdf"", Current, Original)","[sfj6137] ""Participate in adventurous activities"" (""sfj6137l.pdf"", Current, Original)"
Pair 270,0.96,"[sfj6133] ""Plan and navigate a cross country route"" (""sfj6133.pdf"", Current, Original)","[sfj6133] ""Plan and navigate a cross country route"" (""sfj6133l.pdf"", Current, Original)"
Pair 271,0.96,"[eusence8] ""Solve electricity network engineering problems with engineering solutions"" (""eusence8.pdf"", Current, Original)","[eusgnem29] ""Solve utility network engineering problems with engineering solutions"" (""eusgnem29.pdf"", Current, Original)"
Pair 272,0.96,"[cfaop2] ""Plan what people your business needs"" (""cfaop2.pdf"", Current, Original)","[eusra342b] ""Plan what your business needs"" (""eusra342b.pdf"", Current, Original)"
Pair 273,0.96,"[fspaml11] ""Review, evaluate and identify improvements to the implementation of anti-money laundering and countering terrorist financing measures within your organisation"" (""fspaml11.pdf"", Current, Original)","[fspaml11] ""Review, evaluate and identify improvements to the implementation of anti-money laundering and countering terrorist financing measures within your organisation "" (""review--evaluate-and-identify-improvements-to-the-implementation-of-anti-money-laundering-and-countering-fspaml11.pdf"", Current, Original)"
Pair 274,0.96,"[impft152k] ""Principles of bar coding in food and drink"" (""impft152k.pdf"", Current, Original)","[impft152k] ""Principles of bar coding in food and drink"" (""impft152kl.pdf"", Legacy, Original)"
Pair 275,0.955,"[sfsctv12] ""Manage service continuity of cctv operations"" (""sfsctv12.pdf"", Current, Original)","[sfs ctv 12l] ""Manage service continuity of cctv operations legacy"" (""sfsctv12l.pdf"", Legacy, Original)"
Pair 276,0.955,"[fspaml12] ""Plan and deliver anti-money laundering and countering terrorist financing training for your organisation"" (""fspaml12.pdf"", Current, Original)","[fspaml12] ""Plan and deliver anti-money laundering and countering terrorist financing training for your organisation   "" (""plan-and-deliver-anti-money-laundering-and-countering-terrorist-financing-training-for-your-organisation-fspaml12.pdf"", Current, Original)"
Pair 277,0.955,"[sfskr50] ""Respond to keyholding attendance requests"" (""sfskr50.pdf"", Current, Original)","[sfskr50l] ""Respond to keyholding attendance requests legacy"" (""sfskr50l.pdf"", Legacy, Original)"
Pair 278,0.955,"[imivf44] ""Receive and store automotive stock"" (""imivf44.pdf"", Current, Original)","[imivf44] ""Receive and store automotive stock"" (""imivf44l.pdf"", Current, Original)"
Pair 279,0.955,"[cfaturl2] ""Develop a learning agenda and strategy for the promotion of union learning v2"" (""cfaturl2.pdf"", Current, Original)","[cfaul2] ""Develop a learning agenda and strategy for the promotion of union learning"" (""cfaul2.pdf"", Current, Original)"
Pair 280,0.955,"[cfaturl1] ""Promote learning and union initiatives v2"" (""cfaturl1.pdf"", Current, Original)","[cfaul1] ""Promote learning and union initiatives"" (""cfaul1.pdf"", Current, Original)"
Pair 281,0.955,"[sfjdg3] ""Administer the collection of financial orders levied by courts and tribunals"" (""sfjdg3.pdf"", Current, Original)","[sfjdg3] ""Administer the collection of financial orders levied by courts and tribunals"" (""sfjdg3l.pdf"", Current, Original)"
Pair 282,0.955,"[fspaml14] ""Develop anti-money laundering and countering terrorist financing reference and guidance materials for your organisation  "" (""develop-anti-money-laundering-and-countering-terrorist-financing-reference-and-guidance-materials-for-fspaml14.pdf"", Current, Original)","[fspaml14] ""Develop anti-money laundering and countering terrorist financing reference and guidance materials for your organisation"" (""fspaml14.pdf"", Current, Original)"
Pair 283,0.955,"[scdldss312] ""Support children and young people during transitions in their lives "" (""scdldss312.pdf"", Current, Tailored)","[tdastl49] ""Support children and young people during"" (""tdastl49.pdf"", Current, Original)"
Pair 284,0.955,"[scdldss309] ""Liaise with parents, carers and families "" (""scdldss309.pdf"", Current, Tailored)","[tdastl60] ""Liaise with parents, carers and families"" (""tdastl60.pdf"", Current, Original)"
Pair 285,0.955,"[sfjdb7] ""Address pre-hearing matters relating to court, tribunal and prosecution cases"" (""sfjdb7.pdf"", Current, Original)","[sfjdb7] ""Address pre-hearing matters relating to court, tribunal and prosecution cases"" (""sfjdb7l.pdf"", Current, Original)"
Pair 286,0.955,"[sfjccdb3.1] ""Calculate the correct amount liable/payable"" (""sfjccdb3.1.pdf"", Current, Original)","[sfjps6.4.9] ""Calculate correct amount liable/payable"" (""sfjps6.4.9.pdf"", Current, Original)"
Pair 287,0.955,"[eusence2] ""Obtain the resources to carry out work on electricity network assets"" (""eusence2.pdf"", Current, Original)","[eusgnem01] ""Obtain the resources to carry out work on the utility network assets"" (""eusgnem01.pdf"", Current, Original)"
Pair 288,0.955,"[eusdsg3.50] ""Carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems"" (""eusdsg3.50.pdf"", Current, Imported)","[summes33] ""Carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems - legacy"" (""summes33l.pdf"", Legacy, Original)"
Pair 289,0.955,"[promg37] ""Measure and set out dimensional control for the drilling requirement"" (""promg37.pdf"", Current, Original)","[proms4] ""Measure and set out dimensional work control for the drilling requirements "" (""proms4.pdf"", Current, Imported)"
Pair 290,0.955,"[eusdsg3.23] ""Organise the working environment"" (""eusdsg3.23.pdf"", Current, Imported)","[summes6] ""Organise the working environment - legacy"" (""summes6l.pdf"", Legacy, Original)"
Pair 291,0.955,"[promg44] ""Solve processing problems "" (""promg44.pdf"", Current, Imported)","[propo12] ""Solve processing problems"" (""propo12.pdf"", Current, Original)"
Pair 292,0.955,"[sembit32] ""Carrying out evolutionary operations (evop)"" (""sembit32.pdf"", Current, Original)","[sembit432] ""Carrying out evolutionary operations (evop)"" (""sembit432.pdf"", Current, Original)"
Pair 293,0.955,"[fspaml7] ""Communicate and implement the anti-money laundering and countering terrorist financing policy with the organisation "" (""communicate-and-implement-the-anti-money-laundering-and-countering-terrorist-financing-policy-with-the-fspaml7.pdf"", Current, Original)","[fspaml7] ""Communicate and implement the anti-money laundering and countering terrorist financing policy with the organisation"" (""fspaml7.pdf"", Current, Original)"
Pair 294,0.955,"[skabt09b16] ""Prepare to change the performer’s appearance "" (""skabt09b16.pdf"", Current, Tailored)","[skabt32v2] ""Prepare to change the performer’s appearance"" (""skabt32v2.pdf"", Current, Tailored)"
Pair 295,0.955,"[impft118k] ""Principles of weights and measures in food technology"" (""impft118k.pdf"", Current, Original)","[impft118k] ""Principles of weights and measures in food technology"" (""impft118kl.pdf"", Legacy, Original)"
Pair 296,0.955,"[sembit23] ""Leading the creation of standard operating procedures (sop)"" (""sembit23.pdf"", Current, Original)","[sembit423] ""Leading the creation of standard operating procedures (sop)"" (""sembit423.pdf"", Current, Original)"
Pair 297,0.955,"[cogpoh21] ""Facilitate the maintenance of process plant and equipment"" (""cogpoh21.pdf"", Current, Original)","[cogpohcr7] ""Facilitate the maintenance of process plant and equipment"" (""cogpohcr7.pdf"", Current, Original)"
Pair 298,0.955,"[sumimas54f] ""Diagnose and correct faults in electrotechnical systems and equipment"" (""sumimas54f.pdf"", Current, Original)","[sumimas54g] ""Diagnose and correct faults in electrotechnical systems and equipment (audio systems)"" (""sumimas54g.pdf"", Current, Original)"
Pair 299,0.955,"[semic10] ""Installing process controller equipment"" (""semic10.pdf"", Current, Original)","[semic310] ""Installing process controller equipment"" (""semic310.pdf"", Current, Original)"
Pair 300,0.955,"[impft107k] ""Principles of food data analysis in food and drink"" (""impft107k.pdf"", Current, Original)","[impft107k] ""Principles of food data analysis in food and drink"" (""impft107kl.pdf"", Legacy, Original)"
Pair 301,0.955,"[impft158k] ""Principles of tetra pak in food technology"" (""impft158k.pdf"", Current, Original)","[impft158k] ""Principles of tetra pak in food technology"" (""impft158kl.pdf"", Legacy, Original)"
Pair 302,0.95,"[eskiso2] ""It/technology service operations and event management"" (""eskiso2.pdf"", Current, Original)","[eskitp7012] ""It/technology service operations and event management level 2 role"" (""eskitp7012.pdf"", Current, Original)"
Pair 303,0.95,"[eusdsg3.48] ""Connect pipework"" (""eusdsg3.pdf"", Current, Imported)","[summes31] ""Connect pipework - legacy"" (""summes31l.pdf"", Legacy, Original)"
Pair 304,0.95,"[semem4-20] ""Providing technical advice and guidance on engineering or manufacturing requirements"" (""semem420.pdf"", Current, Original)","[semeng321] ""Support the provision of technical advice and guidance on engineering or manufacturing requirements"" (""semeng321.pdf"", Current, Original)"
Pair 305,0.95,"[impft124k] ""Principles of water biochemistry in food science"" (""impft124k.pdf"", Current, Original)","[impft124k] ""Principles of water biochemistry in food science"" (""impft124kl.pdf"", Legacy, Original)"
Pair 306,0.95,"[ssr.c309] ""Evaluate takings practices and procedures in a retail environment"" (""ssr c309.pdf"", Current, Original)","[ssr.c309] ""Evaluate takings practices and procedures in a retail environment legacy"" (""ssrc309l.pdf"", Legacy, Original)"
Pair 307,0.95,"[impft117k] ""Principles of rheological food characteristics in food technology"" (""impft117k.pdf"", Current, Original)","[impft117k] ""Principles of rheological food characteristics in food technology"" (""impft117kl.pdf"", Legacy, Original)"
Pair 308,0.95,"[sfjdb3] ""Progress requests for rescheduling court and tribunal cases"" (""sfjdb3.pdf"", Current, Original)","[sfjdb3] ""Progress requests for rescheduling court and tribunal cases"" (""sfjdb3l.pdf"", Current, Original)"
Pair 309,0.95,"[eusdsg3.43] ""Decommission heating & ventilation systems, equipment and components"" (""eusdsg3.43.pdf"", Current, Imported)","[summes26] ""Decommission heating & ventilating systems, equipment and components"" (""summes26.pdf"", Current, Original)"
Pair 310,0.95,"[cogpac1] ""Pack product by machine within a packing environment"" (""cogpac1.pdf"", Current, Original)","[cogpack15] ""Pack product by machine"" (""cogpack15.pdf"", Current, Original)"
Pair 311,0.95,"[prowpm15] ""Manufacture complex wood components legacy"" (""prowpm15l.pdf"", Legacy, Original)","[prowpm19] ""Manufacture routine wood components legacy"" (""prowpm19l.pdf"", Legacy, Original)"
Pair 312,0.95,"[semic27] ""Commissioning environmental pollution control equipment and systems"" (""semic27.pdf"", Current, Original)","[semic327] ""Commissioning environmental pollution control equipment and systems"" (""semic327.pdf"", Current, Original)"
Pair 313,0.95,"[cfacsa17] ""Champion customer service"" (""cfacsa17.pdf"", Current, Original)","[prompr18] ""Champion customer service"" (""prompr18.pdf"", Current, Original)"
Pair 314,0.95,"[semic04] ""Handing over and confirming completion of installation or commissioning activities"" (""semic04.pdf"", Current, Original)","[semic304] ""Handing over and confirming completion of installation or commissioning activities"" (""semic304.pdf"", Current, Original)"
Pair 315,0.95,"[ppltp03] ""Manage transport planning projects"" (""ppltp03.pdf"", Current, Original)","[ppltpts03] ""Run transport planning projects"" (""ppltpts03.pdf"", Current, Original)"
Pair 316,0.95,"[cogsbp30] ""Report environmental performance in support of sustainable business practice"" (""cogsbp30.pdf"", Current, Original)","[lanem8] ""Report environmental performance"" (""lanem8.pdf"", Current, Original)"
Pair 317,0.95,"[impft159k] ""Principles of modified atmosphere and vacuum packaging in food technology"" (""impft159k.pdf"", Current, Original)","[impft159k] ""Principles of modified atmosphere and vacuum packaging in food technology"" (""impft159kl.pdf"", Legacy, Original)"
Pair 318,0.95,"[impft131k] ""Principles of pigments in food technology"" (""impft131k.pdf"", Current, Original)","[impft131k] ""Principles of pigments in food technology"" (""impft131kl.pdf"", Legacy, Original)"
Pair 319,0.95,"[impft134k] ""Principles of microbiology in food technology"" (""impft134k.pdf"", Current, Original)","[impft134k] ""Principles of microbiology in food technology"" (""impft134kl.pdf"", Legacy, Original)"
Pair 320,0.95,"[semme3276] ""Producing patterns for hovercraft skirts"" (""semme3276.pdf"", Current, Original)","[semme3281] ""Producing patterns for rigid inflatable boat (rib) sponsons"" (""semme3281.pdf"", Current, Original)"
Pair 321,0.95,"[semme2119] ""Assisting in the installation of wooden furniture/outfitting units for yachts and boats"" (""semme2119.pdf"", Current, Original)","[semme2_119] ""Assisting in the installation of wooden furniture/outfitting units in yachts and boats"" (""semme2_119.pdf"", Current, Original)"
Pair 322,0.95,"[semme2097] ""Carrying out the installation of rigging and lifting equipment"" (""semme2097.pdf"", Current, Original)","[semme3201] ""Installing rigging and lifting equipment"" (""semme3201.pdf"", Current, Original)"
Pair 323,0.95,"[semme2096] ""Carrying out manual splicing of wire and fibre ropes"" (""semme2096.pdf"", Current, Original)","[semme3200] ""Carrying out manual splicing operations"" (""semme3200.pdf"", Current, Original)"
Pair 324,0.95,"[sembit11] ""Leading value stream mapping (vsm) activities"" (""sembit11.pdf"", Current, Original)","[sembit411] ""Leading value stream mapping (vsm) activities"" (""sembit411.pdf"", Current, Original)"
Pair 325,0.95,"[impft153k] ""Principles of paper and board packaging in food and drink"" (""impft153k.pdf"", Current, Original)","[impft153k] ""Principles of paper and board packaging in food and drink"" (""impft153kl.pdf"", Legacy, Original)"
Pair 326,0.95,"[impft135k] ""Principles of sterile processing in food technology"" (""impft135k.pdf"", Current, Original)","[impft135k] ""Principles of sterile processing in food technology"" (""impft135kl.pdf"", Legacy, Original)"
Pair 327,0.95,"[semme2095] ""Assisting in mooring and berthing operations"" (""semme2095.pdf"", Current, Original)","[semme3199] ""Carrying out mooring and berthing operations"" (""semme3199.pdf"", Current, Original)"
Pair 328,0.95,"[sfjpk1.2] ""Maintain required standards of conduct in public service"" (""sfjpk1.2.pdf"", Current, Original)","[sfjps1.1.3] ""Maintain required standards of conduct in public service"" (""sfjps1.1.3.pdf"", Current, Original)"
Pair 329,0.95,"[sfjpi1.1] ""Work as a team member to deliver public service"" (""sfjpi1.1.pdf"", Current, Original)","[sfjps4.4.1] ""Work as a team member to deliver public service"" (""sfjps4.4.1.pdf"", Current, Original)"
Pair 330,0.95,"[pplres05] ""Determine requirements for safe access to work locations for signal engineering"" (""pplres05  determine requirements for safe access to work locations for signal engineering.pdf"", Current, Original)","[pplret05] ""Determine requirements for the safe access to work locations for telecoms engineering"" (""pplret05  determine requirements for the safe access to work locations for telecoms engineering.pdf"", Current, Original)"
Pair 331,0.95,"[sfjdg1] ""Process outcomes of court and tribunal hearings"" (""sfjdg1.pdf"", Current, Original)","[sfjdg1] ""Process outcomes of court and tribunal hearings"" (""sfjdg1l.pdf"", Current, Original)"
Pair 332,0.95,"[sfsphs11] ""Provide continuity of physical security solution"" (""sfsphs11.pdf"", Current, Original)","[sfssvp9] ""Provide continuity of void property security solution"" (""sfssvp9.pdf"", Current, Original)"
Pair 333,0.945,"[impft143k] ""Principles of sorting and grading produce and food materials"" (""impft143k.pdf"", Current, Original)","[impft143k] ""Principles of sorting and grading produce and food materials"" (""impft143kl.pdf"", Legacy, Original)"
Pair 334,0.945,"[sfjde4] ""Inform and update victims and survivors on the progress of offenders through custodial sentences"" (""sfjde4.pdf"", Current, Original)","[sfj de4 ] ""Inform and update victims on the progress of offenders through custodial sentences"" (""sfjde4l.pdf"", Current, Original)"
Pair 335,0.945,"[skaes11] ""Develop your technical skills to achieve excellence in your sport"" (""skaes11.pdf"", Current, Original)","[skaes12] ""Develop your tactical skills to achieve excellence in your sport"" (""skaes12.pdf"", Current, Original)"
Pair 336,0.945,"[sfsctv9] ""Record information within cctv operations"" (""sfsctv9.pdf"", Current, Original)","[sfs ctv 9l] ""Record information within cctv operations legacy"" (""sfsctv9l.pdf"", Legacy, Original)"
Pair 337,0.945,"[eusdsg3.36] ""Commission cooling systems, equipment and components"" (""eusdsg3.36.pdf"", Current, Imported)","[summes19] ""Commission cooling systems, equipment and components - legacy"" (""summes19l.pdf"", Legacy, Original)"
Pair 338,0.945,"[skabt09b18] ""Apply make-up to change the performer’s appearance "" (""skabt09b18.pdf"", Current, Tailored)","[skabt34v2] ""Apply make-up to change the performer’s appearance"" (""skabt34v2.pdf"", Current, Tailored)"
