,Keywords,Keywords_2
semem376.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Instrumentation, control equipment, control circuits, engineering, planned', 'maintenance, manufacturing, maintenance/manufacturers documentation, total', 'preventative maintenance, condition based maintenance, scheduled', 'maintenance', '9']"
semem383.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Installation, mechanical equipment, tools and equipment, techniques, robots,', 'pick and placed devices, automated systems', '10']"
semem384.pdf,installation; mechanical equipment; tools and equipment; techniques; marking out; drilling; electrical; electronic,"['Installation, mechanical equipment, tools and equipment, techniques, heating ,', 'ventilation, air conditioning, refrigation equipment', '9']"
semfew226.pdf,"engineering, welding, fabrication, assembly, composite, one-off, methods, techniques, threaded inserts","['engineering, welding, fabrication, machine cutting, NC laser machine, CNC', 'laser machine, profiles, angular profiles', '5']"
semfew247.pdf,"engineering, welding, fabrication, assembly, composite, one-off, methods, techniques, threaded inserts","['engineering, welding, fabrication, manufacture, Acrylic, moulding, vacuum', 'forming, deep draw, shape clamping', '5']"
semlabs3_05.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; projects; budgets; managing', '5']"
semlabs3_06.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; samples; equipment; HPLC', '7']"
semlabs3_07.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; samples; equipment; GC', '7']"
semlabs3_08.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; samples; equipment; GCMS', '7']"
semlabs3_09.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; samples; equipment; GCTC', '7']"
semlabs3_10.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; DNA; RNA; equipment; PCR; QPCR', '7']"
semlabs3_12.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; storage; cells; samples; equipment; cryogenic', '7']"
semlabs3_14.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; culturing; fermenting; cells; sub culture', '7']"
semlabs3_16.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; samples; specimens; separating; equipment;', '7']"
semlabs3_17.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; equipment; microscope', '8']"
semlabs3_23.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; analysing; DNA; gel electrophoresis', '6']"
semlabs4_04.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; quality; improving; product; process', '7']"
semlabs4_09.pdf,laboratory; workplace; studies; measurements; data; maths,"['laboratory; workplace; toxicity; studies; planning; scheduling; resourcing', '6']"
semme2008.pdf," mergefield ""kw1"" engineering;  mergefield ""kw3"" marine;  mergefield ""kw5"" electrical;  mergefield ""kw6"" testing;  mergefield ""kw7"" equipment;  mergefield ""kw8"" circuits;  mergefield ""kw10"" power supply","['Engineering; marine; electrical; testing; equipment; circuits; power supply', 'SEMME2008 Carrying out tests on marine electrical and electronic equipment and circuits', '8']"
semme2019.pdf," mergefield ""kw1"" engineering;  mergefield ""kw3"" marine;  mergefield ""kw5"" manual; welding;  mergefield ""kw6"" pipework; torch;  mergefield ""kw7"" brazing;  mergefield ""kw8"" soldering;  mergefield ""kw9"" techniques;  mergefield ""kw10"" equipment","['Engineering; marine; manual; welding; pipework; torch; brazing; soldering;', 'techniques; equipment', 'SEMME2-019 Carrying out manual torch brazing and soldering of marine pipework', '7']"
semme3020.pdf," mergefield ""kw1"" engineering;  mergefield ""kw2"" marine;  mergefield ""kw3"" setting to work;  mergefield ""kw4"" testing;  mergefield ""kw5"" trialling;  mergefield ""kw6"" lighting;  mergefield ""kw7"" alarms;  mergefield ""kw8"" detection;  mergefield ""kw9"" monitoring;  mergefield ""kw10"" equipment; systems","['engineering; marine; setting to work; testing; trialling; lighting; alarms;', 'detection; monitoring; equipment; systems', ' Setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems 7']"
semme3034.pdf," mergefield ""kw1"" engineering;  mergefield ""kw2"" marine;  mergefield ""kw3"" overhaul;  mergefield ""kw4"" power;  mergefield ""kw5"" generation;  mergefield ""kw6"" distribution; equipment; systems;  mergefield ""kw7"" generators;  mergefield ""kw8"" alternators;  mergefield ""kw9"" regulators;  mergefield ""kw10"" batteries","['engineering; marine; overhaul; power; generation; distribution; equipment;', 'systems; generators; alternators; regulators; batteries', 'SEMME3034 Overhauling marine electrical power generation and distribution equipment and systems', '9']"
semme3072.pdf," mergefield ""kw1"" engineering;  mergefield ""kw2"" marine;  mergefield ""kw3"" install;  mergefield ""kw4"" auxiliary power;  mergefield ""kw5"" electrical;  mergefield ""kw6"" power generation;  mergefield ""kw7"" diesel oil;  mergefield ""kw8"" steam turbine;  mergefield ""kw9"" gas turbine;  mergefield ""kw10"" generators","['engineering; marine; install; auxiliary power; electrical; power generation;', 'diesel oil; steam turbine; gas turbine; generators', 'SEMME3072 Installing marine auxiliary power units for electrical power generation', '8']"
semme3171.pdf," mergefield ""kw1"" engineering;  mergefield ""kw2"" marine;  mergefield ""kw3"" prepare;  mergefield ""kw4"" setting;  mergefield ""kw5"" machine welding;  mergefield ""kw6"" resistance welder;  mergefield ""kw7"" spot welder;  mergefield ""kw8"" seam welder;  mergefield ""kw9"" projection welder;  mergefield ""kw10"" load and ejection systems","['Engineering; marine; prepare; setting; machine welding; resistance welder;', 'spot welder; seam welder; projection welder; load and ejection systems', 'SEMME3171 Preparing resistance spot, seam and projection welding machines for production', '7']"
semmme3004.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, setting, centre lathe, production,', 'parameters, speeds, feeds, turning tools, mounting components', '8']"
semmme3006.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, turret lathes, parameters,', 'tools, holding devices, profile devices, selecting tools', '8']"
semmme3008.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, setting, milling, setting up, vertical', 'mill, universal mill, planer, boring machines', '8']"
semmme3009.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, machining, components, milling,', 'components, universal milling, horizontal milling, vertical milling, planer,', 'boring', '7']"
semmme3010.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, shaping machines, planing', 'machines, slotting machines, setting tools, holding devices, spline cutting', '7']"
semmme3011.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, shaping,', 'planing, slotting, machining keyways, machining splines, multi-facet shaping', '7']"
semmme3012.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, gear cutting, formed wheels,', 'setting workpiece, mounting grinding wheels, balancing grinding wheels,', 'dressing grinding wheels', '8']"
semmme3014.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, gear grinding, formed', 'wheels, setting workpiece, mounting grinding wheels, balancing grinding', 'wheels, dressing grinding wheels', '8']"
semmme3015.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, gear', 'grinding, spur gears, helical gears, bevel gears, splines, involute splines', '7']"
semmme3016.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, horizontal boring machines,', 'cutters, workpiece, tool holding devices, selecting boring heads, feeds and', 'speeds', '8']"
semmme3017.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, boring', 'holes, counterbores, thread boring, cutting special forms, indexing, rotated', 'forms', '7']"
semmme3018.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, vertical boring machines,', 'cutters, workpiece, tool holding devices, selecting turrets, feeds and speeds', '8']"
semmme3019.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, vertical', 'boring, boring holes, indexed, rotated forms, tapering forms, milled surfaces', '7']"
semmme3020.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, electro-discharge machines,', 'spark erosion, wire erosion, electrodes, tool holding devices, wire tension', '7']"
semmme3021.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, electrodischarge, spark erosion, convex forms, concave forms, slots, holes, profiles', '7']"
semmme3022.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, grinding machine, surface', 'grinding, external cylindrical grinding, internal cylindrical grinding, universal', 'grinders, centreless grinders', '9']"
semmme3024.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, honing machines, lapping', 'machines, horizontal lapping, vertical lapping, rotary lapping, reciprocal lapping', '7']"
semmme3025.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, honing,', 'lapping, horizontal milling, vertical lapping, rotary lapping, reciprocal lapping', '7']"
semmme3026.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, broaching machines,', 'horizontal, vertical, work holding devices, mounting workpiece, selecting', 'broaches', '6']"
semmme3027.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, broaching,', 'vertical broaching, horizontal broaching, keyways, square holes, multi-sided', 'holes', '7']"
semmme3028.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, metal spinning machines,', 'equipment, hand spinning, power spinning, mounting devices, forming devices', '6']"
semmme3029.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, metal', 'spinning, convex forms, concave forms, cones, cylinders, bulging, necking', '7']"
semmme3030.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, NC, CNC, machining, loading', 'programs, proving programs, multi-axis, machine centres, editing, saving', '6']"
semmme3031.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, CNC program, loading, proving,', 'inputting data, saving, downloading, editing', '7']"
semmme3032.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, setting, CNC lathe, NC lathe,', 'machine centre, lathe parameters, turning tools, holding device', '8']"
semmme3033.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, machining, components, NC lathe,', 'CNC lathe, CNC machine centre, profile turning, turning threads, multi-facet', 'turning', '8']"
semmme3034.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, setting, CNC milling machine, NC', 'milling machine, machine centre, parameters, tools, holding device', '7']"
semmme3035.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, machining, components, NC Milling', 'machine, CNC three axis, CNC five axis, machine centre, flat surface, profile', '7']"
semmme3036.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, CNC grinding machine, NC', 'grinding machine, machine centres, universal grinders, gear grinders, ring', 'grinders', '8']"
semmme3037.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, grinding,', 'gear, thread, ring, profile, tapering, form', '8']"
semmme3038.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, CNC punching machines,', 'NC punching machines, operating program, tools/punches, workpiece, tool', 'holding devices', '7']"
semmme3039.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, NC', 'punching machines, CNC punching machines, hole, profile, louvres, swages', '7']"
semmme3040.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, NC, CNC, laser profiling,', 'laser parameters, optical systems, characteristics, alignment, cutting speed', '7']"
semmme3041.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, NC, CNC,', 'laser profiling, square cuts, angular profile, circles, holes, slots', '7']"
semmme3042.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, NC electro-discharge, CNC', 'electro-discharge, NC spark erosion, CNC spark erosion, NC wire erosion,', 'CNC wire erosion, electrodes, wire tension', '8']"
semmme3043.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, CNC', 'electro-discharge, NC spark erosion, CNC spark erosion, NC wire erosion,', '/CNC wire erosion, convex forms, concave forms, profiles', '7']"
semmme3044.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, NC vertical boring, CNC', 'vertical boring, operating programs, workpiece, tool holding devices, tools,', 'cutters', '8']"
semmme3045.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, NC vertical', 'borer, CNC vertical borer, external diameters, hole, rotary form, internal', 'profiles, external profiles', '8']"
semmme3046.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, NC horizontal boring, CNC', 'horizontal boring, operating programs, workpiece, tool holding devices,', 'tools/cutters', '8']"
semmme3047.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, NC', 'horizontal borer, CNC horizontal borer, hole, tapers, rotary form, internal', 'profiles, external profiles', '8']"
semmme3048.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, machine, NC gear cutting,', 'CNC gear hobbing, CNC gear shaving, workpiece, holding devices, tools,', 'cutters', '7']"
semmme3049.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, machining, components, NC gear', 'cutting, CNC gear hobbing, CNC gear shaving, spur gears, helical gears,', 'splines', '7']"
semmme3050.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, setting, NC machining centres, CNC', 'machining centres, operating programs, work holding devices, workpiece,', 'tools, cutters', '8']"
semmme3051.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, machining, NC machining centres,', 'CNC machining centres, flat surfaces, profiles, threads, holes', '8']"
semmme3053.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, capstan lathe, turret lathe,', 'lathe parameters, tools, workpiece, holding devices', '8']"
semmme3054.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, single-spindle, automatic,', 'parameters, workpiece, workholding devices, selecting, tools, speeds, feeds', '8']"
semmme3055.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, multi-spindle automatics,', 'parameters, workpiece, workholding devices, selecting, tools, speeds, feeds', '8']"
semmme3056.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, single-spindle drill, multispindle drill, pedestal drill, bench drill, radial arm drill, parameters', '7']"
semmme3057.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, universal, tool grinders,', 'cutter grinders, purpose-built, parameters, selecting grinding wheels, dressing', 'grinding wheels, workholding devices', '8']"
semmme3058.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, special-purpose machines,', 'parameters, mounting devices, selecting, tools, cutters, operating control', 'system, workholding devices', '7']"
semmme3059.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, setting, power presses, single-action', 'power press, multi-action power press, parameters, press tool, safety devices', '7']"
semmme3061.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assembly, mechanical parts,', 'procedures, techniques, bonding components, aids, fitting components', '8']"
semmme3063.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, fluid power, pneumatic', 'components, hydraulic components, vacuum components, electro-fluid power', 'systems, compressors', '7']"
semmme3064.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, pipework, steel pipes,', 'copper pipes, plastic pipes, flexible pipes, assembly techniques', '7']"
semmme3065.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, electrical components,', 'electronic components, routeing, cables, wires, mounting components, cable', 'fixings, fasteners, terminating, joining cables', '7']"
semmme3066.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, power turbine combustion', 'assembly, assembly procedure, assembly methods, assembly techniques,', 'combustion chamber, nozzle guide vanes', '7']"
semmme3067.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, power turbine compressor', 'assembly, assembly procedure, assembly methods, assembly techniques,', 'compressor housing, compressor stator', '7']"
semmme3068.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, power turbine assemblies,', 'assembly procedure, assembly methods, turbine assembly techniques, low', 'pressure turbine, high pressure turbine, turbine shafts', '7']"
semmme3069.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, power turbine gearbox,', 'assembly procedure, assembly methods, assembly techniques, turbine gears,', 'gearbox sensors', '7']"
semmme3070.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, power turbine major', 'assemblies, assembly procedure, assembly methods, assembly techniques,', 'fan case, compressor module', '7']"
semmme3071.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, assemble, piston engine assemblies,', 'assembly procedure, assembly methods, assembly techniques, cylinder', 'heads, cylinder blocks', '7']"
semmme3072.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines","['Engineering, manufacturing, mechanical, modify, mechanical assemblies,', 'resolve design problems, resolve assembly problems, modify for customer,', 'modify to specification, modification methods', '7']"
semmme3073.pdf,"engineering, manufacturing, mechanical, pipe bending, machine, pipe forming, forming methods, bending techniques, power operated machines, hydraulic machines; engineering leadership","['Engineering, manufacturing, mechanical, checking, mechanical assemblies,', 'operational function, specification, calibration, dimensions, tolerance', '8']"
semmme3084.pdf,"engineering, manufacturing, mechanical, repairing, composite moulds, defects, fibre composites, resin composites, methods, techniques","['Engineering, manufacturing, mechanical, bonding, composite moulds, non', 'composite, one-part pastes, two-part pastes, adhesives, syatactic film', '7']"
semmme3101.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, dismantling, mechanical equipment,', 'rotating parts, sliding parts, moving parts, oscillating parts, reciprocating parts,', 'fluid power equipment, electro-mechanical equipment, wires, cables, pipework,', 'levers, linkages, mechanical', '8']"
semmme3102.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, checking, mechanical equipment,', 'mechanical components, serviceability, visual signs, damage, wear, cracks,', 'breaks, impact marks, out of tolerance, fit, working clearance, deterioration,', 'surface finish, alignment, distortion', '7']"
semmme3103.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, test, non-destructive, flaw detection, dye', 'penetrant, magnetic particle, ambient conditions, temperature, humidity,', 'vibration, pollutants, defects, indications', '7']"
semmme3104.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, restoring, mechanical components, usable', 'condition, repair, reform, recondition, replace, rework, low carbon steel, high', 'carbon steel, cast iron, aluminium, brass, bronze, stainless steel, plastic,', 'synthetic, composite', '7']"
semmme3105.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, replacement, components, turning, milling,', 'grinding, drilling, shaping, slotting, cutting, shearing, welding, spark erosion,', 'wire erosion, low carbon steel, high carbon steel, cast iron, aluminium, brass,', 'bronze, stainless', '7']"
semmme3106.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, checking, mechanical assemblies,', 'specification, compliance, flatness, squareness, concentricity, alignment, level,', 'verticality, fit, clearance, angles, dimensions, parallelism, position, location,', 'bonding strength', '8']"
semmme3107.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, industrial power turbine, module,', 'replacement, turbine, compressor, gearbox, exhaust, reheat, combustor, air', 'intake, duct, casings, couplings, bearings, gaskets, seals, shims, packing,', 'securing, locking, inserts, pipes, units', '9']"
semmme3108.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, industrial power turbine, compressor,', 'assemblies, housing, stators, blades, couplings, bearings, sub-assemblies,', 'seals, gaskets, shims, packing, locking, inserts, pipes, unions', '9']"
semmme3109.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, industrial power turbine, combustion,', 'assemblies, case, cans, combustion chambers, guide vanes, seals, gaskets,', 'shims, packing, locking, inserts, pipes, unions', '9']"
semmme3110.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, industrial power turbine, turbine,', 'assemblies, low pressure, intermediate pressure, high pressure, shafts, discs,', 'blades, bearing, races, seals, gaskets, shims, packing, locking, inserts, pipes,', 'unions', '9']"
semmme3111.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, piston engine, two stroke, four stroke,', 'internal combustion, compression ignition, orientation, alignment, freedom of', 'movement, end float, gear backlash, system blockage, timing, clearance, belt', 'tension, chain tension, torque converters', '9']"
semmme3112.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, gearbox, assemblies, crash mesh, sliding', 'mesh, constant mesh, speed reduction, speed increase, synchromesh,', 'planetary, differential, compound', '9']"
semmme3113.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, industrial, clutch, brake, assemblies, dry', 'friction clutch, wet plate clutch, spring, expanding ring, disc, tooth, oil', 'immersed, cone, drum, centrifugal, electromagnetic, hydraulic, pneumatic,', 'magnetic particle, eddy current', '9']"
semmme3114.pdf,"mechanical engineering, photonics, clean room, clean work area, protocol, photolithography, optical, inspection, assembly, alignment, test, safety, contamination, integrity, industry standards","['Mechanical engineering, overhaul, pump, assemblies, kinetic, centrifugal,', 'positive displacement, piston, plunger, diaphragm, bellows, impeller, rotary', 'vane, internal gear, lobe, liner, hydrostatic, progressive cavity, screw', '9']"
