,NOS 1,NOS 2
Pair 346,"('eusdsg3.17', 'strength testing, gas tightness testing and direct purging - ige/up/1a legacy', 'eusdsg3-17l.pdf')","('eusdsg3.60', 'gas tightness testing and direct purging - ige/up/1b legacy', 'eusdsg3-60l.pdf')"
Pair 347,"('eusdsg3.17', 'strength testing, gas tightness testing and direct purging ', 'eusdsg3.17.pdf')","('eusdsg3.6', 'gas tightness testing and direct purging ', 'eusdsg3.6.pdf')"
Pair 348,"('eusdsg3.19', 'apply environmental legislation, working practices and principles (mechanical services)', 'eusdsg3.19.pdf')","('summes2', 'apply environmental legislation, working practices and principles (mechanical services) - legacy', 'summes2l.pdf')"
Pair 349,"('eusdsg3.21', 'provide relevant people with technical and functional information', 'eusdsg3.21.pdf')","('summes4', 'provide relevant people with technical and functional information - legacy', 'summes4l.pdf')"
Pair 350,"('eusdsg3.22', 'oversee the work environment', 'eusdsg3.22.pdf')","('summes5', 'oversee the work environment - legacy', 'summes5l.pdf')"
Pair 351,"('eusdsg3.23', 'organise the working environment', 'eusdsg3.23.pdf')","('summes6', 'organise the working environment - legacy', 'summes6l.pdf')"
Pair 352,"('eusdsg3.30', 'decommission plumbing systems, equipment and components', 'eusdsg3.30.pdf')","('summes13', 'decommission plumbing systems, equipment and components - legacy', 'summes13l.pdf')"
Pair 353,"('eusdsg3.31', 'identify faults in plumbing systems, equipment and components', 'eusdsg3.31.pdf')","('summes14', 'identify faults in plumbing systems, equipment and components - legacy', 'summes14l.pdf')"
Pair 354,"('eusdsg3.32', 'rectify faults in plumbing systems, equipment and components', 'eusdsg3.32.pdf')","('summes15', 'rectify faults in plumbing systems, equipment and components - legacy', 'summes15l.pdf')"
Pair 355,"('eusdsg3.33', 'fit and fix cooling systems, equipment and components', 'eusdsg3.33.pdf')","('summes16', 'fit and fix cooling systems, equipment and components - legacy', 'summes16l.pdf')"
Pair 356,"('eusdsg3.34', 'service and maintain cooling systems, equipment and components', 'eusdsg3.34.pdf')","('summes17', 'service and maintain cooling systems, equipment and components - legacy', 'summes17l.pdf')"
Pair 357,"('eusdsg3.35', 'decommission cooling systems, equipment and components', 'eusdsg3.35.pdf')","('summes18', 'decommission cooling systems, equipment and components - legacy', 'summes18l.pdf')"
Pair 358,"('eusdsg3.36', 'commission cooling systems, equipment and components', 'eusdsg3.36.pdf')","('summes19', 'commission cooling systems, equipment and components - legacy', 'summes19l.pdf')"
Pair 359,"('eusdsg3.37', 'identify and rectify faults in cooling systems, equipment and components', 'eusdsg3.37.pdf')","('summes20', 'identify and rectify faults in cooling systems, equipment and components - legacy', 'summes20l.pdf')"
Pair 360,"('eusdsg3.39', 'service industrial and commercial heating & ventilation systems, equipment and components', 'eusdsg3.39.pdf')","('summes22', 'service industrial and commerical heating & ventilating systems, equipment and components - legacy', 'summes22l.pdf')"
Pair 361,"('eusdsg3.40', 'maintain industrial and commercial heating & ventilation systems, equipment and components', 'eusdsg3.40.pdf')","('summes23', 'maintain industrial and commerical heating & ventilating systems, equipment and components - legacy', 'summes23l.pdf')"
Pair 362,"('eusdsg3.41', 'service and maintain ductwork systems, equipment and components', 'eusdsg3.41.pdf')","('summes24', 'service and maintain ductwork systems, equipment and components - legacy', 'summes24l.pdf')"
Pair 363,"('eusdsg3.43', 'decommission heating & ventilation systems, equipment and components', 'eusdsg3.43.pdf')","('summes26', 'decommission heating & ventilating systems, equipment and components', 'summes26.pdf')"
Pair 364,"('eusdsg3.44', 'commission mechanical systems', 'eusdsg3.44.pdf')","('summes27', 'commission mechanical systems - legacy', 'summes27l.pdf')"
Pair 365,"('eusdsg3.45', 'identify faults in mechanical systems, equipment and components', 'eusdsg3.45.pdf')","('summes28', 'identify faults in mechanical systems, equipment and components - legacy', 'summes28l.pdf')"
Pair 366,"('eusdsg3.46', 'rectify and modify mechanical systems, equipment and components', 'eusdsg3.46.pdf')","('summes29', 'rectify and modify mechanical systems, equipment and components - legacy', 'summes29l.pdf')"
Pair 367,"('eusdsg3.47', 'prepare resources for pipe jointing activities', 'eusdsg3.47.pdf')","('summes30', 'prepare resources for pipe jointing activities - legacy', 'summes30l.pdf')"
Pair 368,"('eusdsg3.49', 'establish electrical control (and supply) of mechanical building services and systems', 'eusdsg3.49.pdf')","('summes32', 'establish electrical control (and supply) of mechanical building services systems - legacy', 'summes32l.pdf')"
Pair 369,"('eusdsg3.50', 'carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems', 'eusdsg3.50.pdf')","('summes33', 'carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems - legacy', 'summes33l.pdf')"
Pair 370,"('eusdsg3.48', 'connect pipework', 'eusdsg3.pdf')","('summes31', 'connect pipework - legacy', 'summes31l.pdf')"
Pair 371,"('eusence1', 'maintain and develop own technical and operational engineering expertise related to electricity network assets', 'eusence1.pdf')","('eusgnem06', 'maintain and develop own technical and operational engineering expertise related to utility network assets', 'eusgnem06.pdf')"
Pair 372,"('eusence15', 'investigate incidents relating to electricity network assets', 'eusence15.pdf')","('eusgnem28', 'investigate incidents relating to utility network assets', 'eusgnem28.pdf')"
Pair 373,"('eusence2', 'obtain the resources to carry out work on electricity network assets', 'eusence2.pdf')","('eusgnem01', 'obtain the resources to carry out work on the utility network assets', 'eusgnem01.pdf')"
Pair 374,"('eusence3', 'implement work on electricity network assets', 'eusence3.pdf')","('eusgnem02', 'implement work on utility network assets', 'eusgnem02.pdf')"
Pair 375,"('eusence4', 'evaluate operational processes used on electricity network assets', 'eusence4.pdf')","('eusgnem03', 'evaluate operational processes used on utility network assets', 'eusgnem03.pdf')"
Pair 376,"('eusence5', 'specify methods and procedures to reduce risk on electricity network assets', 'eusence5.pdf')","('eusgnem04', 'specify methods and procedures to reduce risk on utility network assets', 'eusgnem04.pdf')"
Pair 377,"('eusence8', 'solve electricity network engineering problems with engineering solutions', 'eusence8.pdf')","('eusgnem29', 'solve utility network engineering problems with engineering solutions', 'eusgnem29.pdf')"
Pair 378,"('eusence9', 'specify methods and procedures to operate and maintain electricity network assets', 'eusence9.pdf')","('eusgnem15', 'specify methods and procedures to operate and maintain utility network assets', 'eusgnem15.pdf')"
Pair 379,"('eusepus016', 'movement of loads in the electricity power utilities environment', 'eusepus016.pdf')","('eusptd001', 'movement of loads in the power transmission and distribution environment', 'nos27303v2.pdf')"
Pair 380,"('eusepus039', 'phasing out of cables in the electricity power utilities environment legacy', 'eusepus039l.pdf')","('eusepus040', 'fibre optic fusion splicing and termination in the electricity power utilities environment', 'eusepus040l.pdf')"
Pair 381,"('eusepus049', 'working efficiently and effectively in engineering', 'eusepus049l.pdf')","('sempeo202', 'working efficiently and effectively in engineering', 'sempeo202.pdf')"
Pair 382,"('eusgnc001l', 'create an efficient and effective work environment for complex operations on gas network construction legacy', 'eusgnc001l.pdf')","('eusmunc01l', 'create an efficient and effective work environment in utilities network construction legacy', 'eusmunc01.pdf')"
Pair 383,"('eus gnc002', 'maintain a safe and secure working environment during site operations on gas network construction', 'eusgnc002.pdf')","('eusmunc10', 'maintain a safe and secure working environment in utilities network construction', 'maintain-a-safe-and-secure-working-environment-in-utilities-network-construction-eusmunc10.pdf')"
Pair 384,"('eusgnc002l', 'maintain a safe and secure working environment during complex operations on gas network construction legacy', 'eusgnc002l.pdf')","('eusmunc02l', 'maintain a safe and secure working environment in utilities network construction legacy', 'eusmunc02.pdf')"
Pair 385,"('eusgnc003l', 'establish and maintain effective working relationships in complex situations for gas network construction legacy', 'eusgnc003l.pdf')","('eusmunc03l', 'establish and maintain effective working relationships in utilities network construction legacy', 'eusmunc03.pdf')"
Pair 386,"('eusgnc012l', 'install engineering products or assets for complex operations in gas network construction legacy', 'eusgnc012l.pdf')","('eusmunc13l', 'install engineering products or assets for utility network construction legacy', 'eusmunc13.pdf')"
Pair 387,"('eus gnc015', 'determine technical requirements needed to achieve objectives in gas network construction operations', 'eusgnc015.pdf')","('eusgnc015l', 'determine technical requirements needed to achieve objectives in complex gas network construction legacy', 'eusgnc015l.pdf')"
Pair 388,"('eus gnc016', 'determine resource requirements needed to achieve objectives in gas network construction', 'eusgnc016.pdf')","('eusgnc016l', 'determine resource requirements needed to achieve objectives in complex gas network situations legacy', 'eusgnc016l.pdf')"
Pair 389,"('eusgnem26', 'provide technical information for the design of utility networks', 'eusgnem26.pdf')","('eusgnem26', 'provide technical information for the design of utility networks legacy', 'eusgnem26l.pdf')"
Pair 390,"('eusgno101', 'assist in locating and avoiding supply apparatus and sub-structures', 'eusgno101.pdf')","('eusnco101', 'assist in locating and avoiding supply apparatus and sub structures', 'eusnco101.pdf')"
Pair 391,"('eusgno103', 'assist in preparing for reinstatement of excavation and pavement surface', 'eusgno103.pdf')","('eusnco103', 'assist in preparing for re-instatement of excavation and pavement surfaces', 'eusnco103.pdf')"
Pair 392,"('eusgno309', 'prepare resources and segregate the area for highways works in diverse situations', 'eusgno309.pdf')","('eussm7', 'prepare resources and segregate the area for highways works', 'eussm7.pdf')"
Pair 393,"('eusgno310', 'prepare resources and segregate the area for site works in diverse situations', 'eusgno310.pdf')","('eussm8', 'prepare resources and segregate the area for site works', 'eussm8.pdf')"
Pair 394,"('euslpg14', 'install complex systems and components', 'euslpg14.pdf')","('euslpg4', 'install gas systems and components', 'euslpg4.pdf')"
Pair 395,"('euslpg15', 'service & maintain complex systems and components', 'euslpg15.pdf')","('euslpg6', 'service and maintain gas systems and components', 'euslpg6.pdf')"
Pair 396,"('euslpg21', 'decommission gas storage and supply systems', 'euslpg21.pdf')","('euslpg5b', 'decommission systems and components', 'euslpg5b.pdf')"
Pair 397,"('euslpg27', 'unit for commercial gas systems and appliances', 'euslpg27.pdf')","('euslpg28', 'unit for commercial catering systems and appliances', 'euslpg28.pdf')"
Pair 398,"('eusmunc26', 'install gas engineering products or assets above 355mm', 'eusmunc26.pdf')","('eusmunc27', 'install gas engineering products or assets above 180mm up to and including 355mm', 'eusmunc27.pdf')"
Pair 399,"('eusmund5', 'assess factors that impact on utility network designs', 'eusmund5.pdf')","('eusmund5', 'assess factors that impact on utility network designs', 'eusmund5l.pdf')"
Pair 400,"('eusmund6', 'assess design options for utility networks', 'eusmund6.pdf')","('eusmund6', 'assess design options for utility networks', 'eusmund6l.pdf')"
Pair 401,"('eusmund7', 'produce detailed drawings to support utility network activities', 'eusmund7.pdf')","('eusmund7', 'produce detailed drawings to support utility network activities', 'eusmund7l.pdf')"
Pair 402,"('eusmund8', 'use technical information to review utility network detailed drawings', 'eusmund8.pdf')","('eusmund8', 'use technical information to review utility network detailed drawings', 'eusmund8l.pdf')"
Pair 403,"('eusnco109', 'assist in preparing resources and segregating the area for highways works', 'eusnco109.pdf')","('eusnco110', 'assist in preparing resources and segregating the area for site works', 'eusnco110.pdf')"
Pair 404,"('eusra214', 'control the movement of recyclables and other materials', 'eusra214.pdf')","('eusra216', 'operate specialist plant and equipment for the processing of recyclables and other materials', 'eusra216.pdf')"
Pair 405,"('eusra28', 'control the handover of recyclables and other materials', 'eusra28.pdf')","('eusra29', 'control the reception of recyclables and other materials', 'eusra29.pdf')"
Pair 406,"('eusra341', 'conduct a health and safety risk assessment of a workplace', 'eusra341.pdf')","('sfjccbi2.1', 'conduct a health and safety risk assessment of a workplace', 'sfjccbi2.1.pdf')"
Pair 407,"('eussam10', 'installing communication systems in smart/advanced meters legacy', 'eussam10l.pdf')","('eussam11', 'supporting customers to use digital devices when installing smart meters legacy', 'eussam11l.pdf')"
Pair 408,"('eusucco7', 'contribute to developing and maintaining positive caller relationships in the utilities sector', 'eusucco7.pdf')","('sfjnhh4', 'contribute to developing and maintaining positive caller relationships', 'sfjnhh4.pdf')"
Pair 409,"('euswfrbe4a', 'inspect premises (non domestic) for compliance with water fittings regulations/byelaws', 'euswfrbe4a.pdf')","('euswfrbe4b', 'inspect premises (domestic) for compliance with water fittings regulations/byelaws', 'euswfrbe4b.pdf')"
Pair 410,"('euswm51l', 'monitor and maintain environmental conditions in your area of responsibility legacy', 'euswm51.pdf')","('propo16', 'conform to general workplace environmental requirements', 'propo16.pdf')"
Pair 411,"('euswm66l', 'manage the movement of loads legacy', 'euswm66.pdf')","('prowb5', 'manage the movement of loads', 'prowb5.pdf')"
Pair 412,"('euswo01l', 'maintain a healthy and safe working environment for waste management activities legacy', 'euswo01l.pdf')","('eusws02l', 'provide health and safety in the working environment for waste management activities legacy', 'eusws02.pdf')"
Pair 413,"('euswo30l', 'collect recyclable materials legacy', 'euswo30l.pdf')","('euswo48', 'collect recyclable waste', 'euswo48.pdf')"
Pair 414,"('euswo40', 'carry out your responsibilities at work', 'euswo40.pdf')","('sfjza10', 'carry out your responsibilities at work', 'sfjza10.pdf')"
Pair 415,"('euswt09', 'work with other people legacy', 'euswt09l.pdf')","('euswt09', 'work with other people', 'work-with-other-people-euswt09.pdf')"
Pair 416,"('euswt10', 'minimise risks to life, property and the environment in electricity power utilities legacy', 'euswt10l.pdf')","('euswt10', 'minimise risks to life, property and the environment in electricity power utilities', 'minimise-risks-to-life--property-and-the-environment-in-electricity-power-utilities-euswt10.pdf')"
Pair 417,"('f1', 'manage and market yourself as a freelancer f1', 'f1 manage and market yourself as a freelancer.pdf')","('sksgs1', 'manage and market yourself as a freelancer in the creative industries', 'manage-and-market-yourself-as-a-freelancer-in-the-creative-industries-sksgs1.pdf')"
Pair 418,"('f2', 'facilitate and manage trainees f2', 'f2 facilitate and manage trainees.pdf')","('sksf2', '[facilitate and manage trainees]', 'sksf2.pdf')"
Pair 419,"('impfp101', 'fillet fish by hand ', 'fillet-fish-by-hand--impfp101.pdf')","('impfp102', 'process fish by machine', 'process-fish-by-machine-impfp102.pdf')"
Pair 420,"('fspamfpi01', 'provide an administrative service for mortgage or financial planning clients ', 'fspamfpi01.pdf')","('fspamfpi01', 'provide an administrative service for mortgage and/or financial planning clients legacy', 'fspamfpi01l.pdf')"
Pair 421,"('fspamfpi02', 'process instructions for straightforward mortgage or financial planning business', 'fspamfpi02.pdf')","('fspamfpi02', 'process instructions for straightforward mortgage and/or financial planning business legacy', 'fspamfpi02l.pdf')"
Pair 422,"('fspamfpi03', 'contribute to reports for mortgage or financial planning clients', 'fspamfpi03.pdf')","('fspamfpi03', 'contribute to reports for mortgage and/or financial planning clients legacy', 'fspamfpi03l.pdf')"
Pair 423,"('fspamfpi04', 'facilitate an administrative service for mortgage or financial planning clients', 'fspamfpi04.pdf')","('fspamfpi04', 'facilitate an administrative service for mortgage and/or financial planning clients legacy', 'fspamfpi04l.pdf')"
Pair 424,"('fspamfpi05', 'process instructions for complex mortgage or financial planning business', 'fspamfpi05.pdf')","('fspamfpi05', 'process instructions for complex mortgage and/or financial planning business legacy', 'fspamfpi05l.pdf')"
Pair 425,"('fspamfpi06', 'complete reports for mortgage or financial planning clients', 'fspamfpi06.pdf')","('fspamfpi06', 'complete reports for mortgage and/or financial planning clients legacy', 'fspamfpi06l.pdf')"
Pair 426,"('fspamfpi07', 'supervise mortgage or financial planning administrative systems and processes', 'fspamfpi07.pdf')","('fspamfpi07', 'supervise mortgage and/or financial planning administrative systems and processes legacy', 'fspamfpi07l.pdf')"
Pair 427,"('fspaml11', 'review, evaluate and identify improvements to the implementation of anti-money laundering and countering terrorist financing measures within your organisation', 'fspaml11.pdf')","('fspaml11', 'review, evaluate and identify improvements to the implementation of anti-money laundering and countering terrorist financing measures within your organisation ', 'review--evaluate-and-identify-improvements-to-the-implementation-of-anti-money-laundering-and-countering-fspaml11.pdf')"
Pair 428,"('fspaml12', 'plan and deliver anti-money laundering and countering terrorist financing training for your organisation', 'fspaml12.pdf')","('fspaml12', 'plan and deliver anti-money laundering and countering terrorist financing training for your organisation   ', 'plan-and-deliver-anti-money-laundering-and-countering-terrorist-financing-training-for-your-organisation-fspaml12.pdf')"
Pair 429,"('fspaml17', 'handle requests for financial information from relevant authorities', 'fspaml17.pdf')","('fspaml17', 'handle requests for financial information from relevant authorities ', 'handle-requests-for-financial-information-from-relevant-authorities--fspaml17.pdf')"
Pair 430,"('fspaml19', 'identify, investigate and resolve non-compliant activity within your organisation', 'fspaml19.pdf')","('fspaml19', 'identify, investigate and resolve non-compliant activity within your organisation   ', 'identify--investigate-and-resolve-non-compliant-activity-within-your-organisation----fspaml19.pdf')"
Pair 431,"('fspaml20', 'report suspicious financial activity to enforcement authorities', 'fspaml20.pdf')","('fspaml20', 'report suspicious financial activity to enforcement authorities    ', 'report-suspicious-financial-activity-to-enforcement-authorities-----fspaml20.pdf')"
Pair 432,"('fspaml3', 'gather and communicate information about anti-money laundering and countering terrorist financing requirements in your organisation', 'fspaml3.pdf')","('fspaml3', 'gather and communicate  information about anti-money laundering and countering terrorist financing requirements in your organisation ', 'gather-and-communicate--information-about-anti-money-laundering-and-countering-terrorist-financing-requirements-fspaml3.pdf')"
Pair 433,"('fspaml4', 'identify the implications of anti-money laundering and countering terrorist financing measures for the business conducted by your organisation', 'fspaml4.pdf')","('fspaml4', 'identify the implications of anti-money laundering and countering terrorist financing measures for the business conducted by your organisation ', 'identify-the-implications-of-anti-money-laundering-and-countering-terrorist-financing-measures-for-the-fspaml4.pdf')"
Pair 434,"('fspaml9', 'report progress in securing effective anti-money laundering and countering terrorist financing outcomes in your organisation', 'fspaml9.pdf')","('fspaml9', 'report progress in securing effective anti-money laundering and countering terrorist financing outcomes in your organisation  ', 'report-progress-in-securing-effective-anti-money-laundering-and-countering-terrorist-financing-outcomes-fspaml9.pdf')"
Pair 435,"('fspba01', 'set up bank accounts for customers', 'fspba01.pdf')","('fspba1', 'set up bank accounts for customers', 'fspsba01.pdf')"
Pair 436,"('fspba3', 'authorise financial transactions using telecommunications legacy', 'fspba03l.pdf')","('fspdc03', 'authorise financial transactions using telecommunications', 'fspdc03.pdf')"
Pair 437,"('fspba06', 'manage branch counter services', 'fspba06.pdf')","('fspba6', 'manage branch counter services legacy', 'fspba06l.pdf')"
Pair 438,"('fspba08', 'process the transfer of foreign currency', 'fspba08.pdf')","('fspba8', 'process the transfer of foreign currency legacy', 'fspba08l.pdf')"
Pair 439,"('fspbcrm01', 'manage your own performance, personal development and banking industry awareness', 'fspbcrm01.pdf')","('fspits01', 'manage your own performance, personal development and insurance industry awareness', 'fspits01.pdf')"
Pair 440,"('fspcp02', 'assess and use financial information to reconcile accounts', 'fspcp02.pdf')","('fspcp02', 'assess and use financial information to reconcile accounts legacy', 'fspcp02l.pdf')"
Pair 441,"('fspcp04', 'prepare and pursue statements of account for financial products and services', 'fspcp04.pdf')","('fspcp04', 'prepare and pursue statements of account for financial products and services legacy', 'fspcp04l.pdf')"
Pair 442,"('fspcp05', 'operate payment by instalments', 'fspcp05.pdf')","('fspcp05', 'operate payment by instalments legacy', 'fspcp05l.pdf')"
Pair 443,"('fspdc01', 'obtain and validate credit information to instigate debt collections', 'fspdc01.pdf')","('fspdc01', 'obtain and validate credit information to instigate debt collections legacy', 'fspdc01l.pdf')"
Pair 444,"('fspdc02', 'agree a way forward on repayments with debtors', 'fspdc02.pdf')","('fspdc02', 'agree a way forward on repayments with the debtor legacy', 'fspdc02l.pdf')"
Pair 445,"('fspdc05', 'handle telephone calls with debtors in an effective way', 'fspdc05.pdf')","('fspdc05', 'handle telephone calls with debtors in an effective way legacy', 'fspdc05l.pdf')"
Pair 446,"('fspdc06', 'monitor and safeguard debt repayment arrangements', 'fspdc06.pdf')","('fspdc06', 'monitor and safeguard debt repayment arrangements legacy', 'fspdc06l.pdf')"
Pair 447,"('fspdc07', 'administer the debt collections process', 'fspdc07.pdf')","('fspdc07', 'administer the debt collections process legacy', 'fspdc07l.pdf')"
Pair 448,"('fspdc08', 'oversee and maintain the effectiveness of the debt collections process', 'fspdc08.pdf')","('fspdc08', 'oversee and maintain the effectiveness of the debt collections process legacy', 'fspdc08l.pdf')"
Pair 449,"('fspfap04', 'research and evaluate appropriate financial solutions to inform recommendations', 'fspfap04.pdf')","('finpfafp04', 'research and select appropriate financial solutions to inform recommendations legacy', 'fsppfafp04l.pdf')"
Pair 450,"('fspfc01', 'appraise and authorise applications for personal financing and credit facilities', 'fspfc01.pdf')","('fspfc01', 'appraise and authorise applications for personal financing and credit facilities legacy', 'fspfc01l.pdf')"
Pair 451,"('fspfc02', 'progress personal property financing applications', 'fspfc02.pdf')","('fspfc02', 'progress personal property financing applications legacy', 'fspfc02l.pdf')"
Pair 452,"('fspfc03', 'charge and control securities for financing', 'fspfc03.pdf')","('fspfc03', 'charge and control securities for financing legacy', 'fspfc03l.pdf')"
Pair 453,"('fspfc04', 'appraise applications for business financing and credit facilities', 'fspfc04.pdf')","('fspfc04', 'appraise applications for business financing and credit facilities legacy', 'fspfc04l.pdf')"
Pair 454,"('fspfc06', 'monitor and review financing and credit facilities', 'fspfc06.pdf')","('fspfc06', 'monitor and review financing and credit facilities legacy', 'fspfc06l.pdf')"
Pair 455,"('fspfc07', 'manage the quality of decisions to offer financing and credit facilities', 'fspfc07.pdf')","('fspfc07', 'manage the quality of decisions to offer financing and credit facilities legacy', 'fspfc07l.pdf')"
Pair 456,"('fspfc08', 'investigate arrears and recover debts', 'fspfc08.pdf')","('fspfc08', 'investigate arrears and recover debts legacy', 'fspfc08l.pdf')"
Pair 457,"('fspfc09', 'process applications for financing and credit facilities', 'fspfc09.pdf')","('fspfc09', 'process applications for financing and credit facilities legacy', 'fspfc09l.pdf')"
Pair 458,"('fspfcc01', 'review and develop yourself to improve and maintain workplace competence in a financial services environment', 'fspfcc01.pdf')","('fspfcc01', 'develop yourself to improve and maintain workplace competence in a financial services environment legacy', 'fspfcc01l.pdf')"
Pair 459,"('fspfcc04', 'comply with regulations in your financial services environment', 'fspfcc04.pdf')","('fspfcc04', 'ensure you comply with regulations in your financial services environment legacy', 'fspfcc04l.pdf')"
Pair 460,"('fspfcs01', 'provide callers with specialised assistance in a financial services environment', 'fspfcs01.pdf')","('fspfcs01', 'provide callers with specialised assistance in a financial services environment legacy', 'fspfcs01l.pdf')"
Pair 461,"('fspfcs02', 'deal with customers by telephone in a financial services environment', 'fspfcs02.pdf')","('fspfcs02', 'deal with customers by telephone in a financial services environment legacy', 'fspfcs02l.pdf')"
Pair 462,"('fspfssp01', 'promote the organisation’s additional financial services products and services', 'fspfssp01.pdf')","('fspfssp01', 'promote the organisation’s additional financial services products and services legacy', 'fspfssp01l.pdf')"
Pair 463,"('fspgi04', 'deal with complex claims for uninsured losses', 'fspgi04.pdf')","('fspgi04', 'deal with complex claims for uninsured losses legacy', 'fspgi04l.pdf')"
Pair 464,"('fspgi05', 'process straightforward claims for uninsured losses', 'fspgi05.pdf')","('fspgi05', 'process straightforward claims for uninsured losses legacy', 'fspgi05l.pdf')"
Pair 465,"('fspgi07', 'carry out initial assessment and investigate complex insurance claims', 'fspgi07.pdf')","('fspgi07', 'carry out initial assessment and investigate complex insurance claims legacy', 'fspgi07l.pdf')"
Pair 466,"('fspgi10', 'evaluate insurance products and services', 'fspgi10.pdf')","('fspgi10', 'evaluate insurance products and services legacy', 'fspgi10l.pdf')"
Pair 467,"('fspgi13', 'process straightforward mid-term insurance amendments legacy', 'fspgi13l.pdf')","('finpfsgti13', 'process straightforward mid-term takaful contract amendments', 'fsppfsgti13.pdf')"
Pair 468,"('fspgi14', 'process complex new insurance business as an intermediary', 'fspgi14.pdf')","('fspgi14', 'process complex new insurance business as an intermediary legacy', 'fspgi14l.pdf')"
Pair 469,"('fspgi15', 'process complex insurance renewals as an intermediary', 'fspgi15.pdf')","('fspgi15', 'process complex insurance renewals as an intermediary legacy', 'fspgi15l.pdf')"
Pair 470,"('fspgi21', 'underwrite complex new risks', 'fspgi21.pdf')","('fspgi21', 'underwrite complex new risks legacy', 'fspgi21l.pdf')"
Pair 471,"('fspgi22', 'prepare insurance policy documentation for complex new business', 'fspgi22.pdf')","('fspgi22', 'prepare insurance policy documentation for complex new business legacy', 'fspgi22l.pdf')"
Pair 472,"('fspgi24', 'process complex insurance renewals legacy', 'fspgi24l.pdf')","('finpfsgtu24', 'process complex takaful contract renewals', 'fsppfsgtu24.pdf')"
Pair 473,"('fspgi25', 'review underwriting decisions to accept risks', 'fspgi25.pdf')","('fspgi25', 'review underwriting decisions to accept risks legacy', 'fspgi25l.pdf')"
Pair 474,"('fspifp01', 'communicate the practice and principles of islamic banking to customers and colleagues', 'fspifp01.pdf')","('fspifp01', 'communicate the practice and principles of islamic banking to customers and colleagues legacy', 'fspifp01l.pdf')"
Pair 475,"('fspio01', 'present investment market information to stakeholders ', 'fspio01.pdf')","('fspio01', 'prepare and present investment market information to stakeholders legacy', 'fspio01l.pdf')"
Pair 476,"('fspio02', 'establish and maintain investor details and records', 'fspio02.pdf')","('fspsi02', 'establish and maintain investor details and records legacy', 'fspio02l.pdf')"
Pair 477,"('fspio03', 'reconcile investment market transactions', 'fspio03.pdf')","('fspio03', 'reconcile investment market transactions legacy', 'fspio03l.pdf')"
Pair 478,"('fspio04', 'maintain the custody of assets on behalf of the investor', 'fspio04.pdf')","('fspio04', 'maintain the custody of assets on behalf of the investor legacy', 'fspio04l.pdf')"
Pair 479,"('fspio07', 'establish the price of assets and investments or units', 'fspio07.pdf')","('fspio07', 'establish the price of assets and investments/units legacy', 'fspio07l.pdf')"
Pair 480,"('fspio09', 'process trades (global settlement)', 'fspio09.pdf')","('fspio09', 'process trades (global settlement) legacy', 'fspio09l.pdf')"
Pair 481,"('fspio11', 'process corporate actions on behalf of investors', 'fspio11.pdf')","('fspio11', 'process corporate actions on behalf of investors legacy', 'fspio11l.pdf')"
Pair 482,"('fspio12', 'process payments relating to stakeholder investment transactions or accounts', 'fspio12.pdf')","('fspio12', 'process payments relating to stakeholder investment transactions or accounts legacy', 'fspio12l.pdf')"
Pair 483,"('fspio13', 'deal with complaints relating to financial services products or services', 'fspio13.pdf')","('fspio13', 'deal with complaints relating to financial services products and/or services legacy', 'fspio13l.pdf')"
Pair 484,"('fspio14', 'build effective relationships with clients in a financial services environment', 'fspio14.pdf')","('fspio14', 'build effective relationships with clients in a financial services environment legacy', 'fspio14l.pdf')"
Pair 485,"('fspism14', 'provide equity capital research and analysis support for portfolio management activities', 'fspism14.pdf')","('fspism17', 'provide cash and currencies research and analysis support for portfolio management activities', 'fspism17.pdf')"
Pair 486,"('fsplm01', 'provide documentation in support of contracts of insurance', 'fsplm01.pdf')","('fsplm07', 'underwrite amendments or renewals for existing insurance contracts', 'fsplm07.pdf')"
Pair 487,"('fsplm10', 'prepare market presentations and obtain insurance quotations', 'fsplm10.pdf')","('fsplm13', 'assess the needs of clients and prepare london market presentations', 'fsplm13.pdf')"
Pair 488,"('fsplpi04', 'authorise requests for payment against life pensions and investment contracts', 'fsplpi04.pdf')","('fsplpi04', 'authorise requests for payment against life pensions and investment contracts legacy', 'fsplpi04l.pdf')"
Pair 489,"('fsplpi05', 'authorise the underwriting of life, pensions and investment contracts', 'fsplpi05.pdf')","('fsplpi05', 'authorise the underwriting of life, pensions and investment contracts legacy', 'fsplpi05l.pdf')"
Pair 490,"('finpsa07', 'quote on defined benefit pension scheme retirement benefits legacy', 'fsppsa07l.pdf')","('finpsa09', 'quote on defined contribution pension scheme retirement benefits legacy', 'fsppsa09l.pdf')"
Pair 491,"('finpsa08', 'process defined benefit pension scheme retirement benefits legacy', 'fsppsa08l.pdf')","('finpsa010', 'process defined contribution pension scheme retirement benefits legacy', 'fsppsa10l.pdf')"
Pair 492,"('fsppsa10', 'process pension assets on divorce', 'fsppsa10.pdf')","('fsppsa10', 'process pension assets on divorce legacy', 'psa10 process pension assets on divorce.pdf')"
Pair 493,"('fsppsa13', 'maintain pension scheme records using updating processes', 'fsppsa13.pdf')","('fsppsa13', 'maintain pension scheme records using updating processes legacy', 'psa13 maintain pension scheme records using updating processes.pdf')"
