,14,4,6,11,5,9,8,15,10,12,7,13
120,,,,,,preparing marine material surfaces using hand and mechanical tools,welding pipe/tube using multiple manual arc welding processes,,,,diagnose faults in telecoms assets,carry out post-trial or post-test tasks relating to explosive substances and/or articles
121,,,,,,preparing marine coating materials for application,welding plate using multiple manual arc welding processes,,,,prepare the structure for photovoltaic/solar thermal panel installation - existing structure,determine the existence of a suitable trial or test procedure for explosive substances and/or articles
122,,,,,,applying marine coatings manually,welding materials by the manual mig/mag and other continuous wire processes,,,,fix solar thermal/photovoltaic panels onto a roof structure ,contribute to post-trial or post-test tasks relating to explosive substances and/or articles
123,,,,,,applying marine coatings using spray methods,welding materials by the manual gas welding process,,,,fix solar thermal/photovoltaic panels into a roof structure ,design a new trial procedure for explosive substances and/or articles
124,,,,,,preparing material surfaces by abrasive blasting,using hand methods to bend and form marine pipe,,,,fix solar thermal/photovoltaic panels onto a non-roof structure,design a new test procedure for explosive substances and/or articles
125,,,,,,preparing material surfaces by ultra high pressure (uhp) water jetting,using bending machines to form marine pipe,,,,solar thermal/photovoltaic panels post installation activities ,adapt an existing trial procedure for explosive substances and/or articles
126,,,,,,applying specialist finishes to marine components,joining ferrous marine pipework by mechanical means,,,,identify solar thermal/photovoltaic installation requirements,adapt an existing test procedure for explosive substances and/or articles
127,,,,,,applying protective metallic coatings by spraying,joining non-ferrous marine pipework,,,,produce specifications for solar thermal/photovoltaic installations,validate a trial or test procedure for explosive substances and/or articles
128,,,,,,applying deck screeds and other deck coverings,joining non-metallic marine pipework,,,,rig tracking  cars and trailers,plan the trial of explosive substances and/or articles
129,,,,,,inspecting marine coatings,assisting in the installation of marine pipework and components,,,,reinstating the work area on completion of activities,plan the test of explosive substances and/or articles
130,,,,,,repairing yacht and boat wooden components and assemblies,assisting in the testing of marine pipework systems,,,,installing aircraft mechanical fasteners into composite and/or metallic components,develop and update explosives standard operating procedure/s
131,,,,,,repairing yacht and boat composite components,producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process,,,,producing aircraft detail assemblies,solve explosives process problems
132,,,,,,finishing yacht and boat wooden furniture/outfitting units by applying surface finishes,carrying out manual torch brazing and soldering of marine pipework,,,,producing composite and/or metallic aircraft sub-assemblies,shut down the explosives process
133,,,,,,preparing yacht and boat surfaces for coating/finishing using hand and,marking off for the manufacture of marine steelwork components,,,,producing composite and/or metallic aircraft major assemblies,supervise the shutdown of explosives processing
134,,,,,,preparing coating materials for application on yachts and boats,cutting marine steelwork using handheld thermal cutting equipment,,,,installing aircraft mechanical controls,separate recoverable materials and waste produced by the explosive process
135,,,,,,applying surface coatings manually to yachts and boats,cutting and shaping marine steelwork using gas cutting machines,,,,modifying airframes,contribute to explosives standard operating procedure/s (sop)
136,,,,,,applying surface coatings to yachts and boats using spray methods,cutting marine steelwork using saws and abrasive discs,,,,modifying aircraft mechanical systems,contribute to the validation and optimization of new or modified explosives processes and equipment
137,,,,,,inspecting surface coatings on yachts and boats,cutting marine steelwork using shearing machines,,,,carrying out routine servicing of aircraft,resolve explosives operational problems
138,,,,,,applying fairing/filling compounds to yachts and boats,drilling and finishing holes in marine steelwork,,,,installing aircraft domestic equipment,prepare the explosives process area and equipment
139,,,,,,repairing hovercraft skirting assemblies,shaping marine steelwork using a power press,,,,installing aircraft lockers and storage units,move materials within the explosives process
140,,,,,,repairing rigid inflatable boat (rib) sponsons,shaping marine steelwork using power rolling machines,,,,installing aircraft interior panels and soft furnishings,prepare explosives process materials
141,,,,,,carrying out heat treatment of springs,tack welding fillet joints in marine steelwork,,,,installing aircraft seating and furniture,supervise the preparation of the explosives processing operation
142,,,,,,carrying out composite moulding activities,marking out for manufacture and assembly of marine wooden components,,,,producing aircraft composite assemblies,monitor and control explosives processing
143,,,,,,preparing sand for moulding and coremaking,shaping marine wooden components using hand tools,,,,vacuum forming aircraft components,supervise explosives processing
144,,,,,,making sand moulds and cores for casting,shaping marine wooden components using machines,,,,assembling aircraft transparencies,plan the maintenance programme for explosive substances and/or articles
145,,,,,,manually casting components,cutting and shaping marine soft furnishings,,,,producing aircraft engine compressor assemblies,assess the feasibility of an explosive substance or article repair
146,,,,,,fettling cast components,marking out marine sheet metalwork,,,,producing aircraft engine combustion assemblies,implement the complex repair of explosive substances and/or articles
147,,,,,,applying coatings or coverings to finish surfaces,cutting and shaping marine sheet metal using hand and machine tools,,,,producing aircraft engine turbine assemblies,implement the routine repair of explosive substances and/or articles
148,,,,,,applying surface treatments,bending and forming marine sheet metal using hand and machine tools,,,,producing aircraft engine gearbox assemblies,plan configuration activities for explosive substances and/or articles
149,,,,,,applying heat treatment to engineering materials,cutting and shaping materials using cnc laser profiling machines,,,,producing aircraft piston engine assemblies,manage configuration activities for explosive substances and/or articles
150,,,,,,producing composite mouldings using wet lay-up techniques,cutting and shaping using cnc plasma or gas cutting machines,,,,producing aircraft engine major assemblies,implement configuration activities for explosive substances and/or articles
151,,,,,,producing composite mouldings using pre-preg techniques,using resistance spot welding to join marine sheet metal materials,,,,dressing aircraft engines,audit the effectiveness of configuration activities for explosive substances and/or articles
152,,,,,,producing and preparing sand moulds and cores for casting,joining marine materials/structures using the manual metal arc (mma) welding process,,,,installing aircraft hydraulic systems,manage the maintenance programme for explosive substances and/or articles
153,,,,,,producing cast components by manual means,joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes,,,,installing aircraft pneumatic systems,manage the maintenance plan for explosive substances and/or articles
154,,,,,,"fettling, finishing and checking cast components",joining marine materials/structures using manual tig and plasma-arc welding processes,,,,installing aircraft de-icing systems,implement the inspection of explosive substances and/or articles
155,,,,,,finishing surfaces by applying coatings or coverings,joining marine materials/structures using the manual oxy/fuel gas welding process,,,,installing aircraft fuel systems,implement the adjustment of explosive substances and/or articles
156,,,,,,finishing surfaces by applying treatments,joining materials using manual torch brazing and soldering,,,,installing aircraft environmental systems,implement the complex removal of explosive substances and/or articles
157,,,,,,carrying out heat treatment of engineering materials,welding materials using mechanised arc welding equipment,,,,installing flying control surfaces and systems,implement the routine removal of explosive substances and/or articles
158,,,,,,,cutting and shaping wooden components for yachts and boats using machines,,,,installing aircraft armament systems,implement the complex assembly of explosive substances and/or articles
159,,,,,,,bending and forming marine pipe using hand methods,,,,installing aircraft assisted escape mechanisms,implement the routine assembly of explosive substances and/or articles
160,,,,,,,bending and forming marine pipe using bending machines,,,,installing aircraft main engines,identify the requirement and specification for explosive substances and/or articles
161,,,,,,,assembling ferrous marine pipework by mechanical means,,,,installing aircraft auxiliary engines,define the procurement strategy for explosive substances and/or articles
162,,,,,,,assembling non-ferrous marine pipework,,,,installing aircraft power transmission systems,contribute to the identification of the requirement and specification for explosive substances and/or articles
163,,,,,,,assembling non-metallic marine pipework,,,,testing installed aircraft engines,identify potential suppliers of explosive substances and/or articles
164,,,,,,,installing marine pipework and components,,,,testing aircraft power transmission systems,provide explosives-related technical input to assist in identifying potential suppliers and/or articles
165,,,,,,,preparing and testing marine pipework systems,,,,testing aircraft hydraulic systems,negotiate and award contracts for explosives substances and/or articles
166,,,,,,,producing socket and flange fillet welded joints in pipe using a manual welding process,,,,testing aircraft pneumatic systems,place orders for the supply of explosive substances and/or articles
167,,,,,,,joining marine pipework by manual torch brazing and soldering,,,,testing aircraft environmental systems,manage the contract for the supply of explosive substances and/or articles
168,,,,,,,surveying marine pipework systems,,,,testing aircraft de-icing systems,ensure compliance with contract terms for the supply of explosive substances and/or articles
169,,,,,,,marking off marine structural steelwork components,,,,testing aircraft fuel systems,move explosive substances and/or articles manually
170,,,,,,,cutting and shaping materials using portable thermal cutting equipment,,,,testing aircraft flying control surfaces and systems,manage the receipt of explosive substances and/or articles
171,,,,,,,cutting materials using hand and machine tools,,,,testing aircraft armament systems,manage the storage of explosive substances and/or articles
172,,,,,,,forming marine components using power rolling machines,,,,testing aircraft assisted escape systems,manage the despatch of explosive substances and/or articles
173,,,,,,,forming marine components using a power press,,,,installing aircraft cableforms/looms,manage stock levels and stock inventories of explosive substances and/or articles
174,,,,,,,loading and proving cnc fabrication machine tool programs,,,,installing aircraft instrument panels and meters,audit stock levels and stock inventories for explosive substances and/or articles
175,,,,,,,carrying out cnc fabrication machine tool programming,,,,installing aircraft visual display units and computer systems,carry out stock checks of explosive substances and/or articles
176,,,,,,,setting cnc fabrication machines for production operations,,,,installing aircraft engine control units,maintain stock control systems for explosive substances and/or articles
177,,,,,,,operating cnc fabrication machines,,,,installing aircraft power supplies,operate specialized plant and machinery to performance requirements for explosive substances and/or articles
178,,,,,,,bending and straightening material using the heat-line method,,,,installing aircraft communication systems,supervise the placing of explosive substances and/or articles into storage
179,,,,,,,tack welding marine plate using a manual/semi-automatic welding process,,,,installing aircraft flight guidance and control systems,put explosive substances and/or articles into storage
180,,,,,,,carrying out pattern development for marine applications,,,,installing aircraft navigational systems,supervise the receiving of explosive substances and/or articles into storage
181,,,,,,,marking out for the manufacture and assembly of marine wooden components,,,,installing aircraft radar systems,supervise the maintenance of storage conditions for explosive substances and/or articles
182,,,,,,,marking out for the installation of marine wooden assemblies,,,,installing aircraft countermeasure systems,maintain the quality of explosive substances and/or articles in storage
183,,,,,,,producing marine wooden components using hand tools,,,,installing aircraft electro-optical and infrared systems,select and prepare explosive substances and/or articles for despatch
184,,,,,,,producing marine wooden components using machines,,,,installing aircraft instrumentation systems,despatch explosive substances and/or articles
185,,,,,,,producing marine soft furnishings,,,,modifying aircraft electrical systems,"supervise the selection, preparation and despatch of explosive substances and/or articles"
186,,,,,,,marking out for fabrication and assembly of marine sheet metalwork,,,,modifying aircraft avionics systems,couple and uncouple the train
187,,,,,,,cutting sheet metal to shape using hand and machine tools,,,,testing aircraft cableforms/looms,plan and manage the safe and secure transportation by road of explosive substances and articles
188,,,,,,,forming marine sheet metal components using hand and machine tools,,,,testing aircraft visual display units and computer systems,plan and manage the safe and secure transportation by rail of explosive substances and articles
189,,,,,,,producing fillet welded joints using a manual/semi-automatic welding process,,,,testing aircraft engine control units,plan and manage the safe and secure transportation by sea of explosive substances and articles
190,,,,,,,joining marine sheet metal materials using resistance spot welding,,,,testing aircraft communication systems,plan and manage the safe and secure transportation by air of explosive substances and articles
191,,,,,,,welding marine materials and structures using the manual metal arc process,,,,testing aircraft flight guidance and control systems,define explosives facilities requirement
192,,,,,,,welding marine materials and structures using semi-automatic mig/mag and,,,,testing aircraft navigational systems,ensure explosives facilities are fit for purpose
193,,,,,,,welding marine materials and structures using manual tig and plasma arc welding processes,,,,testing aircraft radar systems,conduct safety checks on explosives facilities
194,,,,,,,welding marine materials and structures using the manual oxy/fuel gas,,,,testing aircraft countermeasure systems,develop and implement the explosives facility decommissioning plan
195,,,,,,,welding marine pipe/tube using multiple manual arc welding processes,,,,test aircraft electro-optical and infrared systems,conduct decommissioning tasks on explosives facility
196,,,,,,,welding marine plate and structures using multiple manual arc welding processes,,,,testing aircraft instrumentation systems,prepare materials for processing according to instructions
197,,,,,,,joining marine materials by manual torch brazing and soldering,,,,producing aircraft wiring layouts and routeings,prepare to start up a machine-based production process
198,,,,,,,preparing mechanised arc welding equipment for production,,,,"producing aircraft electrical sub-assemblies, cableforms and looms",start up and maintain a machine-based production process
199,,,,,,,welding materials with mechanised arc welding equipment,,,,modifying aircraft cableforms and looms,shutdown a machine-based production process
200,,,,,,,"preparing resistance spot, seam and projection welding machines for production",,,,carrying out maintenance of aircrew protective helmets and electrical headsets,select and prepare used products for processing
201,,,,,,,"welding materials using resistance spot, seam and projection welding machines",,,,carrying out maintenance of aircrew protective clothing,prepare to produce products by hand-based operations
202,,,,,,,preparing laser welding machines for production,,,,"carrying out maintenance of aircrew nuclear, biological and chemical (nbc) respirators and equipment",finish products
203,,,,,,,welding materials using laser welding machines,,,,carrying out maintenance of aircrew life preserver equipment,maintain stocks to specified levels
204,,,,,,,preparing electron beam welding machines for production,,,,carrying out maintenance of aircrew inertia reels and restraint harnesses,contribute to the improvement of routine working practices
205,,,,,,,welding materials using electron beam welding machines,,,,carrying out maintenance of aircraft multi-seat life rafts and emergency packs,configure and set processing systems to meet production requirements
206,,,,,,,preparing friction welding machines for production,,,,carrying out maintenance of aircrew oxygen masks,optimise standard operations which are under process control
207,,,,,,,welding materials using friction welding machines,,,,carrying out maintenance of aircrew personal survival packs (psp),evaluate and modify processing parameters to meet process operations
208,,,,,,,preparing brazing machines for production,,,,carrying out maintenance of aircrew quick-release fasteners (qrf),carry out complex manual operations
209,,,,,,,joining materials using brazing machines,,,,carrying out maintenance of ejection seat headbox parachute assemblies,evaluate and adjust manual operations
210,,,,,,,producing wooden furniture/outfitting components for yachts and boats using,,,,testing uninstalled aircraft assisted escape system (aaes) components,carry out complex sampling operations
211,,,,,,,producing wooden structural components for yachts and boats using machines,,,,testing installed aircraft armament systems,carry out testing operations
212,,,,,,,marking out for the manufacture and installation of marine outfitting components,,,,testing uninstalled aircraft armament system components,lead the work of teams and individuals to achieve their objective
213,,,,,,,producing marine outfitting components in wood based materials,,,,undertaking fault diagnosis on installed aircraft armament systems,plan polymer process activities
214,,,,,,,producing marine outfitting components in sheet metal,,,,undertaking fault diagnosis on uninstalled aircraft armament system components,"meet safety, health and environmental requirements in the workplace for the polymer industry"
215,,,,,,,producing patterns for hovercraft skirts,,,,modifying aircraft armament systems and components,contribute to the efficiency and effectiveness of work
216,,,,,,,producing patterns for rigid inflatable boat (rib) sponsons,,,,overhauling aircraft gun systems,establish and maintain effective working relationships in polymer processing and related operations
217,,,,,,,tack welding marine plate using a manual welding process,,,,overhauling aircraft assisted escape systems (aaes),rectify process problems
218,,,,,,,machining components using grinding machines,,,,overhauling aircraft armament release systems,contribute to a machine-based processing operation
219,,,,,,,producing components by manual machining,,,,removing aircraft armament system components,carry out a hand-based processing operation
220,,,,,,,marking out wood and composite materials,,,,removing aircraft assisted escape systems (aaes),finish production components
221,,,,,,,making components using hand tools and fitting techniques,,,,removing aircraft armament expendable stores,pack and store production components
222,,,,,,,carrying out pipe fitting activities,,,,installing aircraft armament system components,"accept, verify and store materials required for process operations"
223,,,,,,,using lathes for turning operations,,,,installing aircraft assisted escape systems (aaes),unit 1: prepare materials for processing according to instructions within polymer processing and related operations
224,,,,,,,using milling machines,,,,installing aircraft armament expendable stores,unit 10: supply materials required for process operations within polymer processing and related operations
225,,,,,,,using grinding machines,,,,carrying out fault diagnosis on aircraft avionics components or systems,unit 12: start up and maintain a machine-based production process within polymer processing and related operations
226,,,,,,,cutting and shaping platework components,,,,undertaking scheduled maintenance of aircraft avionics equipment/systems,unit 13: shutdown a machine-based production process within polymer processing and related operations
227,,,,,,,using oxy-fuel gas cutting equipment,,,,removing and replacing avionic indication and gauging components in aircraft systems,unit 15: prepare to produce products by hand-based operations within polymer processing and related operations
228,,,,,,,using manual metal arc welding equipment,,,,"removing and replacing components of aircraft electrical power control, distribution and protection systems",unit 16: produce products using hand-based operations within polymer processing and related operations
229,,,,,,,using manual tig welding equipment,,,,removing and replacing components of aircraft pitot static systems,unit 17: finish products within polymer processing and related operations
230,,,,,,,using semi-automatic mig or mag welding equipment,,,,removing and replacing components of aircraft armament systems,unit 18: inspect products within polymer processing and related operations
231,,,,,,,using manual oxy-fuel gas welding equipment,,,,removing and replacing components of aircraft communication systems,unit 19: prepare to configure processing equipment within polymer processing and related operations
232,,,,,,,using manual flame brazing and soldering equipment,,,,removing and replacing components of aircraft passive warning and optical/surveillance systems,unit 20: configure processing equipment within polymer processing and related operations
233,,,,,,,making components from wood-based materials,,,,removing and replacing components of aircraft radar systems,unit 22: carry out simple sampling operations within polymer processing and related operations
234,,,,,,,producing components using hand fitting techniques,,,,removing and replacing components of aircraft navigational and computing systems,unit 23: carry out simple testing operations within polymer processing and related operations
235,,,,,,,forming and assembling pipework systems,,,,removing and replacing components of aircraft internal and external lighting systems,unit 25: contribute to the improvement of routine working practices within polymer processing and related operations
236,,,,,,,carrying out aircraft detail fitting activities,,,,modifying aircraft avionic systems,unit 28: pick polymer stock and make up orders within polymer processing and related operations
237,,,,,,,preparing and using lathes for turning operations,,,,carrying out tests on avionic indication and gauging components of aircraft systems,unit 29: configure and set processing systems to meet production requirements within polymer processing and related operations
238,,,,,,,preparing and using milling machines,,,,"carrying out tests on aircraft electrical power control, distribution and protection systems",unit 31: evaluate and modify processing parameters to meet process operations within polymer processing and related operations
239,,,,,,,preparing and using grinding machines,,,,carrying out tests on aircraft pitot static systems,unit 32: carry out complex manual operations within polymer processing and related operations
240,,,,,,,preparing and proving cnc machine tool programs,,,,carrying out tests on aircraft communication systems,unit 34: carry out complex sampling operations within polymer processing and related operations
241,,,,,,,preparing and using cnc turning machines,,,,carrying out tests on aircraft passive warning and optical/surveillance systems,unit 35: carry out testing operations within polymer processing and related operations
242,,,,,,,preparing and using cnc milling machines,,,,carrying out tests on aircraft radar systems,unit 38: plan polymer process activities within polymer processing and related operations
243,,,,,,,preparing and using cnc machining centres,,,,carrying out tests on aircraft navigational and computing systems,unit 4: prepare for a processing operation within polymer processing and related operations
244,,,,,,,preparing and using industrial robots,,,,carrying out tests on aircraft flight guidance and control systems,unit 40: establish and maintain effective working relationships within polymer processing and related operations
245,,,,,,,producing platework components and assemblies,,,,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",unit 46: contribute to the continuous improvement of the business within polymer processing and related operations
246,,,,,,,cutting and shaping materials using thermal cutting equipment,,,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,unit 47: rectify process problems within polymer processing and related operations
247,,,,,,,preparing and proving cnc fabrication machine tool programs,,,,removing and replacing aircraft power plant and components,unit 5: contribute to a machine-based processing
248,,,,,,,preparing and using cnc fabrication machinery,,,,removing and replacing components of aircraft control systems,unit 6: carry out a hand-based processing
249,,,,,,,preparing and using manual metal arc welding equipment,,,,removing and replacing components of aircraft fuel and lubrication systems,unit 7: finish production components within
250,,,,,,,preparing and using manual tig or plasma-arc welding equipment,,,,removing and replacing components of aircraft hydraulic systems,unit 8: pack and store production components
251,,,,,,,"preparing and using semi-automatic mig, mag and flux cored arc welding equipment",,,,removing and replacing components of aircraft pneumatic and vacuum systems,"unit 9: accept, verify and store materials required"
252,,,,,,,preparing and using manual flame brazing and braze  welding equipment,,,,removing and replacing components of aircraft environmental systems,control delivery of utility network activities against operational plans and quality requirements
253,,,,,,,wiring and testing programmable controller based systems,,,,removing and replacing components of aircraft power transmission systems,install metal decking and edge trims
254,,,,,,,"using wood for pattern, modelmaking and other engineering applications",,,,"removing and replacing components of aircraft cabin systems, equipment and furnishings",install studs by stud welding
255,,,,,,,producing components by rapid prototyping techniques,,,,removing and replacing major assemblies of aircraft airframes,manage and oversee the quality of work
256,,,,,,,"general machining, fitting and assembly applications",,,,modifying aircraft propulsion equipment and systems,maintain and develop own technical and operational engineering expertise related to electricity network assets
257,,,,,,,trace the route of water pipes and locate surface fittings and street furniture,,,,carrying out tests on aircraft engines and systems,commission assets on the electricity network
258,,,,,,,,,,,carrying out tests on aircraft control systems,de-commission assets on the electricity network
259,,,,,,,,,,,carrying out tests on aircraft fuel and storage systems,configure electricity networks to asset owner's requirements
260,,,,,,,,,,,carrying out tests on aircraft hydraulic systems,determine the requirements for operations and maintenance of electricity network assets
261,,,,,,,,,,,carrying out tests on aircraft pneumatic and vacuum systems,schedule operations and maintenance activities on electricity network assets
262,,,,,,,,,,,carrying out tests on aircraft environmental systems,investigate incidents relating to electricity network assets
263,,,,,,,,,,,carrying out tests on aircraft power transmission systems,build and manage teams
264,,,,,,,,,,,carrying out checks and tests on replaced airframe major assemblies,manage finance for your area of responsibility
265,,,,,,,,,,,carrying out test bed runs on aircraft engines (uninstalled),obtain the resources to carry out work on electricity network assets
266,,,,,,,,,,,overhauling aircraft gas turbine engines by module replacement,implement work on electricity network assets
267,,,,,,,,,,,overhauling aircraft gas turbine engine compressor assemblies,evaluate operational processes used on electricity network assets
268,,,,,,,,,,,overhauling aircraft gas turbine engine combustion assemblies,solve electricity network engineering problems with engineering solutions
269,,,,,,,,,,,overhauling aircraft gas turbine engine turbine assemblies,specify methods and procedures to operate and maintain electricity network assets
270,,,,,,,,,,,overhauling aircraft gas turbine engine gearbox assemblies,establish and maintain effective working relationships on gas network construction sites 
271,,,,,,,,,,,overhauling aircraft piston engines,install engineering components and assets in gas network construction
272,,,,,,,,,,,"overhauling components of aircraft rotor heads, blades and power transmission equipment",conduct specified testing of gas network engineering components and assets in gas network construction
273,,,,,,,,,,,overhauling components of aircraft hydraulic equipment,conduct and commission specified connections to gas network assets
274,,,,,,,,,,,"overhauling components of aircraft pneumatic, vacuum and environmental equipment",determine technical requirements needed to achieve objectives in gas network construction operations
275,,,,,,,,,,,overhauling components of aircraft oxygen equipment,determine resource requirements needed to achieve objectives in gas network construction
276,,,,,,,,,,,overhauling components of aircraft fuel and lubrication equipment,plan engineering activities for gas network construction
277,,,,,,,,,,,overhauling major components of aircraft airframes,co-ordinate communications for operational activities on utility networks and assets
278,,,,,,,,,,,overhauling components of aircraft navigational and computing equipment,contribute to the handling of incidents and resources in the utilities sector
279,,,,,,,,,,,overhauling components of aircraft communication equipment,contribute to an effective and safe working environment in the utilities sector
280,,,,,,,,,,,overhauling components of aircraft radar equipment,monitor and respond to alarms on utility networks and assets
281,,,,,,,,,,,overhauling components of aircraft indication and gauging equipment,contribute to developing and maintaining positive caller relationships in the utilities sector
282,,,,,,,,,,,overhauling components of aircraft electrical equipment,solve problems for telephone callers in the utilities sector
283,,,,,,,,,,,overhauling components of aircraft pitot static equipment,manage commissioning and handover of plant and equipment in food manufacture
284,,,,,,,,,,,overhauling components of aircraft passive warning and optical/surveillance systems,plan utility network construction operations
285,,,,,,,,,,,overhauling components of aircraft flight guidance and control equipment,contribute to safe working practices in bus/coach engineering and maintenance
286,,,,,,,,,,,development testing aeronautical electronic equipment,achieve effective working relationships with colleagues in bus/coach engineering and maintenance
287,,,,,,,,,,,monitoring aeronautical engineering activities,use hand tools and equipment in bus/coach engineering and maintenance
288,,,,,,,,,,,carrying out maintenance of free fall parachute assemblies,carry out basic vehicle repairs in bus/coach engineering and maintenance
289,,,,,,,,,,,carrying out maintenance of static line parachute assemblies,carry out basic vehicle checks and servicing in bus/coach engineering and maintenance
290,,,,,,,,,,,carrying out maintenance of brake parachute assemblies,carry out bus/coach servicing
291,,,,,,,,,,,carrying out maintenance of night vision goggles,rectify mechanical faults in bus/coach systems and components
292,,,,,,,,,,,dismantling aircraft armament expendable stores,rectify electrical faults in bus/coach systems and components
293,,,,,,,,,,,assembling aircraft armament expendable stores,rectify body damage on bus/coach vehicle body components
294,,,,,,,,,,,dismantling aircraft gas turbine engines to module/unit level,identify bus/coach body damage and recommend suitable repair techniques
295,,,,,,,,,,,rebuilding aircraft gas turbine engine assemblies after overhaul,complete routine assembly of bus/coach body components
296,,,,,,,,,,,overhauling components of aircraft avionic equipment,provide roadside assistance for broken down buses/coaches
297,,,,,,,,,,,"installing, testing and modifying aircraft cableforms/looms in a mechanical structure",drive the bus/coach for testing and vehicle recovery
298,,,,,,,,,,,repairing and modifying aircraft mechanical assemblies and components,assess body damage to buses/coaches
299,,,,,,,,,,,installing aircraft composite mouldings,repair electrical faults in bus/coach systems and components
300,,,,,,,,,,,lifting and trestling/shoring aircraft for maintenance/repair operations,repair damage to bus/coach body components
301,,,,,,,,,,,levelling and weighing aircraft,set out and assemble bus/coach body components
302,,,,,,,,,,,"towing, marshalling and parking aircraft",recondition mechanical components in buses/coaches
303,,,,,,,,,,,carrying out flight servicing and routine maintenance of aircraft,repair mechanical/electrical faults in ancillary systems and components in buses/coaches
304,,,,,,,,,,,maintaining air conditioning systems on aircraft,carry out roadside recovery of buses/coaches
305,,,,,,,,,,,maintaining auto flight systems on aircraft,plan and organise work of self and others
306,,,,,,,,,,,maintaining communication systems on aircraft,support learners by coaching in the workplace
307,,,,,,,,,,,maintaining electrical power systems on aircraft,support learners by mentoring in the workplace
308,,,,,,,,,,,maintaining equipment and furnishings on aircraft,operate an it system in a bus/coach engineering and maintenance environment
309,,,,,,,,,,,maintaining fire protection systems on aircraft,"evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment"
310,,,,,,,,,,,maintaining flight control systems on aircraft,unit 3 – obtain and communicate information in the rail engineering industry
311,,,,,,,,,,,maintaining fuel systems on aircraft,maintain effective working relationships with colleagues in the rail engineering industry
312,,,,,,,,,,,maintaining hydraulic systems on aircraft,"maintain and develop your knowledge, understanding and skills in the rail engineering industry"
313,,,,,,,,,,,maintaining ice and rain protection systems on aircraft,plan for further professional development in the rail engineering industry
314,,,,,,,,,,,maintaining indicating and recording systems on aircraft,working in a rail engineering environment
315,,,,,,,,,,,maintaining landing gear on aircraft,support learners by mentoring in the rail engineering workplace
316,,,,,,,,,,,maintaining lighting systems on aircraft,support learners by coaching in the rail engineering workplace
317,,,,,,,,,,,maintaining navigation systems on aircraft,contribute to safe working practices in the rail engineering industry
318,,,,,,,,,,,maintaining oxygen systems on aircraft,carry out maintenance on electrification and plant equipment and components
319,,,,,,,,,,,maintaining pneumatic systems on aircraft,carry out maintenance on electrification and plant assets
320,,,,,,,,,,,maintaining vacuum systems on aircraft,establish the operational condition of electrification and plant assets
321,,,,,,,,,,,maintaining cabin systems on aircraft,assist in preventative and corrective maintenance of traction cabling systems
322,,,,,,,,,,,maintaining doors on aircraft,carry out preventative and corrective maintenance of traction cabling systems 
323,,,,,,,,,,,"maintaining fuselage, nacelles and pylons on aircraft",carry out installation of electrification and plant equipment and components
324,,,,,,,,,,,maintaining stabilisers on aircraft,carry out installation of electrification and plant assets
325,,,,,,,,,,,maintaining wings on aircraft,plan electrification and plant engineering activities
326,,,,,,,,,,,maintaining propeller/propulsor systems on aircraft,transfer responsibility of electrification and plant equipment and components
327,,,,,,,,,,,maintaining rotor systems on rotorcraft,assist in preparing resources for electrification and plant engineering activities
328,,,,,,,,,,,maintaining rotor drive systems on rotorcraft,allocate and monitor resources for electrification and plant engineering activities
329,,,,,,,,,,,maintaining rotor blade and tail pylon folding systems on rotorcraft,restore the contact systems to operational condition in the rail engineering industry 
330,,,,,,,,,,,maintaining flight control systems on rotorcraft,carry out technical assessment of electrification and plant
331,,,,,,,,,,,maintaining power plant on aircraft,manually switch the electrical supply to contact systems to meet defined requirements in the rail engineering industry
332,,,,,,,,,,,maintaining turbine engines on aircraft,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry
333,,,,,,,,,,,maintaining engine fuel and control systems on aircraft,establish information for signal engineering maintenance and/or fault finding
334,,,,,,,,,,,maintaining bleed air systems on aircraft,establish information for signal engineering installation
335,,,,,,,,,,,maintaining engine controls on aircraft,establish information for signal engineering testing
336,,,,,,,,,,,maintaining engine indicating systems on aircraft,plan signal maintenance testing activities
337,,,,,,,,,,,maintaining engine exhaust systems on aircraft,determine requirements for safe access to work locations for signal engineering
338,,,,,,,,,,,maintaining lubricating oil systems on aircraft,allocate and monitor resources for signal engineering activities
339,,,,,,,,,,,maintaining engine starting systems on aircraft,reinstate the work area after signal engineering activities
340,,,,,,,,,,,maintaining reciprocating engine turbo-supercharging systems on aircraft,assist in planned maintenance of signalling equipment
341,,,,,,,,,,,maintaining engine water injection systems on aircraft,carry out planned maintenance of signalling assets
342,,,,,,,,,,,maintaining radar systems on aircraft,adjust signalling components and equipment to meet operational requirements
343,,,,,,,,,,,identifying and interpreting the requirements for providing continuing airworthiness certification activities,assist in the removal of signalling equipment
344,,,,,,,,,,,"identifying, monitoring and resolving aircraft maintenance programme problems",carry out removal of components from signalling assets
345,,,,,,,,,,,preparing aircraft maintenance programmes,assist in the replacement of signalling equipment
346,,,,,,,,,,,monitoring continuing airworthiness compliance with regulatory requirements ,carry out replacement of components from signalling assets
347,,,,,,,,,,,"producing, maintaining and controlling continuing airworthiness documentation",assist with establishing compliance with specifications for signalling equipment
