,42,38,9,29,4,36,27,24,25,16,26,35,20,45,21,31,7,19,14,44,15,40,8,43,10,11,34,33,18,32,39,5,28,13,37,30
31,,,diagnosing faults on marine electrical and electronic equipment and circuits,,,,,,,joining rails using flash welding equipment,,unit 31: evaluate and modify processing parameters to meet process operations within polymer processing and related operations,repairing and refurbishing commercial and passenger carrying vehicles,"supervise the assessment, preparation and movement of permanent way materials, components and equipment",,,install domestic gas space heating appliances,applying yacht and boat paints/coating materials using spray methods,installing aircraft auxiliary engines,,constructing the floor of a leisure vehicle,carry out maintenance on electrification and plant assets,,,testing aircraft flight guidance and control systems,read and extract information from service drawings and specifications for food and drink operations,,,producing furniture and structural components for leisure vehicles,dispose of explosive substances and/or articles by non-complex deflagration procedures,producing technical details for aeronautical engineering activities,,,assembling aircraft electrical components,,
32,,,diagnosing faults on marine electrical equipment and circuits,,,,,,,welding materials by the manual tig and plasma arc welding process,,unit 32: carry out complex manual operations within polymer processing and related operations,restoring motorsport mechanical components to usable condition by repair,,,,maintain domestic gas space heating appliances,preparing yacht and boat material surfaces by abrasive blasting,installing aircraft power transmission systems,,constructing the walls and roof of a leisure vehicle,establish the operational condition of electrification and plant assets,,,testing aircraft navigational systems,understand how to read and extract information from service drawings and specifications for food and drink operations ,,,producing replacement components for maintenance activities,dispose of explosive substances and/or articles by complex detonation procedures,obtaining resources for aeronautical engineering activities,,,making modifications to aircraft cableforms and looms,,
33,,,diagnosing faults on marine mechanical equipment,,,,,,,determining welding and related technical requirements to achieve objectives,,unit 34: carry out complex sampling operations within polymer processing and related operations,producing motorsport composite mouldings using pre-preg laminating techniques,,,,electrical fault finding on domestic gas appliances,carrying out the application of fairing/filling compounds to yachts and boats,installing aircraft instrument panels and meters,,"assembling a leisure vehicle chassis, floor and running gear",assist in preventative and corrective maintenance of traction cabling systems,,,testing aircraft radar systems,maintain fresh water distribution systems and equipment used in food and drink operations,,,"producing mould, press tool or die components by manual machining",dispose of explosive substances and/or articles by non-complex detonation procedures,implementing aeronautical engineering activities,,,assembling aircraft composite components,,
34,,,diagnose faults in signalling equipment,,,,,,,planning welding production resources and activities,,unit 35: carry out testing operations within polymer processing and related operations,producing motorsport composite mouldings using wet lay-up techniques,,,,,applying yacht and boat paints/coatings manually,installing aircraft visual display units and computer systems,,"finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle",carry out preventative and corrective maintenance of traction cabling systems ,,,testing aircraft countermeasure systems,understand how to maintain fresh water distribution systems and equipment used in food and drink operations,,,carrying out cnc machine tool programming,dispose of explosive substances and/or articles by function as intended procedures,implementing quality assurance systems in an aeronautical engineering environment,,,assembling sub-assembly units to vehicles,,
35,,,diagnose faults in telecoms equipment,,,,,,,implementing welding production methods and procedures,,unit 4: prepare for a processing operation within polymer processing and related operations,producing motorsport composite mouldings using resin infusion laminating techniques,,,,,finishing marine wooden assemblies by applying surface treatments,installing aircraft engine control units,,installing the front and rear structural frames in a leisure vehicle,carry out installation of electrification and plant equipment and components,,,test aircraft electro-optical and infrared systems,maintain waste/foul water distribution systems and equipment used in food and drink operations,,,producing toolroom components using cnc turning machines,carry out post-disposal tasks for explosive substances and/or articles,carrying out project management of aeronautical engineering activities,,,assembling power plant units,,
36,,,carry out fault diagnosis on traction and rolling stock systems,,,,,,,monitoring welding activities in production,,unit 5: contribute to a machine-based processing,bonding motorsport composite mouldings,,,,,heat treating materials for marine fabrication activities,installing aircraft power supplies,,installing the side walls and associated equipment in a leisure vehicle,carry out installation of electrification and plant assets,,,testing aircraft instrumentation systems,understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations,,,producing toolroom components using cnc milling machines,determine the existence of a suitable disposal procedure for explosive substances and/or articles,determine the requirements for engineering activities,,,assembling the rear axle sub-assembly,,
37,,,carry out fault diagnosis on traction and rolling stock communication-electronic systems,,,,,,,inspecting welded components or structures for visual quality and dimensional accuracy,,unit 6: carry out a hand-based processing,trimming motorsport composite mouldings using hand tools,,,,,preparing marine material surfaces using hand and mechanical tools,installing aircraft communication systems,,installing furniture and structural units in leisure vehicles,plan electrification and plant engineering activities,,,carrying out maintenance of aircrew oxygen masks,maintain workplace environmental control systems used in food and drink operations,,,producing toolroom components using cnc grinding machines,contribute to post-disposal tasks for explosive substances and/or articles,specify methods and procedures to achieve engineering requirements,,,assembling the front suspension sub-assembly,,
38,,,,,,,,,,welding materials by the oxy/fuel gas welding process,,unit 7: finish production components within,identifying defects in motorsport composite mouldings,,,,,preparing marine coating materials for application,installing aircraft flight guidance and control systems,,installing domestic equipment in leisure vehicles,transfer responsibility of electrification and plant equipment and components,,,testing uninstalled aircraft assisted escape system (aaes) components,understand how to maintain workplace environmental control systems used in food and drink operations,,,producing toolroom components using cnc laser profiling machines,adapt an existing disposal procedure for explosive substances and/or articles,schedule engineering activities ,,,assembling braking systems to vehicles,,
39,,,,,,,,,,welding pipe/tube using multiple manual arc welding processes,,unit 8: pack and store production components,producing leisure vehicle composite mouldings using wet lay-up techniques,,,,,applying marine coatings manually,installing aircraft navigational systems,,connecting and testing electrical systems and equipment in leisure vehicles,restore the contact systems to operational condition in the rail engineering industry ,,,testing installed aircraft armament systems,maintain emergency power generation equipment used in food and drink operations,,,producing toolroom components using cnc electro-discharge machines,design a new disposal procedure for explosive substances and/or articles,obtaining resources for the implementation of engineering activities,,,assembling vehicle body sub-assemblies,,
40,,,,,,,,,,welding plate using multiple manual arc welding processes,,"unit 9: accept, verify and store materials required",producing leisure vehicle composite mouldings using resin infusion laminating techniques,,,,,applying marine coatings using spray methods,installing aircraft countermeasure systems,,connecting and testing liquid petroleum gas systems and equipment in leisure vehicles,carry out technical assessment of electrification and plant,,,testing uninstalled aircraft armament system components,understand how to maintain emergency power generation equipment used in food and drink operations ,,,producing toolroom components using cnc machining centres,plan the disposal of explosive substances and/or articles (complex),implement engineering processes,,,assembling body sub-assemblies to produce a vehicle,,
41,,,,,,,,,,welding materials by the manual mig/mag and other continuous wire processes,,"receive, store and handle processing chemicals, reagents and other consumables",trimming leisure vehicle composite mouldings using hand tools,,,,,preparing material surfaces by abrasive blasting,installing aircraft electro-optical and infrared systems,,connecting and testing water pipework and equipment in leisure vehicles,manually switch the electrical supply to contact systems to meet defined requirements in the rail engineering industry,,,removing aircraft armament system components,maintain heating and ventilation systems used in food and drink operations,,,producing jig and fixture components using hand fitting techniques,plan the disposal of explosive substances and/or articles (non-complex),implement quality assurance methods and procedures,,,assembling and fitting wiring looms to vehicles,,
42,,,,,,,,,,welding materials by the manual gas welding process,,receive and store sludge for processing,identifying defects in leisure vehicle composite mouldings,,,,,preparing material surfaces by ultra high pressure (uhp) water jetting,installing aircraft instrumentation systems,,installing the front and back panel in a leisure vehicle,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,,,removing aircraft assisted escape systems (aaes),understand how to maintain heating and ventilation systems used in food and drink operations,,,machining components for jigs and fixtures,manage tasks for the disposal of explosive substances and/or articles,"commission engineering products, processes or facilities",,,assembling electrical and electronic equipment to vehicles,,
43,,,,,,,,,,producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process,,take samples and measurements for quality assurance purposes,repairing leisure vehicle composite mouldings,,,,,applying specialist finishes to marine components,installing aircraft composite mouldings,,"completing the construction of a leisure vehicle by installing windows, doors and body graphics",establish information for signal engineering maintenance and/or fault finding,,,removing aircraft armament expendable stores,maintain air conditioning and ventilation systems used in food and drink operations,,,fabricating structural components for jigs and fixtures,carry out pre-disposal tasks for explosive substances and/or articles,undertaking project management activities ,,,trimming of body components for vehicles,,
44,,,,,,,,,,carrying out manual torch brazing and soldering of marine pipework,,,using wet lay-up laminating techniques to produce composite mouldings,,,,,applying protective metallic coatings by spraying,maintaining propeller/propulsor systems on aircraft,,finishing a leisure vehicle by installing soft furnishings and trim,establish information for signal engineering installation,,,installing aircraft armament system components,understand how to maintain air conditioning and ventilation systems used in food and drink operations  ,,,setting a range of machines to produce toolroom components,contribute to pre-disposal tasks for explosive substances and/or articles,leading installation or commissioning activities,,,machining and hand sewing of vehicle trim components,,
45,,,,,,,,,,tack welding fillet joints in marine steelwork,,,using spray lay-up laminating techniques to produce composite mouldings,,,,,applying deck screeds and other deck coverings,installing the inner and outer roof on a leisure vehicle,,final inspection and testing of leisure vehicles,establish information for signal engineering testing,,,installing aircraft assisted escape systems (aaes),maintain gas distribution systems and equipment used in food and drink operations,,,machining toolroom components using a range of machines,plan munition clearance and search operations and programmes,planning engineering activities,,,assembling trim components to vehicles,,
46,,,,,,,,,,using resistance spot welding to join marine sheet metal materials,,,using resin flow infusion techniques to produce composite mouldings,,,,,inspecting marine coatings,carrying out the installation of composite mouldings,,preparing lpg pipework and appliances for installation into leisure vehicles,plan signal maintenance testing activities,,,installing aircraft armament expendable stores,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,,setting centre lathes to produce toolroom components,assist in searching for specified targets,producing technical information for engineering activities,,,producing and assembling substrates for vehicle components,,
47,,,,,,,,,,joining marine materials/structures using the manual metal arc (mma) welding process,,,using resin film infusion techniques to produce composite mouldings,,,,,finishing yacht and boat wooden furniture/outfitting units by applying surface finishes,assisting in the installation of marine electrical and electronic equipment,,preparing electrical equipment for installation into leisure vehicles,determine requirements for safe access to work locations for signal engineering,,,undertaking scheduled maintenance of aircraft avionics equipment/systems,understand how to maintain compressed air systems and equipment used in food and drink operations,,,machining toolroom components using centre lathes,contribute to removing the threat of munitions,implementing quality control systems and procedures in an engineering environment,,,veneering and finishing vehicle components,,
48,,,,,,,,,,joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes,,,using pre-preg laminating techniques to produce composite mouldings,,,,,preparing yacht and boat surfaces for coating/finishing using hand and,disconnecting and removing marine electrical and electronic equipment,,preparing water and waste pipework and equipment for installation into leisure vehicles,reinstate the work area after signal engineering activities,,,removing and replacing avionic indication and gauging components in aircraft systems,maintain instrumentation and control systems used in food and drink operations,,,setting milling machines to produce toolroom components,move and transport munitions,carrying out project management of engineering activities,,,assembling composite vehicle components,,
49,,,,,,,,,,joining marine materials/structures using manual tig and plasma-arc welding processes,,,using resin transfer moulding techniques to produce composite mouldings,,,,,preparing coating materials for application on yachts and boats,assisting in the installation of marine mechanical equipment,,setting up and testing prototype vehicle data acquisition systems,assist in planned maintenance of signalling equipment,,,"removing and replacing components of aircraft electrical power control, distribution and protection systems",understand how to maintain instrumentation and control systems used in food and drink operations,,,machining toolroom components using milling machines,contribute to the movement or transportation of munitions,checking marine fabrications for quality and dimensional accuracy,,,assembling and disassembling mechanical equipment on experimental vehicles,,
50,,,,,,,,,,joining marine materials/structures using the manual oxy/fuel gas welding process,,,using hot press moulding techniques to produce composite mouldings,,,,,applying surface coatings manually to yachts and boats,disconnecting and removing marine mechanical equipment,,inspecting manufactured vehicles,carry out planned maintenance of signalling assets,,,removing and replacing components of aircraft pitot static systems,maintain industrial refrigeration equipment used in food and drink operations,,,setting electro-discharge machines to produce toolroom components,enable areas cleared of munitions or specified targets to be remediated,producing engineering project plans,,,assembling and disassembling electrical and electronic equipment on experimental vehicles,,
51,,,,,,,,,,joining materials using manual torch brazing and soldering,,,using filament winding techniques to produce composite mouldings,,,,,applying surface coatings to yachts and boats using spray methods,fitting marine interior panels and soft furnishings,,diagnosing and rectifying faults on motorsport vehicle systems (during competition),adjust signalling components and equipment to meet operational requirements,,,removing and replacing components of aircraft armament systems,understand how to maintain industrial refrigeration equipment used in food and drink operations,,,machining toolroom components using electro-discharge machines,complete munitions or specified targets search reports,assist in preparing resources for permanent way activities,,,assembling structures for experimental vehicle engineering using mechanical fasteners,,
52,,,,,,,,,,welding materials using mechanised arc welding equipment,,,using pultrusion techniques to produce composite mouldings,,,,,inspecting surface coatings on yachts and boats,fitting marine seating and furniture,,carrying out maintenance activities on motorsport vehicle electrical equipment,assist in the removal of signalling equipment,,,removing and replacing components of aircraft communication systems,carry out preventative planned maintenance on services systems and equipment used in food and drink operations,,,setting grinding machines to produce toolroom components,assist with the movement and transportation of munitions,allocate and monitor resources for permanent way engineering activities,,,producing commercial and passenger carrying vehicle body sub-assemblies,,
53,,,,,,,,,,producing socket and flange fillet welded joints in pipe using a manual welding process,,,using atl/afp laminating techniques to produce composite mouldings,,,,,applying fairing/filling compounds to yachts and boats,"fitting marine composite components to the vessel, craft or structure",,preparing and manoeuvring armoured fighting vehicles (afvs) for maintenance and transportation  ,carry out removal of components from signalling assets,,,removing and replacing components of aircraft passive warning and optical/surveillance systems,understand how to carry out preventative planned maintenance on services systems and equipment used in food and drink operations,,,machining toolroom components using grinding machines,use and maintain search or munition clearance equipment,allocate and monitor resources for signal engineering activities,,,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle,,
54,,,,,,,,,,joining marine pipework by manual torch brazing and soldering,,,curing and consolidating composite mouldings,,,,,carrying out heat treatment of springs,assisting in the installation of marine sheet metal components/assemblies,,,assist in the replacement of signalling equipment,,,removing and replacing components of aircraft radar systems,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,,,cutting and shaping materials using nc/cnc laser profiling machines,"assist with the preparation, maintenance and use of search or munition clearance equipment",allocate and monitor resources for telecoms engineering activities,,,fitting ancillary units to commercial and passenger carrying vehicles,,
55,,,,,,,,,,tack welding marine plate using a manual/semi-automatic welding process,,,using hand tools to trim composite mouldings,,,,,applying coatings or coverings to finish surfaces,assisting in the installation of electrical/electronic equipment in yachts and boats,,,carry out replacement of components from signalling assets,,,removing and replacing components of aircraft navigational and computing systems,understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ,,,marking out components for fabrication,plan specified targets search operations,"support commissioning of plant, equipment and process in food manufacture",,,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,,
56,,,,,,,,,,producing fillet welded joints using a manual/semi-automatic welding process,,,carrying out bonding activities on composite mouldings,,,,,applying surface treatments,assisting in the installation of ancillary equipment in yachts and boats,,,assist with establishing compliance with specifications for signalling equipment,,,removing and replacing components of aircraft internal and external lighting systems,repair/overhaul instrumentation and control equipment used in food and drink operations,,,cutting plate and sections using shearing machines,manage munition clearance and search operations and programmes,,,,fitting electrical and electronic components to commercial and passenger carrying vehicles,,
57,,,,,,,,,,joining marine sheet metal materials using resistance spot welding,,,carrying out repairs on composite mouldings,,,,,applying heat treatment to engineering materials,assisting in the installation of domestic equipment in yachts and boats,,,establish compliance with specifications for signalling assets,,,carrying out tests on avionic indication and gauging components of aircraft systems,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,,,cutting materials using hand operated thermal cutting equipment,evacuate casualties,,,,modifying commercial and passenger carrying vehicles,,
58,,,,,,,,,,welding marine materials and structures using the manual metal arc process,,,checking for defects in composite mouldings,,,,,finishing surfaces by applying coatings or coverings,cutting and shaping wooden components for yachts and boats using hand tools,,,conduct functional testing of newly installed signalling systems,,,"carrying out tests on aircraft electrical power control, distribution and protection systems",test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,cutting and shaping materials using gas cutting machines,manage specified targets search operations,,,,producing motorsport composite assemblies,,
59,,,,,,,,,,welding marine materials and structures using semi-automatic mig/mag and,,,identifying defects in composite mouldings,,,,,finishing surfaces by applying treatments,assisting in the installation of wooden furniture/outfitting units for yachts and boats,,,conduct maintenance testing of signalling assets,,,carrying out tests on aircraft pitot static systems,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,cutting materials using saws and abrasive discs,evaluate and improve the effectiveness of munition clearance and search operations and programmes,,,,installing cableforms and looms in motorsport vehicles,,
60,,,,,,,,,,welding marine materials and structures using manual tig and plasma arc welding processes,,,carrying out repairs or modifications to jigs or fixtures,,,,,carrying out heat treatment of engineering materials,assisting in the assembly of wooden structural components to produce yachts and boats,,,conduct specific testing of signalling electronic equipment,,,carrying out tests on aircraft communication systems,handle refrigerants,,,bending and forming plate using power operated machines,organise and supervise the delivery of specified targets search plans,,,,testing motorsport vehicle cableforms and looms,,
61,,,,,,,,,,welding marine materials and structures using the manual oxy/fuel gas,,,bonding engineering materials using adhesives,,,,,,"fitting seating, interior panels, soft furnishing and trim in yachts and boats",,,transfer responsibility of signalling assets,,,carrying out tests on aircraft passive warning and optical/surveillance systems,service and repair land-based air-conditioning/refrigeration systems,,,forming platework using power rolling machines,provide advice on munition clearance and search related matters,,,,constructing and assembling cableforms and wiring looms for motorsport vehicles,,
62,,,,,,,,,,welding marine pipe/tube using multiple manual arc welding processes,,,bonding engineering materials using adhesives,,,,,,assisting in the disconnection and removal of yacht and boat electrical/electronic equipment,,,contribute to technical leadership of signal engineering activities,,,carrying out tests on aircraft radar systems,carry out the handover and installation of land-based equipment,,,producing platework assemblies,define the boundaries of the area to be searched for munitions,,,,building engines for motorsport vehicles,,
63,,,,,,,,,,welding marine plate and structures using multiple manual arc welding processes,,,repairing marine mechanical components,,,,,,assisting in the disconnection and removal of yacht and boat mechanical and ancillary equipment,,,organise local signal engineering activities,,,carrying out tests on aircraft navigational and computing systems,apply core land-based engineering principles: servicing and maintenance,,,producing holes using drilling machines,provide advice on specified targets search matters,,,,dressing engines for motorsport vehicles,,
64,,,,,,,,,,joining marine materials by manual torch brazing and soldering,,,using wet lay-up techniques to produce marine composite components,,,,,,carrying out routine servicing of yacht and boat mechanical and ancillary equipment,,,establish information for telecoms engineering maintenance and/or fault finding,,,carrying out tests on aircraft flight guidance and control systems,maintain plant and equipment in food and drink operations,,,forming structural sections using machines,identify and record the location and disposition of potential munitions within boundaries,,,,assembling furniture and structural units for leisure vehicles,,
65,,,,,,,,,,preparing mechanised arc welding equipment for production,,,using pre-preg laminating techniques to produce marine composite components,,,,,,carrying out routine servicing of yacht and boat electrical/electronic equipment,,,establish information for telecoms engineering installation,,,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,monitor and maintain the quality of treatment process outputs,,,producing structural steel ancillary components,identify and describe the area to be searched,,,,building prototype engines for test,,
66,,,,,,,,,,welding materials with mechanised arc welding equipment,,,forming marine components by acrylic moulding,,,,,,assisting in the installation of wooden furniture/outfitting units in yachts and boats,,,establish information for telecoms engineering testing,,,removing and replacing aircraft power plant and components,monitor and maintain treatment processing plant and equipment at optimum performance,,,forming pipework by machine bending,contribute to locating the disposition of potential munitions,,,,dressing prototype engines for test,,
67,,,,,,,,,,"preparing resistance spot, seam and projection welding machines for production",,,carrying out trimming operations on marine composite mouldings,,,,,,installing marine power generation and distribution equipment and systems,,,plan telecoms maintenance testing activities,,,removing and replacing components of aircraft control systems,organise maintenance of treatment processing plant and equipment ,,,cutting and shaping materials using cnc water jet cutting machines,contribute to identifying and describing the area to be searched,,,,carrying out composite assembly operations,,
68,,,,,,,,,,"welding materials using resistance spot, seam and projection welding machines",,,carrying out bonding operations on marine composite components,,,,,,installing marine communication equipment and systems,,,determine requirements for the safe access to work locations for telecoms engineering,,,removing and replacing components of aircraft fuel and lubrication systems,carry out scheduled mechanical maintenance on buses/coaches,,,marking out components for metalwork,confirm the presence of munition(s),,,,assembling and checking printed and allied electronic circuits,,
69,,,,,,,,,,preparing laser welding machines for production,,,carrying out repairs to marine composite mouldings,,,,,,installing marine navigational equipment and systems,,,reinstate the work area after telecoms engineering activities,,,removing and replacing components of aircraft hydraulic systems,carry out scheduled electrical maintenance on buses/coaches,,,forming sheetmetal using hand and machine tools,contribute to locating and gaining access to specified targets,,,,assembling and wiring electronic equipment and systems,,
70,,,,,,,,,,welding materials using laser welding machines,,,checking marine composite components/mouldings for defects,,,,,,installing marine sensor equipment and systems,,,assist in planned maintenance of telecoms equipment,,,removing and replacing components of aircraft pneumatic and vacuum systems,carry out scheduled body maintenance on buses / coaches,,,developing and marking out templates for metalwork,work effectively in a team involved in activities for explosive substances and/or articles,,,,assembling large transformer and inductor cores,,
71,,,,,,,,,,preparing electron beam welding machines for production,,,joining marine materials and components using adhesives,,,,,,installing marine computer equipment and systems,,,carry out planned maintenance of telecoms assets,,,removing and replacing components of aircraft environmental systems,carrying out maintenance of aircrew protective helmets and electrical headsets,,,cutting plate and sections using shearing machines,make presentations on explosives matters,,,,winding transformer and inductor coils,,
72,,,,,,,,,,welding materials using electron beam welding machines,,,carrying out repairs to yacht and boat wooden components and assemblies,,,,,,installing marine electrical rotating machines and domestic equipment,,,adjust telecoms components and equipment to meet operational requirements,,,removing and replacing components of aircraft power transmission systems,carrying out maintenance of aircrew protective clothing,,,cutting materials using saws and abrasive discs,hand over explosive substances and/or articles,,,,assembling transformers and inductors,,
73,,,,,,,,,,preparing friction welding machines for production,,,carrying out repairs to yacht and boat composite components,,,,,,dismantling and removing marine electrical equipment,,,assist in the removal of telecoms equipment,,,"removing and replacing components of aircraft cabin systems, equipment and furnishings","carrying out maintenance of aircrew nuclear, biological and chemical (nbc) respirators and equipment",,,bending and forming plate using press brakes or bending machines,pack or re-pack explosive substances and/or articles,,,,fitting small transformer and inductor cores,,
74,,,,,,,,,,welding materials using friction welding machines,,,producing marine composite components using wet lay-up techniques,,,,,,installing marine power transmission systems and equipment,,,carry out removal of components from telecoms assets,,,removing and replacing major assemblies of aircraft airframes,carrying out maintenance of aircrew life preserver equipment,,,forming platework using power rolling machines,unpack explosive substances and/or articles,,,,assembling rotor and armature windings,,
75,,,,,,,,,,preparing brazing machines for production,,,producing marine composite components using pre-preg laminating techniques,,,,,,installing marine fuel systems and equipment,,,assist in the replacement of telecoms equipment,,,carrying out tests on aircraft engines and systems,carrying out maintenance of aircrew inertia reels and restraint harnesses,,,producing and finishing holes using drilling machines,manage equipment in an explosives environment,,,,assembling stator windings,,
76,,,,,,,,,,joining materials using brazing machines,,,producing marine components by acrylic moulding,,,,,,installing marine hydraulic systems and equipment,,,carry out replacement of components from telecoms assets,,,carrying out tests on aircraft control systems,carrying out maintenance of aircraft multi-seat life rafts and emergency packs,,,producing platework assemblies,prepare and care for equipment in an explosives environment,,,,assembling and fitting commutators,,
77,,,,,,,,,,tack welding marine plate using a manual welding process,,,trimming marine composite mouldings,,,,,,installing marine pneumatic systems and equipment,,,assist with tests and checks of telecoms equipment,,,carrying out tests on aircraft fuel and storage systems,carrying out maintenance of aircrew personal survival packs (psp),,,forming structural sections using machines,manage explosives safety,,,,balancing assembled rotors or armatures,,
78,,,,,,,,,,using manual metal arc welding equipment,,,bonding marine composite components,,,,,,installing marine mechanical control systems and equipment,,,establish compliance with specifications for maintained telecoms assets,,,carrying out tests on aircraft hydraulic systems,carrying out maintenance of aircrew quick-release fasteners (qrf),,,producing structural steel ancillary components,certify as free from explosives hazards,,,,assembling and fitting electrical rotating equipment,,
79,,,,,,,,,,using manual tig welding equipment,,,repairing marine composite components and assemblies,,,,,,"installing marine steering gear, control systems and equipment",,,establish compliance with specifications for newly installed telecoms assets,,,carrying out tests on aircraft pneumatic and vacuum systems,carrying out maintenance of ejection seat headbox parachute assemblies,,,forming pipework by machine bending,provide technical or safety advice and/or guidance to others on explosives,,,,mounting electrical components in enclosures,,
80,,,,,,,,,,using semi-automatic mig or mag welding equipment,,,identifying defects in marine composite components and assemblies,,,,,,installing marine lifting equipment,,,conduct specified testing of telecoms systems,,,carrying out tests on aircraft environmental systems,overhauling aircraft gun systems,,,operating cnc fabrication equipment,formulate national policy for explosive substances and articles,,,,wiring electrical components and equipment in enclosures,,
81,,,,,,,,,,using manual oxy-fuel gas welding equipment,,,bonding marine materials and components using adhesives,,,,,,installing marine ancillary plant and equipment,,,transfer responsibility of telecoms assets,,,carrying out tests on aircraft power transmission systems,overhauling aircraft assisted escape systems (aaes),,,using hand methods to bend and form marine pipe,develop the organizational safety policy and/or strategy for explosives,,,,selecting and preparing materials and components for electrical assembly,,
82,,,,,,,,,,using manual flame brazing and soldering equipment,,,repairing yacht and boat wooden components and assemblies,,,,,,installing marine fire main systems and equipment,,,contribute to technical leadership of telecoms engineering activities,,,carrying out checks and tests on replaced airframe major assemblies,overhauling aircraft armament release systems,,,using bending machines to form marine pipe,implement the organizational safety policy and/or strategy for explosives,,,,modifying or rewiring electrical circuits,,
83,,,,,,,,,,preparing and using manual metal arc welding equipment,,,repairing yacht and boat composite components,,,,,,overhauling marine power transmission systems,,,organise local telecoms engineering activities,,,carrying out test bed runs on aircraft engines (uninstalled),monitoring aeronautical engineering activities,,,joining ferrous marine pipework by mechanical means,analyse and identify aggregated hazards and risks for explosives,,,,assembling press tools,,
84,,,,,,,,,,preparing and using manual tig or plasma-arc welding equipment,,,repairing hovercraft skirting assemblies,,,,,,installing marine wooden components,,,identify and deal with defects and discrepancies in traction and rolling stock,,,overhauling aircraft gas turbine engines by module replacement,carrying out maintenance of free fall parachute assemblies,,,joining non-ferrous marine pipework,assess the suitability of explosives facilities,,,,assembling injection mould tools,,
85,,,,,,,,,,"preparing and using semi-automatic mig, mag and flux cored arc welding equipment",,,repairing rigid inflatable boat (rib) sponsons,,,,,,installing marine interior panels and soft furnishings,,,carry out routine adjustments to traction and rolling stock,,,overhauling aircraft gas turbine engine compressor assemblies,carrying out maintenance of static line parachute assemblies,,,joining non-metallic marine pipework,determine and implement aggregated risk control measures for explosives,,,,assembling blow mould tools,,
86,,,,,,,,,,preparing and using manual flame brazing and braze  welding equipment,,,carrying out composite moulding activities,,,,,,installing marine seating and furniture,,,carry out checks and tests to confirm that traction and rolling stock assets comply with operational specifications,,,overhauling aircraft gas turbine engine combustion assemblies,carrying out maintenance of brake parachute assemblies,,,assisting in the installation of marine pipework and components,implement risk control measures for explosive substances and/or articles safety,,,,assembling jigs and fixtures using mechanical methods,,
87,,,,,,,,,,,,,producing composite mouldings using wet lay-up techniques,,,,,,installing marine composite components,,,carry out planned maintenance of trs assets,,,overhauling aircraft gas turbine engine turbine assemblies,carrying out maintenance of night vision goggles,,,assisting in the testing of marine pipework systems,carry out assurance audit of systems for explosives safety,,,,producing sheet metal assemblies,,
88,,,,,,,,,,,,,producing composite mouldings using pre-preg techniques,,,,,,installing marine sheet metal components and assemblies,,,undertake the removal and replacement of traction and rolling stock components,,,overhauling aircraft gas turbine engine gearbox assemblies,using and interpreting engineering data and documents,,,marking off for the manufacture of marine steelwork components,determine the classification of explosive substances and/or articles,,,,assembling components using mechanical fasteners,,
89,,,,,,,,,,,,,,,,,,,installing electrical equipment in yachts and boats,,,modify traction and rolling stock components using tools,,,overhauling aircraft piston engines,servicing aircrew protective helmets and electrical headsets,,,cutting marine steelwork using handheld thermal cutting equipment,assess explosives licence applications,,,,assembling structural steelwork,,
90,,,,,,,,,,,,,,,,,,,installing electronic equipment into yachts and boats,,,overhaul traction and rolling stock components,,,"overhauling components of aircraft rotor heads, blades and power transmission equipment","servicing aircrew nuclear, biological and chemical (nbc) respirators and equipment",,,cutting and shaping marine steelwork using gas cutting machines,prepare and submit an explosives licence application,,,,producing sheetmetal assemblies,,
91,,,,,,,,,,,,,,,,,,,installing ancillary systems and equipment in yachts and boats,,,identify and assess defects and discrepancies in traction and rolling stock assets,,,overhauling components of aircraft hydraulic equipment,servicing aircrew life preserver equipment,,,cutting marine steelwork using saws and abrasive discs,make recommendations for the classification of explosive substances and/or articles,,,,joining fabricated components using mechanical fasteners,,
92,,,,,,,,,,,,,,,,,,,installing domestic systems and equipment in yachts and boats,,,establish compliance with traction and rolling stock specifications,,,"overhauling components of aircraft pneumatic, vacuum and environmental equipment",servicing parachute assemblies,,,cutting marine steelwork using shearing machines,review the factors affecting the safety of specific explosive substances and/or articles,,,,producing major structural components/sub-assemblies,,
93,,,,,,,,,,,,,,,,,,,maintaining electrical equipment in yachts and boats,,,diagnose faults in traction and rolling stock assets,,,overhauling components of aircraft oxygen equipment,maintaining mechanical equipment,,,drilling and finishing holes in marine steelwork,make recommendations on the factors affecting the safety of specific explosive substances and/or articles,,,,erecting structural steelwork,,
