,Top skills extracted,Corresponding top clusters,Suite size
Facilities management,Management; Facility management; Energy efficiency; Cost; Energy management; Identify opportunity; Schedule; Inspection; Sustainability; Energy consumption; Costing; Benchmarking; Compliance; Instruction; Service level agreement; Collection; Consumables; Space management; Adoption; Permit,"Energy; Business management; Procurement; Employee development; Electrical work; Hr management; Driving and automotive maintenance; Construction engineering; Claims administration; Health, safety and environment; Accounting and financial management; Accounting admin; Financial asset management; Shipping and warehouse operations; Audit and compliance; Marketing strategy and branding; Environmental planning; Archiving and libraries; Supply chain management; Office administration",30
Accessing operations and rigging construction,Storage; Risk assessment; Sustainability; Instruction; Hand tool; Work efficiently; Schedule; Fall protection; Anchor; Sketch; Power tool; Installation; Inspection; Roof; Cable; Survey; Winch; Adhesive; Weld; Visual inspection,"Construction; Electrical work; Shipping and warehouse operations; Audit and compliance; Construction engineering; Hr management; Energy; Claims administration; Recruitment; Graphic and digital design; Welding and machining; It support; Driving and automotive maintenance; Civil engineering; Health, safety and environment; Heating, ventilation and plumbing; Data engineering; Business management; Neurological disorders; Medical admin",29
Dental technology,Prescription; Anatomy; Physiology; Manufacturing process; Cleaning; Training; Wax; Instruction; Phonetics; Composition; Chemical composition; Mould; Thermal; Ageing; Infection control; Trauma; Smooth; Denture; Oral healthcare; Quality audit,Languages; Welding and machining; Construction; Manufacturing methods; Physiotherapy and beauty; Oil and gas extraction; Social work and caregiving; Mental health; Respiratory disease; Driving and automotive maintenance; Employee development; Prosthodontics and orthodontics; Physics and math; Claims administration; Laboratory techniques; Surgery; Graphic and digital design; Design and process engineering; Phlebotomy; Audit and compliance,29
Waste management,Management; Instruction; Compliance; Waste management; Risk assessment; Permit; Environmental policy; Resource management; Storage; Public service; Cost; Personal injury; Environmental protection; Deficit; Collection; Transport; Fault; Inspection; Schedule; Cleaning,"Health, safety and environment; Driving and automotive maintenance; Hr management; Business management; Claims administration; Audit and compliance; Procurement; Archiving and libraries; Office administration; Shipping and warehouse operations; Teaching; Languages; Surgery; Employee development; Electrical work; Marketing strategy and branding; Social work and caregiving; Manufacturing methods; Recruitment; Premises security",29
It users,Management; Storage; Edit; Multimedia; Fault; Peripheral device; Editing; Data entry; Search engine; Engine; Encryption; File format; Archive; Social network; Version control; Virus protection software; Animation; Database; Data integrity; Information retrieval,Shipping and warehouse operations; Software development; Graphic and digital design; Business management; Digital marketing; It support; Multimedia production; Mainframe programming; Data engineering; Office administration; Digital content authoring; Languages; Electronics; It security operations; Recruitment; Claims administration; Bi and data warehousing; Archiving and libraries; Legal services; Animation,29
Investment strategy and management,Management; Investment strategy; Investment management; Asset allocation; Investment performance; Prospect; Articulate; Portfolio investment; Promote; Portfolio management; Risk assessment; Benchmarking; Economics; Advisory; Transaction; Leadership style; Macro; Corporate governance; Forecasting; Investment analysis,Financial asset management; Securities trading; Business management; General sales; Audit and compliance; Hr management; Graphic and digital design; Marketing strategy and branding; Accounting and financial management; Employee development; Data engineering; Shipping and warehouse operations; Payroll and tax accounting; Insurance and lending; Retail management; Multimedia production; Procurement; Extracurricular activities and childcare; Claims administration; Recruitment,29
Sustainable business practice,Sustainability; Promote; Management; Compliance; Identify opportunity; Training; Storage; Innovation; Contingency plan; Cost; Benchmarking; Transport; Supply chain; Risk register; Consultant; Carbon footprint; Collection; Packaging; Environmental issue; Environmental management,"Energy; Employee development; Marketing strategy and branding; Hr management; Health, safety and environment; Supply chain management; Manufacturing methods; Business management; Audit and compliance; Shipping and warehouse operations; Business analysis and it projects; Driving and automotive maintenance; Securities trading; Recruitment; Design and process engineering; Environmental planning; Research methods and statistics; Animation; Archiving and libraries; Low vision support",29
Production management,Food; Supply chain; Management; Compliance; Production management; Production line; Food safety; Cost; Production process; Fault; Schedule; Storage; Production schedule; Tolerance; Process control; Instrumentation; Performance improvement; Adapt to change; Training; Forward planning,Languages; Supply chain management; Manufacturing methods; Hr management; Business management; Multimedia production; Retail management; Procurement; Employee development; Data engineering; Electrical work; Shipping and warehouse operations; Extracurricular activities and childcare; Journalism and writing; Design and process engineering; Driving and automotive maintenance; Construction engineering; Construction; Recruitment,29
Flight deck crew,Management; Aviation; Instruction; Deck; Engine; Civil aviation; Civil; Fault; Inspection; Shear; Visual flight rule; Conflict resolution; Propulsion; Airworthiness; Aviation safety; Instrument flight rule; Physiology; Understand instruction; Make decision; Resource management,Aviation; Business management; Construction; Languages; Driving and automotive maintenance; Employee development; Electrical engineering; Claims administration; Animation; Structural engineering; Marketing research; Respiratory disease; Data engineering; Office administration; Automotive engineering; Supply chain management; Civil engineering; Electronics; It security operations; Media relations,29
Training and competence schemes for the financial sector,Training; Scheme; Services sector; Management; Performance management; Cost; Promote; Audit; Auditing; Risk assessment; Business strategy; Resourcing; Smart; Business systems; Teamwork; Audit report; Organise information; Financial market; Business process; Initiative,Employee development; Business management; Hr management; Audit and compliance; Shipping and warehouse operations; Procurement; Marketing strategy and branding; Business analysis and it projects; Recruitment; Office administration; Media relations; Data engineering; Welding and machining; Multimedia production; Teaching; Research methods and statistics; Languages,28
Hospitality supervision and leadership,Cost; Promote; Contingency plan; Management; Food; Training; Cooperation; Cleaning; Food safety; Instruction; Storage; Inspection; Fault; Booking; Cooking; Packaging; Sales; Schedule; Housekeeping; Comment,Procurement; Marketing strategy and branding; Languages; Employee development; Business management; Supply chain management; Driving and automotive maintenance; Retail management; Social work and caregiving; Claims administration; Shipping and warehouse operations; Recruitment; Office administration; General sales; Medical admin; Mainframe programming; Audit and compliance; Manufacturing methods; Electrical work; Journalism and writing,28
Youth work,Promote; Management; Cooperation; Identify opportunity; Empowerment; Embed; Group dynamic; Equity; Sexual health; Substance abuse; Welfare; People work; Body language; Child protection; Conflict resolution; Politics; Age; Central; Civil law; Civil,Marketing strategy and branding; Employee development; Business management; Hr management; Extracurricular activities and childcare; Welding and machining; Social work and caregiving; Marketing research; Securities trading; Mainframe programming; Legal services; Reproductive health; Mental health; Phlebotomy; Digital marketing; Financial asset management; Audit and compliance; Claims administration; Recruitment; Shipping and warehouse operations,28
Interactive media and computer games,Interactive medium; Parameter; Target platform; Management; Engine; Game; Version control; Instruction; Script; Database; Edit; Interaction design; Game engine; Product design; Web server; File format; Music; Animation; Debug; Comment,Digital content authoring; Graphic and digital design; Software development; Animation; Data engineering; Multimedia production; Mainframe programming; App development; Languages; Digital marketing; Web development; Claims administration; Design and process engineering; Business management; System administration; Manufacturing methods; Marketing strategy and branding; Extracurricular activities and childcare; Business analysis and it projects; Journalism and writing,28
Languages 2013,Instruction; Politeness; Grammar; Comment; Idiom; Coin; Template; Promotional material; Articulate; Paragraph; Spelling; Business correspondence; Work independently,Claims administration; Languages; Office administration; Journalism and writing; Physics and math; Software development; Event planning; Graphic and digital design; Digital content authoring; Recruitment,28
African type hair hairdressing standards,Hairdressing; Hair; Instruction; Management; Aftercare; Cost; Home care; Smooth; Thermal; Hair colour; History; Contraindication; Hair product; General practitioner; Massage; Curl; Hydrogen peroxide; Porosity; Effleurage; Petrissage,Languages; Dental assistance; Mainframe programming; Claims administration; Business management; Oil and gas extraction; Social work and caregiving; Procurement; Driving and automotive maintenance; Physiotherapy and beauty; Autoimmune conditions; Graphic and digital design; General practice; Construction; Web development; Manufacturing methods; Laboratory techniques; Tomography and microscopy; Welding and machining; Networks,28
Decorative finishing and industrial painting occupations construction,Instruction; Storage; Risk assessment; Hand tool; Work efficiently; Sustainability; Ventilation; Solvent; Application process; Glaze; Cleaning; Adhesive; Stipple; First aid; Feather; Primer; Paint sprayer; System monitoring; Injection; Texturing,"Construction; Claims administration; Shipping and warehouse operations; Audit and compliance; Hr management; Energy; Heating, ventilation and plumbing; Oil and gas extraction; Business analysis and it projects; Driving and automotive maintenance; Welding and machining; Advertising; Phlebotomy; Critical care; System administration; Graphic and digital design; Social work and caregiving; Mainframe programming; Languages; Animation",28
Quality and improvements in food manufacture,Food; Instruction; Schedule; Compliance; Tolerance; Food safety; Packaging; Parameter; Throughput; Traceability; Environmental protection; Cost; React; Calibration; Sample preparation; Smart; Performance improvement; Costing; Quality audit; Audit report,"Languages; Claims administration; Audit and compliance; Electrical work; Manufacturing methods; Employee development; Hr management; Data engineering; Procurement; Retail management; Mainframe programming; Marketing research; Health, safety and environment; Business management; Office administration; Laboratory techniques; Oil and gas extraction; Shipping and warehouse operations; Driving and automotive maintenance; Marketing strategy and branding",27
Marketing 2013,Marketing; Cost; Target market; Forecasting; Collection; Branding; Storage; Brand identity; Promote; Trial; Data collection; Pricing; Strategic marketing; Brand strategy; Negative feedback; Manage feedback; Business continuity; Audit; Market segmentation; Cluster,Marketing strategy and branding; Procurement; Complex sales; Business management; Accounting and financial management; Archiving and libraries; Audit and compliance; Shipping and warehouse operations; Graphic and digital design; Clinical research; Business analysis and it projects; Hr management; Research methods and statistics; Financial asset management; Retail; Recruitment; System administration; Low vision support; General sales; Supply chain management,27
Publishing,Cost; Schedule; Management; Sales; Production process; Marketing; Acquisition; Multimedia; Grammar; Indexing; Spelling; Alteration; Structural design; Interactivity; Template; Pricing; Parameter; Editing; Instruction; Proofreading,Graphic and digital design; Procurement; Languages; Electrical work; Financial asset management; Digital content authoring; Employee development; General sales; Manufacturing methods; Marketing strategy and branding; Multimedia production; Legal services; Data engineering; Recruitment; Construction; Digital marketing; Software development; Animation; Bi and data warehousing; Office administration,27
Heritage skills construction,Instruction; Storage; Hand tool; Work efficiently; Sustainability; Risk assessment; Schedule; Power tool; Alteration; Repair; Ventilation; Plaster; Roof; Mortar; Floor; Render; Additive; Moulding; Panel; Masonry,"Construction; Claims administration; Driving and automotive maintenance; Shipping and warehouse operations; Hr management; Energy; Audit and compliance; Electrical work; Welding and machining; Languages; Heating, ventilation and plumbing; Civil engineering; Animation; Manufacturing methods; Health, safety and environment; Accounting admin; Graphic and digital design; Data engineering; Oil and gas extraction; Software development",27
Operational delivery public services,Compliance; Parameter; Information sharing; Equity; Instruction; Database; Cost; Business process; Business planning; Initiative; Negligence; Time constraint; Storage; Time complexity; Promote; Calculation; Contingency plan; Risk register; Information systems; Validation,Hr management; Data engineering; Claims administration; Digital marketing; Securities trading; Mainframe programming; Marketing research; Procurement; Business analysis and it projects; Business management; Office administration; Shipping and warehouse operations; Audit and compliance; Teaching; Marketing strategy and branding; Accounting and financial management; Supply chain management; It security standards; Electronics; Driving and automotive maintenance,27
Travel and tourism,Listening; Cost; Booking; Sales; Transport; Promote; Travel arrangement; Effective listening; Costing; Storage; Collection; Mobility; Instruction; History; Information systems; Record keeping; Transaction; Foreign exchange; Decode; Acting,Procurement; Driving and automotive maintenance; General sales; Recruitment; Medical admin; Languages; Marketing strategy and branding; Office administration; Graphic and digital design; Shipping and warehouse operations; Archiving and libraries; Employee development; Extracurricular activities and childcare; Hr management; Environmental planning; Multimedia production; Claims administration; Mainframe programming; Business management; It security standards,27
Cleaning and support services 2009,Cleaning; Instruction; Storage; Fault; Machinery; Schedule; Collection; Hand hygiene; Breakage; Warning sign; Ventilation; Risk assessment; Management; Hair; Follow reporting procedure; Clean equipment; Floor; Set target; Wetting; Cleanliness,"Driving and automotive maintenance; Claims administration; Languages; Shipping and warehouse operations; Audit and compliance; Heating, ventilation and plumbing; Electrical work; Retail management; Employee development; Archiving and libraries; Construction; Dental assistance; Premises security; Recruitment; Automotive engineering; Electronics; Social work and caregiving; Business management; Oil and gas extraction; Mainframe programming",27
Floating production and storage offload fpso,Instruction; Schedule; Ballast; Permit; Inert gas; Tank; Process equipment; Installation; Parameter; Storage; Deck; Maximum; Steady state; Shear; Bending moment; Calculator; Calculation; Hand signal; Power generation; Thruster,"Claims administration; Electrical work; Structural engineering; Health, safety and environment; Laboratory techniques; Construction; Languages; Mainframe programming; Manufacturing methods; It support; Data engineering; Shipping and warehouse operations; Electrical engineering; Medical admin; Phlebotomy; Accounting and financial management; Low vision support; Driving and automotive maintenance; Welding and machining; Oil and gas extraction",27
Weather forecasting and observing,Instruction; Instrumentation; Storage; Tolerance; Consumables; Calibration; Fault; Central; Schedule; Parameter; Time constraint; Deal with uncertainty; Precipitation; Forecasting; Management; Estimating; Broadcasting; Broadcast; Salinity; Encoding,Claims administration; Employee development; Shipping and warehouse operations; Languages; Marketing research; Extracurricular activities and childcare; Data engineering; Mainframe programming; Multimedia production; Accounting admin; Manufacturing methods; Electrical work; Aviation; Office administration; Business management; Hydrology; Accounting and financial management; Construction engineering; Media relations; Histology,27
Uk waterways passenger services,Shipping; Inland water; Transport; Instruction; Compliance; Passenger transport; Cost; Fault; Collection; Listen; Transporting; Promote; Training; Emergency services; Telecommunication; Listening; Transaction; Maximum; Storage; Sales,Driving and automotive maintenance; Shipping and warehouse operations; Environmental planning; Claims administration; Hr management; Civil engineering; Languages; Employee development; Procurement; Recruitment; Archiving and libraries; Marketing strategy and branding; Office administration; Social work and caregiving; Extracurricular activities and childcare; Mainframe programming; Networks; General sales; Medical admin; Premises security,27
"Courts, tribunals and prosecution",Civil; Promote; Schedule; Prosecution; Instruction; Risk assessment; Jury selection; Statistic; Management; Validation; Storage; Trial; Court procedure; Manage resource; Identify opportunity; Refund; Test equipment; Maintenance and repair; Repair; Training,Civil engineering; Marketing strategy and branding; Electrical work; Legal services; Claims administration; Electronics; Audit and compliance; Employee development; Accounting admin; Driving and automotive maintenance; Languages; Research methods and statistics; Business management; Shipping and warehouse operations; Clinical research; Business analysis and it projects; Procurement; Construction; Archiving and libraries,26
Performing engineering operations suite 1,Instruction; Education; Initiative; Risk assessment; Cleaning; Consumables; Iso standard; Iso; Composite; Tolerance; Cable; Hand tool; Housekeeping; Fault; Iron; Power tool; Drilling; Carbon steel; Adhesive; Switch,"Welding and machining; Construction; Audit and compliance; Driving and automotive maintenance; Electrical engineering; Languages; Claims administration; Teaching; Office administration; Oil and gas extraction; Electrical work; Accounting admin; Social work and caregiving; It security standards; Manufacturing methods; Structural engineering; Heating, ventilation and plumbing; Animation; Extracurricular activities and childcare; Electronics",26
Stonemasonry construction,Risk assessment; Schedule; Sustainability; Instruction; Power tool; Storage; Hand tool; Stonemasonry; Ventilation; Work efficiently; Machinery; Template; Mould; Fault; Additive; Mortar; Insulation; Damp; Repair; Adhesive,"Construction; Driving and automotive maintenance; Heating, ventilation and plumbing; Audit and compliance; Electrical work; Energy; Claims administration; Shipping and warehouse operations; Hr management; Languages; Software development; Manufacturing methods; Graphic and digital design; Welding and machining; Civil engineering; Recruitment; Employee development; Data engineering; It support; Oil and gas extraction",26
Fundraising,Fundraising; History; Management; Schedule; Database; Marketing; Response rate; Risk assessment; Cost; Audit; Listen; Identify opportunity; Prospect; Progress report; Direct marketing; Collection; Politics; Maximum; Service provision; Promote,Event planning; Languages; Business management; Employee development; Audit and compliance; Marketing strategy and branding; Mainframe programming; Electrical work; Recruitment; Procurement; Patient assistance and care; Hr management; Supply chain management; Shipping and warehouse operations; General sales; Construction engineering; Accounting and financial management; Advertising; Research methods and statistics; Marketing research,26
Pharmacy,Information governance; Prescription; Packaging; Calculation; Storage; Consumables; Medical terminology; Management; Drug interaction; Parameter; Cleaning; Collection; Physiology; Instruction; Aseptic; Aseptic technique; Dosage form; Cold chain; Decontamination; Controlled area,Clinical information systems; Mental health; Manufacturing methods; Accounting and financial management; Shipping and warehouse operations; Accounting admin; Pharmacy; Medical admin; Driving and automotive maintenance; Data engineering; Business management; Archiving and libraries; Respiratory disease; Claims administration; Biotechnology manufacturing; Tissue culture; Social work and caregiving; Recruitment; Mainframe programming; Gastroenterology,26
Professional skills for government psg,Management; Promote; Articulate; Vision; Creativity; Innovation; Listen; Cost; Empower; Leadership style; Central; Financial management; Marketing; Contingency plan; Collection; Forecasting; Business model; Business strategy; Marketing communications; Schedule,Business management; Marketing strategy and branding; Employee development; Graphic and digital design; Hr management; Recruitment; Legacy mainframe; Mainframe programming; Procurement; Financial asset management; Audit and compliance; Accounting and financial management; Advertising; Event planning; Supply chain management; Archiving and libraries; Complex sales; Electrical work; Media relations; Multimedia production,26
Producing surface coatings,Risk assessment; Cleaning; Schedule; Information systems; Warning sign; Solvent; Calibration; Fault; Additive; Printing; Powder coating; Scheme; Instruction; Cleanliness; Storage; Process equipment; Hoist; Packaging; Lift truck; Electrical discharge,Manufacturing methods; Driving and automotive maintenance; Electrical work; Welding and machining; Languages; Audit and compliance; Oil and gas extraction; It security standards; Premises security; Hr management; Animation; Social work and caregiving; Electrical engineering; Claims administration; Shipping and warehouse operations; Office administration; Electronics; Data engineering; Employee development; Laboratory techniques,26
Sales 2013,Sales; Sales strategy; Marketing; Management; Prospect; Listening; Sell product; Pricing; Sales plan; Compliance; Testimonial; Promote; Maximum; Identify opportunity; Sales cycle; Closing sales; Transaction; Storage; Collection; Cost,General sales; Complex sales; Marketing strategy and branding; Business management; Retail; Hr management; Recruitment; Procurement; Shipping and warehouse operations; Financial asset management; Employee development; Accounting and financial management; Accounting admin; Mainframe programming; Archiving and libraries; Supply chain management; Audit and compliance; Critical care; Marketing research; Energy,26
Pension scheme administration,Scheme; Validation; Verification and validation; Compliance; Calculation; Management; Anti money laundering; Transaction; Invoice; Training; Training programme; Credit management; Record keeping; Age; Instruction; Service level agreement; Medical record; Income tax; Child support; Schedule,Hr management; Audit and compliance; Payroll and tax accounting; Accounting and financial management; Shipping and warehouse operations; Employee development; Accounting admin; Insurance and lending; Office administration; Business management; Social work and caregiving; Claims administration; Electronics; Graphic and digital design; Medical coding; Electrical work; Medical admin; Languages; Legal services; Reproductive health,26
Life sciences and related industries 3,Parameter; Instruction; Storage; Fault; Management; Error message; Reagent; Transport; Calibration; Cleaning; Biological material; Lighting; Scheme; Recruit; Aseptic; Training; Smart; Monitor activity; Dna; Dye,Data engineering; Claims administration; Business management; Laboratory techniques; Employee development; Driving and automotive maintenance; Shipping and warehouse operations; Languages; Tissue culture; Software development; Recruitment; Manufacturing methods; Electrical engineering; Audit and compliance; Tomography and microscopy; Multimedia production; Molecular biology processes; Biochemistry; Animation; Hr management,26
Driver training,Training; Logistics; Learning style; Active listening; Book; Listening; Cost; Management; Fault; Instruction; Compliance; Acquisition; Motorcycle; Maximum; Sort; Identify opportunity; Comment; Schedule; Sales; Marketing,Employee development; Procurement; Teaching; Business management; Hr management; Low vision support; Medical admin; Languages; Claims administration; Extracurricular activities and childcare; Office administration; Marketing strategy and branding; Financial asset management; Recruitment; Journalism and writing; Audit and compliance; Automotive engineering; Marketing research; Mainframe programming; Electrical work,26
Exercise and fitness,Promote; Illegal substance; Instructing; Listen; Welfare; Empower; Show empathy; Coordinating; First aid; History; Instruct; Ventilation; Management; Medic; Exercise programme; Instruction; Music; Lighting; Smart; Flooring,"Employee development; Teaching; Hr management; Recruitment; Critical care; Marketing strategy and branding; Advertising; Pharmacy; Physiotherapy and beauty; Languages; Multimedia production; Animation; Business management; Claims administration; Heating, ventilation and plumbing; Extracurricular activities and childcare; Nutrition and diabetes management; Construction; Social work and caregiving; Phlebotomy",25
Sale of residential property,Marketing; Promote; Marketing material; Cost; Sales; Instruction; Listen; Listen actively; Comment; Schedule; Advertising; Public transport; Transport; Furnishing; Proof; Survey; Energy efficiency; Compliance; Interpret plan; Due diligence,Marketing strategy and branding; General sales; Event planning; Procurement; Mainframe programming; Claims administration; Journalism and writing; Electrical work; Construction; Advertising; Shipping and warehouse operations; Hr management; Graphic and digital design; Civil engineering; Languages; Driving and automotive maintenance; Energy; Financial asset management; Data engineering; Teaching,25
Policy delivery public services,Acting; Coordinate; Stakeholder engagement; Policy development; Landscape; Cost; Management; Promote; Risk assessment; Policy evaluation; Consultation method; Politics; Smart; Listen; Sustainability; Cost benefit analysis; Benefit analysis; Contingency plan; Resourcing; Teamwork,"Business management; Employee development; Multimedia production; Driving and automotive maintenance; Procurement; Audit and compliance; Environmental planning; Marketing strategy and branding; Hr management; Recruitment; Extracurricular activities and childcare; Accounting and financial management; Energy; Business analysis and it projects; Health, safety and environment; Supply chain management; Data engineering; Construction engineering; Office administration; Legacy mainframe",25
Built environment design management,Management; Design management; Synthesis; Cost; Consultant; Schedule; Sustainability; Survey; Risk assessment; Advisory; Compliance; Parameter; Transport; Welfare; Instruction; Adaptability; Scheme; Installation; Demolition; Seismology,"Procurement; Hr management; Design and process engineering; Business management; Histology; Energy; Recruitment; Employee development; Driving and automotive maintenance; Civil engineering; Construction engineering; Electrical work; Archiving and libraries; Audit and compliance; Environmental planning; Health, safety and environment; Construction; Accounting and financial management; Data engineering; Business analysis and it projects",25
Print administration,Management; Printing; Cost; Quotation; Sales; Proof; Production process; Machinery; Instruction; Print production; Consumables; Listening; Template; Flexography; Transport; Estimating; Invoice; Invoicing; Costing; Printer,"Business management; Procurement; Graphic and digital design; Accounting admin; Languages; General sales; Animation; Driving and automotive maintenance; Manufacturing methods; Office administration; Accounting and financial management; Recruitment; Claims administration; Audit and compliance; Mainframe programming; Health, safety and environment; Supply chain management; Software development; Diagnostic imaging; Construction engineering",25
Multi utility network construction,Instruction; Compliance; Risk assessment; Information systems; Installation; Schedule; Management; Storage; Repair; Trench; Fault; Anchor; Consumables; Cost; Power tool; Environmental legislation; Parameter; Pressure test; Permit; Breathing apparatus,"Claims administration; Audit and compliance; Hr management; Languages; Business management; It security standards; It support; Electrical work; Driving and automotive maintenance; Shipping and warehouse operations; Health, safety and environment; Construction; Welding and machining; Recruitment; Accounting admin; Procurement; Data engineering; Dental assistance; Civil engineering; Business analysis and it projects",25
Aviation ground security operations,Aviation; Compliance; Instruction; Passenger transport; Transport; Emergency services; Fault; Schedule; Promote; Age; Customer focussed; Language barrier; Information card; Crowd control; Medical emergency; Cleaning; Render; Mobility; Permit; Warning sign,"Aviation; Hr management; Claims administration; Civil engineering; Social work and caregiving; Languages; Office administration; Extracurricular activities and childcare; Driving and automotive maintenance; Mainframe programming; Electrical work; Marketing strategy and branding; Retail; Prosthodontics and orthodontics; Animation; Environmental planning; Health, safety and environment; Premises security; Multimedia production; It support",25
Emergency fire services management,Management; Cost; Promote; Cost benefit analysis; Benefit analysis; Schedule; Risk assessment; Audit; Record keeping; Resourcing; Training; Collection; Welfare; Performance review; Performance management; Report writing; Change management; Anticipate need; Intellectual property; Property right,"Business management; Audit and compliance; Procurement; Employee development; Hr management; Business analysis and it projects; Marketing strategy and branding; Electrical work; Office administration; Supply chain management; Legal services; Claims administration; Recruitment; Health, safety and environment; Archiving and libraries; Multimedia production; Construction engineering; Shipping and warehouse operations; Legacy mainframe; Data engineering",25
Textiles and material design,Instruction; Textile; Cost; Material process; Management; Time management; Schedule; Environmental legislation; Optimisation; Meet deadline; Material design; Parameter; Information retrieval; Comment; Derive; Promote; Costing; History; Textile material; Forecasting,"Claims administration; Extracurricular activities and childcare; Data engineering; Procurement; Manufacturing methods; Business management; Recruitment; Marketing strategy and branding; Electrical work; Health, safety and environment; Design and process engineering; Employee development; Graphic and digital design; Languages; Accounting and financial management; Journalism and writing; Legacy mainframe; Construction engineering; Audit and compliance; Welding and machining",25
Laboratory and associated technical activities suite 2 2010,Consumables; Storage; Risk assessment; Instruction; Cleaning; Transport; People work; Laboratory equipment; Scheme; Calibration; Fault; Breakage; Cleanliness; Compliance; Coat; Cost; Promote; Training; Aseptic; Biological material,Driving and automotive maintenance; Accounting admin; Shipping and warehouse operations; Audit and compliance; Claims administration; Hr management; Languages; Manufacturing methods; Digital marketing; Employee development; Laboratory techniques; Logistics administration; Teaching; Social work and caregiving; Biotechnology manufacturing; Tissue culture; Procurement; Marketing strategy and branding; Animation; Structural engineering,25
Complementary and natural healthcare,External link; Aftercare; Self care; Therapy; History; Pathology; Anatomy; Physiology; Treatment planning; Lymphatic; Management; Record keeping; Listening; Contraindication; Digestive system; Trauma; Massage; Muscle; Effleurage; Petrissage,Physiotherapy and beauty; Languages; Mainframe programming; Social work and caregiving; Pathophysiology; Dermatology; Pathology; Respiratory disease; Extracurricular activities and childcare; Office administration; Surgery; Business management; Autoimmune conditions; Cell biology; Recruitment; Mental health; Hr management; Flow cytometry; Claims administration; Construction,25
Radiation protection,Radiation protection; Information systems; Risk assessment; Hazard identification; Training; Schedule; Training programme; Dosimetry; Inspection; Contingency plan; History; Management; Policy evaluation; Meet deadline; System design; Derive; Timeline; Compliance; Controlled area; Parameter,"Diagnostic imaging; It security standards; Audit and compliance; Health, safety and environment; Employee development; Electrical work; Driving and automotive maintenance; Supply chain management; Languages; Business management; Environmental planning; Recruitment; Electronics; Legacy mainframe; Graphic and digital design; Hr management; Structural engineering; Data engineering",25
Community development,Social justice; Community development; Empowerment; Promote; Initiative; Sustainability; Management; Training; Empower; Composition; History; Group dynamic; Relationship building; Make decision; Audit; Collection; Data collection; Leadership style; Learning support; Civil,Hr management; Public health programmes; Social work and caregiving; Business management; Marketing strategy and branding; Office administration; Employee development; Energy; Extracurricular activities and childcare; Languages; Advertising; Audit and compliance; Marketing research; Archiving and libraries; Research methods and statistics; Recruitment; Teaching; Civil engineering; Journalism and writing; Welding and machining,25
Beauty therapy 2009,Instruction; Storage; Ventilation; Age; Cost; Lighting; Aftercare; Informed consent; Skin type; Hair; Anatomy; Physiology; Listening; Contraindication; Pricing; Layer; Home care; Cleaning; Muscle; History,"Social work and caregiving; Languages; Mainframe programming; Phlebotomy; Physiotherapy and beauty; Animation; Heating, ventilation and plumbing; Claims administration; Driving and automotive maintenance; Procurement; Extracurricular activities and childcare; Shipping and warehouse operations; Reproductive health; Respiratory disease; Construction; Pathophysiology; Dermatology; Recruitment; Autoimmune conditions; Financial asset management",24
Construction site supervision,Management; Storage; Waste management; Consultant; Machinery; Risk assessment; Schedule; Welfare; Inspection; Repair; Instruction; Cost; Traffic management; Acquisition; Training; Identify opportunity; Survey; Fault; Demolition; Sustainability,"Driving and automotive maintenance; Construction; Health, safety and environment; Civil engineering; Business management; Recruitment; Shipping and warehouse operations; Hr management; Procurement; Audit and compliance; Employee development; Electrical work; Claims administration; Construction engineering; Languages; Financial asset management; Office administration; Medical admin; Energy; Accounting and financial management",24
Emergency response,Installation; Management; Instruction; Training; Craft; Coordinate; Breathing apparatus; Panel; Deck; Medic; Teamwork; Risk assessment; Delegate authority; Inert gas; Hazard identification; Coupling; Dutch; Static electricity; Hydraulics; Cleaning,"It support; Construction; Business management; Driving and automotive maintenance; Oil and gas extraction; Employee development; Claims administration; Recruitment; Health, safety and environment; Electrical engineering; Dental assistance; Critical care; Civil engineering; Audit and compliance; Laboratory techniques; Languages; Social work and caregiving; Phlebotomy; Design and process engineering; Shipping and warehouse operations",24
Mental health,Mental health; Promote; Management; Therapy; Age; Sort; Initiative; Psychopathology; Welfare; Risk assessment; Acting; Comment; Education; Personality disorder; History; Risk management; Service provision; Social services; Training; Change management,Mental health; Business management; Marketing strategy and branding; Office administration; Social work and caregiving; Hr management; Dermatology; Audit and compliance; Languages; Recruitment; Multimedia production; Journalism and writing; Financial asset management; Teaching; Environmental planning; Mainframe programming; Procurement; Supply chain management; Employee development; Claims administration,24
Work with parents;work with parents v2 2010,Promote; Management; Listen; Training; Inspection; Listening; English; Child protection; Religious belief; Social services; Cost; Initiative; Identify opportunity; Language barrier; Make decision; Active listening; Record keeping; Compliance; Education; Health education,Recruitment; Business management; Social work and caregiving; Employee development; Marketing strategy and branding; Languages; Driving and automotive maintenance; Office administration; Extracurricular activities and childcare; Claims administration; Hr management; Mental health; Digital marketing; Research methods and statistics; Procurement; Low vision support; Reproductive health; General practice; Journalism and writing; Supply chain management,24
