,index,URN,NOS Title,correct_exact_matches
673,ccsccs81.pdf,CCSCCS81 ,Conduct marketing for a creative and cultural organisation,Intellectual property; Promote; Marketing copy; Coordinate; Sales; Cost; Advertising sales; Public relations; Marketing material; Marketing; Target market; Press release; Advertising; Sales promotion; Newsletter; Exhibition; Branding; Production schedule; Online marketing; Coordinating
674,ccsccs82.pdf,CCSCCS82,Develop and implement a marketing and communications strategy for a creative and cultural organisation,Contingency plan; Unique selling proposition; Promote; Swot analysis; Market research; Sales; Cost; Pr strategy; Timeline; Marketing; Target market; Advertising; Newsletter; Market trend; Vision
675,ccsccs84.pdf,CCSCCS84,Manage commercial activities for a creative and cultural organisation,Management; Financial transaction; Lecture; Innovate; Pricing; Training; Sales; Cost; Marketing; Manage staff; Cultural history; Exhibition; Vision
676,ccsccs90.pdf,CCSCCS90,Assist in securing funding for a creative and cultural organisation,Fundraising; Prospect; Coordinate; Fundraise; Information systems; Database; Basic research
677,ccsccs91.pdf,CCSCCS91,Conduct fundraising for a creative and cultural organisation,Management; Fundraising; Prospect; Database; Schedule
678,ccsccs92.pdf,CCSCCS92,Devise and implement a fundraising strategy for a creative and cultural organisation,Contingency plan; Fundraising; History; Fundraise; Database; Business strategy; Marketing; Landscape; Branding
679,ccsch44.pdf,CCSCH44,Manage the site for a cultural heritage organisation,Management; Environmental policy; Marketing; Manage staff; Collection; Smooth; Risk assessment; Strategic management; Renovation
680,ccsch54.pdf,CCSCH54,Provide specific information on a collection for a cultural heritage organisation,Library; History; Instruction; Information systems; Collection; Security policy
681,ccsch55.pdf,CCSCH55,"Handle, pack and transport cultural heritage items and objects",Instruction; Unloading; Packaging; Transport
682,ccsch56.pdf,CCSCH56,Contribute to the design of exhibitions and displays in cultural heritage organisation,Brainstorming; Management; Consultant; Exhibition; Collection; Risk assessment
683,ccsch57.pdf,CCSCH57,Contribute to the build of exhibitions and displays in a cultural heritage organisation,Exhibition; Mobility
684,ccsch60.pdf,CCSCH60,"Develop a collection – research, document and catalogue for cultural heritage",Management; Catalogue; History; Accession; Age; Information systems; Intelligence analysis; Collection; React; Copyright legislation
685,ccsch61.pdf,CCSCH61,Implement collections management procedures for cultural heritage,Management; Catalogue; Backlog; Training; Database; Risk management; Indexing; Collection; Archive; Transport
686,ccsch62.pdf,CCSCH62,Devise and implement a strategy for the use and development of a collection for cultural heritage,Acquisition; Collection; Vision; Loans
687,ccsch63.pdf,CCSCH63,An introduction to ethics and professional judgement for cultural heritage conservation,Contract law
688,ccsch64.pdf,CCSCH64,Protect cultural heritage through conservation,Record keeping; Storage; Cushioning
689,ccsch65.pdf,CCSCH65,Maintain conservation records for cultural heritage,Instruction; Inspection; Record keeping; Storage
690,ccsch66.pdf,CCSCH66,Conservation treatments for cultural heritage,Instruction; Salvaging; Cleaning; Repair
691,ccsch67.pdf,CCSCH67,Preventive conservation measures for cultural heritage,Instruction; Storage
692,ccsch68.pdf,CCSCH68,Set up and maintain conservation equipment for cultural heritage,Instruction; Record keeping; Storage; Maintenance and repair; Fault; Instruct
693,ccsch69.pdf,CCSCH69,Make copies of cultural heritage for conservation,Management; Storage
694,ccsch70.pdf,CCSCH70,Inspect and monitor conservation needs of cultural heritage,Composition; Parameter; Storage; Collection
695,ccsch71.pdf,CCSCH71,Handle and care for cultural heritage during conservation,Unpack; Unpacking; Cleaning; Transport
696,ccsch72.pdf,CCSCH72,Conservation ethics and professional judgement for cultural heritage,Acquisition; Contract law
697,ccsch73.pdf,CCSCH73,Conservation assessment for cultural heritage,Auditing; Collection
698,ccsch74.pdf,CCSCH74,Conservation options and strategies for cultural heritage,Management; Promote; Storage; Collection
699,ccsch75.pdf,CCSCH75,Conservation measures for cultural heritage,Management; Preventive care
700,ccscr1.pdf,CCSCR1,Contribute and assist with ideas for craft practice,Craft; Instruction
701,ccscr10.pdf,CCSCR10,Communicate effectively in craft,Craft
702,ccscr11.pdf,CCSCR11,Present ideas for craft,Craft; Organise information
703,ccscr12.pdf,CCSCR12,Innovate and experiment in craft practice,Experimentation; Creativity; Innovation; Craft; Environmental issue; Cost; Think creatively; Experiment
704,ccscr13.pdf,CCSCR13,"Select and use techniques, materials, tools and equipment for craft",Craft
705,ccscr14.pdf,CCSCR14,"Prepare and maintain materials, tools and equipment for craft",Craft; Avoid contamination; Instruction
706,ccscr15.pdf,CCSCR15,Use safe working practices and spaces for craft,Workspace; Craft; Instruction; Risk assessment
707,ccscr16.pdf,CCSCR16,Complete the craft making process,Craft; Transport
708,ccscr17.pdf,CCSCR17,Document and record craftwork and working practice,Craft; Business administration
709,ccscr18.pdf,CCSCR18,Keep up-to-date with the wider context for your craft,Craft
710,ccscr19.pdf,CCSCR19,Keep up-to-date with the craft sector,Craft
711,ccscr2.pdf,CCSCR2,Originate and develop ideas for craft practice,Experimentation; Intellectual property; Craft; Property right; Experiment
712,ccscr20.pdf,CCSCR20,Develop an awareness of sustainability and protect the environment in craft;,Sustainability; Craft; Energy efficiency
713,ccscr21.pdf,CCSCR21,Self-evaluate and obtain feedback from others to inform craft practice,Acting; Craft
714,ccscr22.pdf,CCSCR22,Monitor and evaluate your craft practice,Craft; Time management
715,ccscr23.pdf,CCSCR23,Plan and manage continued professional development in craft,Craft; Identify goal; Training; Cost; Learning style
716,ccscr24.pdf,CCSCR24,Seek help and advice to develop a craft practice,Craft; Cost
717,ccscr25.pdf,CCSCR25,Establish and maintain contacts and/or networks to develop craft practice;,Craft
718,ccscr26.pdf,CCSCR26,Work effectively with others in craft,Craft
719,ccscr27.pdf,CCSCR27,Develop and maintain professional relationships or partnerships in craft,Craft; Identify opportunity
720,ccscr28.pdf,CCSCR28,Share knowledge of craft,Craft
721,ccscr29.pdf,CCSCR29,Manage projects in craft practice,Contingency plan; Management; Quotation; Craft; Cost; Identify supplier
722,ccscr3.pdf,CCSCR3,Assist with research for craft practice,Book; Craft; Instruction; Marketing
723,ccscr30.pdf,CCSCR30,Manage time for craft practice,Management; Craft
724,ccscr31.pdf,CCSCR31,Plan your work and time for craft,Craft; Time management
725,ccscr32.pdf,CCSCR32,Carry out basic financial transactions for craft,Financial transaction; Invoice; Craft; Transaction; Petty cash
726,ccscr33.pdf,CCSCR33,Manage banking and finances for craft,Craft; Tax return; Audit trail; Bank statement; Business planning
727,ccscr34.pdf,CCSCR34,Manage budgets for craft,Craft; Pricing; Cost; Manage budget; Marketing
728,ccscr35.pdf,CCSCR35,Develop and implement a business plan for craft,Craft; Business model; Business administration; Business planning
729,ccscr36.pdf,CCSCR36,Explore and develop routes to market for craft,Craft; Business planning
730,ccscr37.pdf,CCSCR37,Work out appropriate pricing for craft,Craft; Pricing; Cost; Marketing
731,ccscr38.pdf,CCSCR38,Market craft,Prospective client; Craft; Cost; Marketing material; Marketing; Brand identity; Market trend; Set target
732,ccscr39.pdf,CCSCR39,Manage commissions for craft,Invoice; Craft; Pricing; Timeline; Sketch
733,ccscr4.pdf,CCSCR4,Research ideas for craft practice,Creativity; Craft
734,ccscr40.pdf,CCSCR40,Sell craft,Intellectual property; Luxury goods; Invoice; Craft; Pricing; Sales; Marketing; Transaction; Compliance; Collection
735,ccscr41.pdf,CCSCR41,Develop craft for commercial batch production,Intellectual property; Batch production; Craft; Pricing; Production process; Property right; Market research; Sales; Cost; Payment schedule
736,ccscr42.pdf,CCSCR42,Promote and represent craft,Promote; Craft
737,ccscr43.pdf,CCSCR43,Advocate for craft,Craft
738,ccscr44.pdf,CCSCR44,Explore international routes to market for craft,Promote; Craft; Sales; Cost; Calculation; Identify opportunity
739,ccscr45.pdf,CCSCR45,Provide effective customer service in craft,Craft
740,ccscr46.pdf,CCSCR46,Present and display craft,Intellectual property; Craft; Property right; Identify opportunity
741,ccscr47.pdf,CCSCR47,Explore and develop opportunities outside your regular craft work and work practice,Craft; Sketch
742,ccscr48.pdf,CCSCR48,Manage a portfolio career for craft,Craft; Meet deadline; Business planning
743,ccscr49.pdf,CCSCR49,Use digital technologies for craftwork and work practice,Craft; Marketing; Adapt it
744,ccscr5.pdf,CCSCR5,Create a design brief for craft,Intellectual property; Craft; Cost
745,ccscr51.pdf,CCSCR51,Maintain and repair craftwork,Craft; Cost; Maintenance and repair; Repair
746,ccscr52.pdf,CCSCR52,"Restore, conserve and reconstruct work in craft",Craft; History; Survey; Cost; Reconstruction
747,ccscr53.pdf,CCSCR53,Obtain finance for craft,Craft; Cost; Financial market; Calculation; Loans
748,ccscr54.pdf,CCSCR54,Purchase goods for craft,Quotation; Craft; Sales; Cost
749,ccscr55.pdf,CCSCR55,Purchase services for craft,Quotation; Craft; Cost
750,ccscr57.pdf,CCSCR57,Develop and apply an understanding of copyright law to protect craft,Creativity; Patent; Craft; Trademark; Calculation; Sort; Royalty
751,ccscr58.pdf,CCSCR58,Develop and apply an understanding of intellectual properties to protect your craft;,Intellectual property law; Intellectual property; Patent; Craft; Trademark; Property right; Compliance; Exploitation
752,ccscr59.pdf,CCSCR59,"Ensure compliance with legal, regulatory, social and ethical requirements for craft",Environmental law; Patent; Craft; Compliance
753,ccscr6.pdf,CCSCR6,Interpret and follow a design brief for craft,Intellectual property; Craft; Cost; Timeline; Vision
754,ccscr7.pdf,CCSCR7,Establish and/or modify the design and making process,Experimentation; Innovation; Craft; Identify opportunity; Sketch
755,ccscr8.pdf,CCSCR8,Contribute to the design and making process for craft,Craft; Sketch
756,ccscr9.pdf,CCSCR9,"Produce a drawing or sketch, working stage or rough,",Craft; Cost; Sketch; Experiment
757,ccscrc02.pdf,CCSCRC02,Lithograph or transfer print ceramic items in craft,Sustainability; Glazing; Craft; Printing; Decorating; Decorate; Ceramic ware; Fault; Repair; Ceramic
758,ccscrc03.pdf,CCSCRC03,Form or decorate ceramic craftworks by removal of material,Sustainability; Craft; Decorating; Decorate; Ceramic
759,ccscrc04.pdf,CCSCRC04,Trim and smooth crafted ceramic items,Sustainability; Smoothing; Craft; Smooth; Ceramic
760,ccscrc05.pdf,CCSCRC05,Form or decorate crafted ceramic items by adding materials,Sustainability; Craft; Meet deadline; Decorating; Decorate; Ceramic
761,ccscrc06.pdf,CCSCRC06,Form crafted ceramic items by joining or assembling,Sustainability; Craft; Meet deadline; Ceramic
762,ccscrc07.pdf,CCSCRC07,Decorate crafted ceramics by surface alteration,Sustainability; Craft; Meet deadline; Decorating; Decorate; Burnishing; Ceramic; Alteration
763,ccscrc08.pdf,CCSCRC08,Model crafted ceramics,Craft; Fault; Ceramic
764,ccscrc09.pdf,CCSCRC09,Load and prepare the kiln for firing crafted ceramics,Craft; Ceramic
765,ccscrc10.pdf,CCSCRC10,Fire crafted ceramics using a kiln,Craft; Unload; Unloading; Ceramic ware; Ceramic
766,ccscrc11.pdf,CCSCRC11,"Apply a protective coating of glaze, slip or varnish to the surface of crafted ceramic products",Sustainability; Craft; Meet deadline; Glaze; Coat; Fault; Ceramic
767,ccscrg01.pdf,CCSCRG01,Maintain health and safety in a glass craft working environment,Craft; Instruction
768,ccscrg02.pdf,CCSCRG02,Craft glass by applying heat,Craft; Crafting
769,ccscrg03.pdf,CCSCRG03,Craft glass by cutting,Craft; Crafting
770,ccscrg04.pdf,CCSCRG04,Apply coatings or treatments to glass craftworks,Craft; Instruction; Coat
771,ccscrg05.pdf,CCSCRG05,Assemble glass craftworks,Craft
772,ccscrg09.pdf,CCSCRG09,Anneal glass craftwork,Craft
773,ccscrg10.pdf,CCSCRG10,Form glass craftworks,Craft
774,ccscvo1 .pdf,CCSCVO1 ,Prepare for and receive goods and materials,Stock control; Storage; Receive goods
775,ccscvo10.pdf,CCSCVO10,Develop staff rotas to cover operations needs in a cultural venue,Contingency plan; Calculation; Schedule
776,ccscvo11.pdf,CCSCVO11,Monitor the security and environment of items within a cultural venue,Parameter; Proactive; Fault; Schedule
777,ccscvo12.pdf,CCSCVO12,Control the security of a cultural venue,Instruction; Security patrol; Scanning; Register visitor
778,ccscvo13 .pdf,CCSCVO13 ,Maintain good environmental practice in day to day work activities,Instruction; Environmental monitoring
779,ccscvo14.pdf,CCSCVO14,Respond to incidents and emergencies,Contingency plan; Instruction; Proactive
780,ccscvo15.pdf,CCSCVO15,Contribute to the care of items within a cultural venue,Cleaning; Schedule
781,ccscvo16.pdf,CCSCVO16,Contribute to the ongoing care of cultural venue premises,Cleanliness; Proactive; Repair; Schedule
782,ccscvo2.pdf,CCSCVO2,Promote cultural venue goods and services to visitors,Sales; Upselling; Payment method; Time constraint; Listening; Cultural history; Scheme
783,ccscvo3.pdf,CCSCVO3,Process sales within a cultural venue,Sales; Transaction
784,ccscvo4.pdf,CCSCVO4,Promote function and event facilities within a cultural venue,Management; Promote; Booking; Maximum; Cost; Initiative; Cultural history; Exhibition; Cross sell
785,ccscvo5.pdf,CCSCVO5,Support the organisation of events and exhibitions,Marketing; Evaluate events; Exhibition
786,ccscvo6.pdf,CCSCVO6,Prepare for and deliver guided tours,Schedule
787,ccscvo8.pdf,CCSCVO8,Provide visitors with general assistance,Management
788,ccscvo9.pdf,CCSCVO9,Provide support to the selection of candidates for recruitment or promotion in a cultural venue,
789,ccsdes1.pdf,CCSDES1,Apply research on the history and theory of design to your own design activities,History
790,ccsdes10.pdf,CCSDES10,Create visual designs,Tablet; Composition; Parameter; Graphic software; Typography; Visual design; Scanning; Experiment; Product design
791,ccsdes11.pdf,CCSDES11,Provide written information in relation to your design work,Instruction; Written communication
792,ccsdes12.pdf,CCSDES12,Make a presentation,Public speaking
793,ccsdes13.pdf,CCSDES13,Develop preferred supplier relationships for your design business,Quotation; Pricing; Cost; Record keeping; Negotiation skill
794,ccsdes14.pdf,CCSDES14,Explore the history and social impact of creativity and how it can influence your own design work,Creativity; History
795,ccsdes15.pdf,CCSDES15,Research and evaluate the nature of design in a specific industry context,History; Product development
796,ccsdes16.pdf,CCSDES16,Identify and understand your client’s’ brand strategy,Sustainability; Management; Corporate social responsibility; Innovation; Critical thinking; Integrate design; Employee engagement; Market research; Audit; Business strategy; Design tool; Brand strategy; Branding; Coordination; Design management; Vision
797,ccsdes17.pdf,CCSDES17,Writing a design brief,Age
798,ccsdes18.pdf,CCSDES18,Interpret the design brief and follow the design process,Experimentation; Management; Intellectual property; Proof; Parameter
799,ccsdes19.pdf,CCSDES19,Develop and extend critical and creative thinking skills,Creativity; History; Central; Sort; Experiment
800,ccsdes2.pdf,CCSDES2,Apply design industry knowledge to inform your own design work practice and work,Intellectual property
801,ccsdes21.pdf,CCSDES21,"Articulate, present and debate ideas in a creative environment",Comment; Articulate
802,ccsdes22.pdf,CCSDES22,Collaborate in a creative process,Intellectual property; Creativity; Property right; Listen; Trustworthy
803,ccsdes23.pdf,CCSDES23,Create 2d designs using a computer aided design system,Parameter; Macro; Printing; Software feature; Database; Calculation; Sketch
804,ccsdes24.pdf,CCSDES24,Create 3d models using a computer aided design system,Housekeeping; Coordinate; Rendering
805,ccsdes25.pdf,CCSDES25,Devise user testing of designs,Test script; Survey; Instruction; Logging; Product design; Usability test; Recruit
806,ccsdes26.pdf,CCSDES26,Conduct user testing of designs,Test script; Instruction; Script
807,ccsdes27.pdf,CCSDES27,Evaluate user testing of designs,Parameter; Product design; Schedule
808,ccsdes28.pdf,CCSDES28,Developing your own design offer,Innovation; Macro; Pricing; Market research; Marketing; Storage; Market trend; Collection; Business planning
809,ccsdes29.pdf,CCSDES29,Assist with marketing activities,Intellectual property; Production process; Cost; Marketing material; Marketing; Target market; Advertising; Costing; Branding; Financial control
810,ccsdes3.pdf,CCSDES3,Use critical thinking techniques in your design work,Critical thinking; Thinking process
811,ccsdes30.pdf,CCSDES30,Manage a budget within a design environment,Management; Vision
812,ccsdes32.pdf,CCSDES32,Apply concepts and theories of creativity and innovation to your own design work,Creativity; Innovation; History; Articulate
813,ccsdes33.pdf,CCSDES33,Research and evaluate global design trends,Intellectual property
814,ccsdes34.pdf,CCSDES34,Define the brand strategy of the organisation in which you work,Innovation; Audit; Business strategy; Hr policy; Equity; Brand identity; Brand strategy; Branding; React; Vision
815,ccsdes35.pdf,CCSDES35,Manage market research for your design business,Management; Quantitative research; Research design; Consultant; Prepare report; Project design; Survey; Market research; Timeline
816,ccsdes36.pdf,CCSDES36,Develop and extend your design skills and practices,Experimentation; Intellectual property; Experiment
817,ccsdes37.pdf,CCSDES37,Originate and develop concepts for products or services,Sustainability; Innovate; Parameter; Environmental issue; Player; Experiment; Concept development
818,ccsdes38.pdf,CCSDES38,Manage design realisation,Intellectual property; Timeline; Occupational health and safety; Schedule
819,ccsdes4.pdf,CCSDES4,Communicate the importance of the design brief,Parameter
820,ccsdes40.pdf,CCSDES40,Identify and evaluate marketing opportunities for your design business,Marketing; Forecasting; Market data; Statistical method
821,ccsdes41.pdf,CCSDES41,Evaluate international marketing opportunities for your design business,Environmental issue; Consumer law; Labour law; Cost; Business research; Marketing; Global marketing; Market trend; Packaging; International business; Market penetration; Trade agreement
822,ccsdes42.pdf,CCSDES42,Negotiate and make deals with design clients,Parameter; Persuasion; Listen
823,ccsdes43.pdf,CCSDES43,Assess design services,Prepare report; Project design
824,ccsdes44.pdf,CCSDES44,Manage effective workplace relationships to benefit your design business,Management; Workplace relationship; Support colleague
825,ccsdes45.pdf,CCSDES45,Subcontract and outsource services for your design project,Remuneration; Illustration; Invoice; Environmental protection; Cost; Outsource; Contract law; Alteration
826,ccsdes46.pdf,CCSDES46,Marketing and sales of design services,Relational database; Universal; Prospective client; Promote yourself; Prospect; Sales; Sales skill; Marketing; Target market; Market trend; Cross sell; Vision; Business presentation
827,ccsdes6.pdf,CCSDES6,Work effectively with others in a creative environment,Disciplinary procedure; Instruction; Food; Initiative
828,ccsdes8.pdf,CCSDES8,Explore the use of colour in a creative environment,Experimentation; Colour theory; Experiment
829,ccsdes9.pdf,CCSDES9,"Research, test and apply techniques for the design of products",Intellectual property; Experiment
830,ccsdl1.pdf,CCSDL1,Evaluate and communicate your skills in leading dance,Dance; Training; Education; Marketing; Instructing; Criminal justice
831,ccsdl10.pdf,CCSDL10,Build trust with host organisations and funders,Acting; Dance; Music
832,ccsdl11.pdf,CCSDL11,Encourage involvement and collaboration with supporting teams,Dance; Forward planning; Manage resource; Learning support
833,ccsdl12.pdf,CCSDL12,Deliver safe and effective dance leading,Management; Dance; Training; Group dynamic; Anatomy; Risk assessment; Injury prevention; Nutrition; Physiology
834,ccsdl13.pdf,CCSDL13,Engage and manage groups through your dance leadership in a creative context,Dance; Ballet; Folk dance; Parameter; Instruction; Group dynamic; Initiative; Verbal communication skill; Somatic; Body language
835,ccsdl14.pdf,CCSDL14,Demonstrate technical skill and knowledge in leading your dance style(s),Dance; Ballet; Folk dance; Ethical code; Instruction; Somatic
836,ccsdl15.pdf,CCSDL15,Structure dance for engagement of participants and groups,Dance; Composition
837,ccsdl16.pdf,CCSDL16,Collaborate with other art forms,Dance; Ballet; Composition; Parameter; Music; Costume; Lighting
838,ccsdl17.pdf,CCSDL17,"Work with volunteers, support  workers and managers",Dance; Marketing
839,ccsdl18.pdf,CCSDL18,Evaluate the impact of your dance leading through engagement with your groups and stakeholders,Dance
840,ccsdl19.pdf,CCSDL19,Communicate the results of evaluating the impact of your dance leading,Dance; Social network
841,ccsdl2.pdf,CCSDL2,"Identify, research and understand your market",Statistic; Dance; Survey; Target market; Vision
842,ccsdl20.pdf,CCSDL20,Develop awareness in your participants and group,Dance; Parameter
843,ccsdl21.pdf,CCSDL21,Recognise your professional development needs,Dance; Training; Mentor
844,ccsdl22.pdf,CCSDL22,"Research, identify and resource your continuing professional development",Dance; Mentor; Resourcing
845,ccsdl23.pdf,CCSDL23,Reflect on and resource your professional delivery,Dance; Thinking creatively; Outsource; Open source software; Marketing; Think creatively; Administrative support; Advertising; Resourcing
846,ccsdl3.pdf,CCSDL3,"Identify and communicate to others,  your personal skill and contextual knowledge of  your dance style(s)",Dance; Ballet; Folk dance; History; Collection; Somatic
847,ccsdl4.pdf,CCSDL4,Communicate how you carry out creative and compositional skills appropriate to your target market,Dance; Composition; Target market; Initiative; Collection; Improvisation
848,ccsdl5.pdf,CCSDL5,Communicate your competence and readiness to lead dance with specific groups of people and/or places,Dance; Proof; Target market; Collection; Criminal justice
849,ccsdl6.pdf,CCSDL6,Use different media and methods to communicate with your target market,Dance; Promote; Folk dance; Social network; Printing; Marketing; Target market
850,ccsdl7.pdf,CCSDL7,Design programmes of dance work that are appropriate to specific groups and individuals,Dance; Education; Negotiation skill; Criminal justice; Project scoping
851,ccsdl8.pdf,CCSDL8,"Manage expectations with participating individuals, groups, funders and partners",Dance; Age; Manage budget; Marketing
852,ccsdl9.pdf,CCSDL9,Build relationships and trust with and within community groups to inspire take up to your session(s),Dance; Health education; Initiative; Criminal justice
853,ccsfl1.pdf,CCSFL1,Set up to work as a freelancer in creative and cultural industries,Workspace; Craft; Music; Environmental issue; Business strategy; Proactive; Advertising; Risk assessment; Business marketing
854,ccsfl10.pdf,CCSFL10,Plan innovation for your freelance work in creative and cultural industries,Brainstorming; Innovation; Innovate; Craft; Music; Proactive; Advertising; Business marketing
855,ccsfl11.pdf,CCSFL11,Prepare and manage change for your freelance work in creative and cultural industries,Innovation; Craft; Music; Timeline; Identify opportunity; Proactive; Advertising; Business marketing; Vision
856,ccsfl12.pdf,CCSFL12,Manage risk for your freelance work in creative and cultural industries,Contingency plan; Management; Risk register; Craft; Music; Risk management; Simulation; Proactive; Advertising; Risk assessment; Business marketing
857,ccsfl13.pdf,CCSFL13,Plan succession and pass on knowledge of your freelance work in creative and cultural industries,Craft; Music; Training; Audit; Succession planning; Proactive; Advertising; Business marketing; Vision
858,ccsfl14.pdf,CCSFL14,Plan an exit strategy for your freelance work in creative and cultural industries fl14,Craft; Music; Initiative; Proactive; Advertising; Business marketing; Vision
859,ccsfl15.pdf,CCSFL15,Ensure compliance with legislation in your freelance work in creative and cultural industries,Environmental law; Patent; Craft; Music; Proactive; Advertising; Compliance; Business marketing
860,ccsfl16.pdf,CCSFL16,Reduce risks to health and safety in your freelance work in creative and cultural industries,Craft; Music; Training; Instruction; Proactive; Advertising; Business marketing
861,ccsfl17.pdf,CCSFL17,"Contribute to safeguarding children, young people and vulnerable adults as a freelancer in the creative and cultural industries",Promote; Monitor activity; Craft; Music; Age; Child protection; Proactive; Advertising; Business marketing; Welfare; Body language
862,ccsfl18.pdf,CCSFL18,Make sure you protect the environment in your freelance work in creative and cultural industries,Craft; Music; Instruction; Proactive; Storage; Advertising; Compliance; Business marketing
863,ccsfl19.pdf,CCSFL19,Embrace diversity in your freelance work in creative and cultural industries,Service provision; Craft; Music; Target market; Proactive; Advertising; Compliance; Business marketing; Body language
864,ccsfl2.pdf,CCSFL2,Define the vision and objectives for your freelance work in creative and cultural industries,Craft; Music; Market research; Cost; Business strategy; Sales plan; Develop objective; Marketing; Target market; Initiative; Smart; Proactive; Advertising; Business marketing; Vision
865,ccsfl20.pdf,CCSFL20,Develop an understanding of copyright law to protect your freelance work in the creative and cultural industries,Creativity; Patent; Innovation; Craft; Music; Trademark; Calculation; Sort; Royalty; Proactive; Advertising; Business marketing
866,ccsfl21.pdf,CCSFL21,Develop an understanding of intellectual properties to protect your freelance work in creative and cultural industries,Intellectual property law; Intellectual property; Patent; Craft; Music; Property right; Proactive; Advertising; Compliance; Business marketing; Exploitation; Interactive medium
867,ccsfl22.pdf,CCSFL22,Use word processing software according to your needs as a freelancer in creative and cultural industries,Proof; Craft; Music; Template; Spell; Editing; It support; Word processing; Install software; Proactive; Advertising; Business marketing; Paragraph; Memo
868,ccsfl23.pdf,CCSFL23,Use presentation software according to your needs as a freelancer in creative and cultural industries,Proof; Craft; Music; Editing; Edit; It support; Install software; Proactive; Advertising; Slide show; Business marketing; Scheme
869,ccsfl24.pdf,CCSFL24,Use spreadsheet software according to your needs as a freelancer in creative and cultural industries,Craft; Music; Edit; It support; Install software; Proactive; Advertising; Spreadsheet; Business marketing
870,ccsfl25.pdf,CCSFL25,Use database software according to your needs as a freelancer in creative and cultural industries,Data integrity; Craft; Music; Spell; It support; Database software; Database; Data validation; Install software; Proactive; Advertising; Sorting; Business marketing
871,ccsfl26.pdf,CCSFL26,Use e-mail and the internet according to your needs as a freelancer in creative and cultural industries,Carbon copy; Blind carbon copy; Book; Craft; Search engine; Music; It support; Proactive; Advertising; Business marketing; Archive
872,ccsfl27.pdf,CCSFL27,Store and retrieve information according to your needs as a freelancer in creative and cultural industries,Craft; Music; Information systems; Proactive; Storage; Advertising; Business marketing
873,ccsfl28.pdf,CCSFL28,Obtain and use information according to your needs as a freelancer in creative and cultural industries,Craft; Music; Proactive; Advertising; Business marketing
874,ccsfl29.pdf,CCSFL29,Use office equipment according to your needs as a freelancer in creative and cultural industries,Scanner; Craft; Music; Office equipment; Instruction; Machinery; Proactive; Advertising; Business marketing; Franking
875,ccsfl3.pdf,CCSFL3,Develop and manage a business strategy for your freelance work in creative and cultural industries,Contingency plan; Marketing operations; Fundraising; Craft; Music; Strategic planning; Swot analysis; Market research; Sales; Business strategy; Marketing; Initiative; Smart; Proactive; Landscape; Advertising; Set objective; Business marketing; Vision
876,ccsfl30.pdf,CCSFL30,Manage supplier contracts for your freelance work in creative and cultural industries,Promote; Craft; Music; Manage supplier; Proactive; Advertising; Compliance; Business marketing
877,ccsfl31.pdf,CCSFL31,Purchase goods or services for your freelance work in creative and cultural industries,Quotation; Craft; Music; Pricing; Cost; Initiative; Make decision; Record keeping; Negotiation skill; Proactive; Advertising; Business marketing
878,ccsfl32.pdf,CCSFL32,Work effectively with other people and organisations to support your freelance work in creative and cultural industries,Craft; Music; Identify opportunity; Proactive; Advertising; Business marketing; Listen
879,ccsfl33.pdf,CCSFL33,Seek help and advice to support your freelance work in the creative and cultural industries,Craft; Music; Cost; Initiative; Proactive; Advertising; Business marketing
880,ccsfl34.pdf,CCSFL34,Develop networks to support your freelance work in creative and cultural industries,Management; Craft; Music; Marketing; Proactive; Advertising; Business marketing
881,ccsfl35.pdf,CCSFL35,Gain affiliation to sector specific bodies and associations to support your freelance work in creative and cultural industries,Craft; Music; Cost; Marketing; Identify opportunity; Proactive; Advertising; Business marketing
882,ccsfl36.pdf,CCSFL36,Keep up-to-date about the subsector in which you work and the creative and cultural industries to inform your freelance work,Craft; Music; Proactive; Organise information; Advertising; Business marketing
883,ccsfl37.pdf,CCSFL37,Self-appraise and self-evaluate your work and work processes as a freelancer in creative and cultural industries,Craft; Music; Proactive; Advertising; Business marketing; Set target
884,ccsfl38.pdf,CCSFL38,Manage professional development to support your freelance work in creative and cultural industries,Craft; Music; Training; Cost; Smart; Proactive; Advertising; Business marketing; Learning style
885,ccsfl39.pdf,CCSFL39,Monitor and evaluate your freelance work in creative and cultural industries,Fundraising; Craft; Music; Environmental issue; Business strategy; Marketing; Initiative; Proactive; Advertising; Business marketing; Set target
886,ccsfl4.pdf,CCSFL4,Develop and implement a marketing and communications strategy for your freelance work in creative and cultural industries,Contingency plan; Unique selling proposition; Promote; Craft; Music; Swot analysis; Market research; Sales; Cost; Timeline; Public relations; Marketing; Target market; Proactive; Advertising; Newsletter; Market trend; Business marketing; Vision
887,ccsfl40.pdf,CCSFL40,Carry out banking and daily finances to support your freelance work in creative and cultural industries,Book; Craft; Music; Initiative; Bank statement; Proactive; Advertising; Business marketing
888,ccsfl41.pdf,CCSFL41,Set and monitor financial targets for your freelance work in creative and cultural industries,Craft; Music; Financial management; Sales; Cost; Profit target; Sales plan; Forecasting; Initiative; Net profit; Proactive; Advertising; Business marketing; Set target; Management information systems
889,ccsfl42.pdf,CCSFL42,Manage budgets for your freelance work in creative and cultural industries,Craft; Music; Cost; Manage budget; Proactive; Advertising; Business marketing; Estimating
890,ccsfl43.pdf,CCSFL43,Manage cash flow for your freelance work in the creative and cultural industries,Craft; Music; Credit control; Cost; Initiative; Credit risk; Proactive; Advertising; Collection; Business marketing
